new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,1,0,80,4,2,35796.2
2,1,0,1,0,0,32,4,18481.2
3,0,1,1,0,0,4,0,15867.8
1,0,0,0,0,10,4,2,17743.0
3,1,1,0,0,50,2,4,13174.6
1,0,1,0,0,40,2048,10,101568.8
4,0,0,0,1,80,1,6,34790.8
4,1,1,0,1,20,64,8,42022.8
5,1,0,1,1,100,4096,6,47681.2
3,0,1,1,0,80,8,10,47467.2
4,1,0,1,1,70,4096,10,414022.6
3,1,0,1,1,50,2,0,13138.6
5,1,1,1,0,20,64,10,299575.6
1,0,0,1,1,50,1,6,116320.8
5,1,0,0,1,30,2048,6,47630.2
4,0,1,0,1,40,1024,0,8970.2
4,1,1,0,1,70,4096,4,12924.6
2,0,1,0,1,70,512,2,4751.6
5,1,1,0,1,90,2,8,121038.6
1,1,1,1,0,80,2,0,17653.8
4,1,0,0,0,50,1,0,10016.8
2,1,1,1,0,10,1024,10,105471.2
1,0,1,0,0,20,8,0,17626.8
1,1,0,0,1,90,2048,8,100727.8
1,1,1,0,0,40,512,0,17742.2
4,0,1,1,0,30,4,10,414484.6
3,1,0,1,0,30,8,0,12560.2
2,0,1,0,0,10,2048,2,5710.4
2,0,1,1,0,60,64,4,11843.0
3,1,1,0,1,80,2,10,48776.0
1,0,0,0,1,20,4,10,81166.2
5,0,1,0,0,70,64,4,9161.8
3,1,0,0,1,40,16,4,12275.4
1,0,1,1,1,20,4096,10,103779.8
3,0,1,1,1,10,8,2,12664.2
3,1,1,0,0,100,2,4,13031.0
4,0,1,1,0,50,4096,2,35602.6
3,0,0,1,0,30,32,4,12314.6
1,0,0,1,1,0,128,4,18478.4
4,0,0,0,1,30,8,0,9196.4
4,0,0,1,0,90,4096,10,416052.8
2,1,1,1,1,90,2,10,117434.4
