ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,64310.6
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,73654.8
1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,84576.2
0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,79428.2
0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,74490.2
1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,85280.8
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,75376.4
0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,66378.0
1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,82137.8
1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,86497.0
1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,79370.6
0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,77358.8
0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,84860.0
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,96774.4
1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,79460.0
1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,75703.4
0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,62383.2
0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,85671.4
0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,71420.4
0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,69627.6
1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,75657.8
0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,61453.2
0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,80696.2
1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,85828.4
0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,81892.6
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,73369.6
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,95411.4
0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,82798.8
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,67151.2
0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,82126.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,63558.8
0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,85949.8
1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,80674.2
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,83690.8
0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,75074.8
1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,81977.8
1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,89501.2
1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,70682.0
1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,79077.6
1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,78166.0
1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,74038.4
1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,68319.4
