fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,0,128,2,256,46183.8
1,0,0,0,0,256,8,4096,135307.4
0,0,1,1,1,64,32,256,46565.6
1,0,0,0,1,64,2,4096,132637.0
1,0,1,0,0,128,2,256,135048.6
1,0,1,0,0,64,2,4096,134209.2
1,0,1,1,0,256,2,256,140950.6
0,1,1,1,0,256,32,4096,46451.4
1,1,0,1,0,256,8,256,133679.6
0,1,0,1,1,256,8,256,46453.0
0,0,1,1,0,128,2,1024,46881.4
0,1,0,0,1,256,8,256,46192.0
0,0,1,0,0,256,32,1024,46212.8
1,0,1,1,0,64,2,256,140491.6
1,0,0,1,1,64,32,4096,134370.8
1,0,1,1,1,64,2,256,135234.0
0,1,1,1,0,64,32,256,46517.6
0,0,1,0,0,128,32,256,46078.8
1,0,1,0,1,64,2,4096,137289.0
0,1,1,1,0,256,2,256,46517.2
1,1,1,1,1,128,32,256,135538.4
1,1,1,1,0,64,8,1024,126794.8
1,0,0,0,0,256,32,1024,136341.4
1,1,0,1,0,256,2,4096,129499.4
1,1,1,0,1,128,32,4096,128474.6
0,1,0,0,0,64,2,256,46500.4
1,0,0,0,1,256,8,4096,131261.2
1,1,0,0,1,256,8,1024,133251.6
0,0,0,0,0,64,2,1024,47571.0
1,1,0,0,0,64,8,256,134334.0
0,0,1,1,0,128,32,1024,46495.6
0,1,1,0,0,256,2,256,46407.8
1,1,0,1,0,128,8,4096,132048.8
1,1,1,1,1,256,8,4096,134411.4
1,0,1,0,1,64,32,4096,135629.4
0,1,1,1,0,128,32,4096,46612.8
1,1,1,0,1,256,2,256,137593.6
1,0,0,0,0,256,8,4096,135307.4
1,1,1,1,0,256,32,256,131548.2
0,0,0,0,1,256,8,4096,46282.0
1,0,1,0,1,256,8,256,134102.0
0,0,0,0,1,256,2,4096,47094.8
