WindowSize,CompressionLevel,Performance
16,4,2.77
20,7,12.338
13,11,315.078
24,2,2.04
16,4,2.77
12,0,1.528
15,9,8.084
13,3,2.37
19,11,258.502
12,7,5.266
14,11,301.078
23,10,318.954
22,11,259.594
23,9,63.68
20,10,246.512
16,6,5.77
20,11,246.08
19,9,14.048
12,3,2.426
12,10,328.816
22,1,1.586
24,0,1.574
14,5,4.678
19,9,14.048
18,8,9.684
15,7,6.39
12,6,3.846
21,6,10.46
24,10,392.744
13,9,6.862
20,7,12.338
12,7,5.266
12,5,3.746
20,2,2.088
11,9,6.286
19,9,14.048
16,9,9.094
17,7,7.636
24,8,38.644
11,5,3.49
13,7,5.554
19,5,7.372
