new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,1,1,0,0,0,0,0,0,0,85.27
2,1,1,0,0,0,0,0,0,0,45.368
3,1,1,0,0,0,0,0,0,0,31.096
4,1,1,0,0,0,0,0,0,0,23.434
1,1,1,0,0,0,0,0,0,0,85.27
1,2,1,0,0,0,0,0,0,0,122.418
1,3,1,0,0,0,0,0,0,0,165.376
1,1,1,0,0,0,0,0,0,0,85.27
1,1,2,0,0,0,0,0,0,0,86.002
1,1,3,0,0,0,0,0,0,0,86.482
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,1,0,0,0,0,0,0,80.742
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,1,0,0,0,0,0,84.07
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,1,0,0,0,0,85.444
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,1,0,0,0,86.354
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,1,0,0,94.052
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,0,1,0,85.394
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,0,0,1,85.44
4,1,2,1,1,1,1,0,0,0,22.59
4,2,2,0,1,1,0,1,0,1,36.452
3,1,2,0,1,1,1,1,1,1,33.706
3,1,2,1,0,1,1,0,0,1,30.452
4,2,1,1,0,0,1,1,1,0,31.762
4,2,1,1,1,1,1,1,1,0,31.514
4,1,2,0,1,0,0,1,1,0,24.882
4,2,1,1,0,0,0,0,1,1,28.574
3,2,1,0,0,0,0,1,0,0,50.298
3,2,2,1,1,0,0,0,1,1,37.938
4,1,2,1,0,0,1,1,1,0,23.66
3,1,2,1,0,1,0,0,0,0,30.262
3,1,2,0,1,0,1,1,0,1,33.708
3,2,1,0,0,0,1,1,0,0,54.174
3,2,2,0,1,0,0,1,0,0,49.952
4,1,2,1,1,0,0,1,0,1,22.97
3,2,1,0,0,1,1,1,0,0,54.15
3,1,2,1,0,0,1,1,0,0,32.018
3,1,2,1,0,0,0,1,1,1,31.676
3,2,2,1,0,1,1,0,1,0,41.992
4,2,2,0,1,1,0,0,1,0,30.488
3,2,2,0,1,0,1,1,0,1,53.404
3,1,2,1,0,0,0,0,1,1,30.076
3,1,1,0,0,0,0,0,0,1,31.37
4,2,1,0,0,0,1,1,1,0,33.536
4,1,1,1,1,1,0,1,1,1,23.278
4,2,1,0,0,0,1,1,0,1,38.314
3,2,1,0,1,0,1,0,0,0,49.242
4,2,1,0,0,0,0,0,1,0,30.03
3,2,2,1,0,1,0,0,1,1,38.35
4,2,1,1,1,1,0,1,1,1,30.114
4,2,1,0,1,1,0,1,1,1,31.642
3,1,1,0,0,0,1,0,0,0,31.71
4,2,1,0,1,0,0,0,1,0,29.774
3,1,1,0,0,1,0,1,0,0,33.69
3,2,2,1,1,0,1,1,0,0,50.454
4,1,2,0,0,1,0,1,0,1,25.344
4,1,1,1,0,0,0,1,1,0,23.52
3,2,1,0,0,1,1,0,0,1,50.184
4,2,1,1,1,1,0,1,1,0,30.748
3,1,1,1,0,1,0,1,0,1,31.668
3,2,2,1,0,1,0,0,0,0,43.802
3,1,2,0,0,0,0,1,0,0,33.74
3,1,1,0,0,1,1,0,1,0,31.608
3,2,1,0,0,0,0,0,0,1,45.586
4,2,1,0,1,1,0,1,0,1,36.328
3,1,2,1,0,1,0,1,0,1,31.584
4,1,1,1,0,1,0,1,0,0,23.49
3,2,2,0,1,1,1,1,0,0,53.456
3,2,2,0,1,1,0,1,0,1,49.444
3,1,1,0,0,0,1,1,0,1,34.46
3,2,2,0,1,0,1,1,0,0,53.476
4,2,1,0,1,0,0,0,0,0,33.264
4,2,2,0,1,1,0,1,1,0,31.462
4,1,2,0,0,0,1,0,1,1,24.466
3,2,2,0,1,1,1,0,1,0,43.85
4,1,1,1,1,0,0,1,0,0,22.794
3,1,2,1,1,1,0,1,0,0,31.128
3,1,2,0,1,0,0,0,1,0,31.33
3,1,1,0,1,1,0,0,1,1,30.536
4,1,1,0,0,1,1,0,0,0,24.072
3,1,1,1,1,1,1,1,0,0,31.208
4,1,2,0,1,0,1,1,1,1,25.31
3,1,1,1,1,0,1,1,1,1,31.336
3,2,2,0,0,1,1,1,1,0,46.592
4,2,2,1,1,1,1,1,1,1,31.816
3,1,1,1,0,0,1,1,0,1,32.376
3,1,2,0,1,0,0,1,1,1,33.268
4,2,2,1,0,1,1,1,0,1,36.598
3,2,2,1,1,1,1,1,1,0,43.26
3,2,2,0,1,0,1,0,0,0,49.738
3,2,1,0,0,1,0,1,0,0,49.962
4,1,2,0,0,1,1,1,0,1,25.278
3,2,1,1,1,1,1,0,0,0,46.656
4,2,2,0,0,0,1,0,0,0,36.318
3,1,2,0,1,1,0,1,0,1,33.5
