new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,3,1,0,1,0,0,1,0,73.68
2,3,2,1,1,1,0,1,0,1,90.858
1,1,2,0,1,0,1,0,1,0,85.55
3,2,3,1,0,0,1,1,1,0,44.074
1,2,3,1,0,0,0,1,0,1,127.84
2,1,3,0,0,0,1,1,1,0,50.254
4,1,3,0,0,0,0,0,0,1,24.924
4,2,2,1,0,0,0,1,1,1,30.33
2,1,2,1,0,1,1,1,0,0,47.05
4,1,3,0,0,1,0,1,1,0,24.996
1,3,2,0,0,1,1,1,0,0,194.502
1,2,1,1,1,1,0,1,0,1,126.692
3,2,3,0,0,0,1,1,1,1,46.206
4,2,3,0,0,0,0,0,0,0,35.094
1,1,3,1,1,1,1,0,1,0,80.474
4,2,1,0,0,0,1,0,0,1,35.898
3,2,2,0,1,1,0,0,1,1,39.83
3,2,1,0,0,1,0,0,1,0,39.622
2,3,3,0,0,0,1,0,1,0,84.542
4,3,3,1,0,0,1,0,0,0,48.636
1,1,3,0,1,1,1,1,0,1,93.932
3,1,2,1,0,1,0,0,1,1,29.928
2,3,2,1,0,1,0,0,0,1,84.226
1,2,3,1,0,0,1,0,1,0,112.858
2,2,2,0,1,0,1,1,0,0,74.474
4,2,2,1,1,0,1,1,1,0,31.47
4,1,1,0,1,0,0,1,0,0,24.874
2,2,1,1,0,0,0,0,1,1,55.326
2,1,2,0,0,0,0,1,0,0,49.612
4,1,2,1,1,1,1,1,0,0,23.148
2,1,3,0,0,0,1,1,0,0,50.184
3,2,1,1,0,1,0,0,1,1,37.706
4,1,2,1,1,1,0,0,1,0,22.854
4,2,2,1,0,0,0,0,1,0,29.544
2,1,3,0,1,1,0,1,0,0,49.002
2,3,2,0,0,1,1,1,1,1,88.004
2,3,1,0,1,0,0,1,1,0,80.314
1,3,1,0,0,0,1,1,1,1,165.52
3,2,1,0,1,1,1,1,1,0,45.818
2,2,1,1,0,0,0,0,0,1,61.658
4,3,3,1,0,0,0,0,1,0,38.614
4,1,3,0,0,0,0,0,1,1,24.79
