new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,1,0,80,4,2,35796.2
2,1,0,1,0,0,32,4,18481.2
3,0,1,1,0,0,4,0,15867.8
1,0,0,0,0,10,4,2,17743.0
3,1,1,0,0,50,2,4,13174.6
1,0,1,0,0,40,2048,10,101568.8
4,0,0,0,1,80,1,6,34790.8
4,1,1,0,1,20,64,8,42022.8
5,1,0,1,1,100,4096,6,47681.2
3,0,1,1,0,80,8,10,47467.2
4,1,0,1,1,70,4096,10,414022.6
3,1,0,1,1,50,2,0,13138.6
5,1,1,1,0,20,64,10,299575.6
1,0,0,1,1,50,1,6,116320.8
5,1,0,0,1,30,2048,6,47630.2
4,0,1,0,1,40,1024,0,8970.2
4,1,1,0,1,70,4096,4,12924.6
2,0,1,0,1,70,512,2,4751.6
5,1,1,0,1,90,2,8,121038.6
1,1,1,1,0,80,2,0,17653.8
4,1,0,0,0,50,1,0,10016.8
2,1,1,1,0,10,1024,10,105471.2
1,0,1,0,0,20,8,0,17626.8
1,1,0,0,1,90,2048,8,100727.8
1,1,1,0,0,40,512,0,17742.2
4,0,1,1,0,30,4,10,414484.6
3,1,0,1,0,30,8,0,12560.2
2,0,1,0,0,10,2048,2,5710.4
2,0,1,1,0,60,64,4,11843.0
3,1,1,0,1,80,2,10,48776.0
1,0,0,0,1,20,4,10,81166.2
5,0,1,0,0,70,64,4,9161.8
3,1,0,0,1,40,16,4,12275.4
1,0,1,1,1,20,4096,10,103779.8
3,0,1,1,1,10,8,2,12664.2
3,1,1,0,0,100,2,4,13031.0
4,0,1,1,0,50,4096,2,35602.6
3,0,0,1,0,30,32,4,12314.6
1,0,0,1,1,0,128,4,18478.4
4,0,0,0,1,30,8,0,9196.4
4,0,0,1,0,90,4096,10,416052.8
2,1,1,1,1,90,2,10,117434.4
4,1,0,0,1,100,1024,4,12759.6
3,1,1,1,1,20,16,0,12226.8
2,1,0,0,1,100,8,10,86092.2
3,0,0,0,1,40,16,6,11454.8
4,1,0,0,1,80,16,0,8984.6
1,0,1,0,0,60,8,2,17649.6
1,0,0,1,1,60,4096,4,11764.8
5,1,1,0,0,90,64,2,9141.0
2,1,1,1,0,100,128,0,17644.4
2,1,0,1,1,100,4,2,17598.2
5,0,1,0,1,100,64,4,9199.6
1,1,0,1,0,70,1,8,125497.6
2,1,0,0,1,90,4,4,11881.8
1,0,0,0,0,40,128,8,101539.8
2,1,1,1,0,30,128,4,11945.2
3,0,0,1,0,50,32,10,48548.0
4,0,1,0,0,70,2048,2,8893.2
1,1,1,1,1,40,8,4,12161.4
4,0,0,1,1,100,32,10,415089.6
1,0,1,0,0,100,128,6,89283.6
2,1,1,1,0,100,4,8,113878.4
2,0,0,1,0,50,1,10,125012.0
1,1,1,1,1,80,2,2,17658.2
1,1,0,0,0,0,64,0,17937.6
2,1,1,1,0,50,32,8,103635.8
1,1,0,1,0,40,128,6,91264.0
2,1,0,1,0,60,4096,2,17662.6
4,0,0,1,0,80,1,4,42798.2
1,1,1,0,0,50,8,10,86437.4
1,1,1,0,0,20,4,6,72713.2
4,0,1,1,0,20,512,4,43248.2
3,1,1,0,1,0,2048,0,15966.6
4,1,0,0,1,0,64,10,274796.2
2,0,1,0,0,40,2,2,7435.4
1,1,0,0,1,60,4096,10,101774.8
5,0,1,1,0,10,2048,2,9200.4
4,1,1,1,0,60,16,6,49458.4
2,1,1,1,0,100,256,4,11823.6
2,0,1,1,1,80,8,0,17620.6
4,0,1,0,1,90,32,8,39327.0
2,1,0,0,0,50,8,0,5242.8
4,1,1,1,0,70,64,6,49439.2
2,1,0,0,1,50,8,0,5235.6
3,1,0,0,1,10,512,2,12446.0
2,0,1,0,1,80,64,8,101447.8
2,1,1,1,1,20,128,2,17607.4
4,1,1,1,1,40,4,2,35815.2
1,0,0,0,0,60,4,6,72773.2
2,1,1,1,1,70,1024,0,17613.0
4,1,1,0,1,30,2,6,26500.2
4,0,1,0,1,70,4096,2,8914.6
2,1,1,1,0,0,8,10,131422.8
4,0,1,1,1,100,32,6,49738.4
3,1,1,0,1,0,32,4,15934.0
4,0,0,1,0,80,1,2,35710.2
1,1,1,0,0,90,4096,6,88939.0
1,1,0,0,0,80,256,10,101589.2
3,1,0,0,0,70,64,2,12076.2
1,0,0,0,1,80,128,0,17759.4
2,0,0,1,0,30,1024,10,103438.0
2,0,1,1,0,90,2,4,13310.2
4,0,1,0,1,50,4,2,9371.6
4,0,1,1,1,0,8,0,35331.0
1,0,0,0,1,30,4,8,80741.6
2,0,0,0,0,90,16,4,5048.8
2,0,0,1,0,40,32,0,17680.2
4,0,1,1,0,100,4096,8,124628.4
3,1,0,1,1,50,4096,0,12279.8
3,0,1,0,1,100,1024,4,12288.8
3,0,1,0,1,0,4,4,15964.0
3,1,1,0,1,0,64,10,48065.2
