new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,2,0,0,2048,1,337.4748
0,2,2,1,0,0,512,5,163.7756
1,1,2,0,1,0,1024,1,337.4748
0,1,1,0,0,0,4096,5,337.4748
0,2,1,2,1,0,512,0,337.4748
1,1,1,1,1,1,1024,1,337.4748
0,0,1,1,1,0,2048,0,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,0,1,2,1,1,4096,9,337.4748
0,1,1,1,1,0,4096,0,337.4748
1,1,1,0,1,0,4096,0,32.5432
1,2,2,1,0,1,2048,0,337.4748
1,2,1,1,0,0,4096,5,337.4748
0,2,1,1,1,0,512,0,337.4748
1,1,1,1,1,0,2048,1,337.4748
0,1,2,0,1,0,512,1,337.4748
1,1,2,0,1,0,2048,9,337.4748
1,1,2,1,1,0,4096,0,32.9028
0,2,2,2,1,0,2048,5,165.781
0,0,2,1,0,0,2048,1,337.4748
1,2,1,2,0,1,4096,9,337.4748
1,0,2,2,0,1,1024,9,337.4748
0,0,1,2,1,1,4096,5,337.4748
1,0,1,0,1,1,1024,9,337.4748
1,1,1,0,0,1,1024,5,337.4748
0,0,2,0,0,0,512,0,161.8958
0,2,1,2,0,0,4096,9,337.4748
1,1,1,0,0,1,1024,9,337.4748
1,0,2,2,0,1,4096,0,164.1062
0,0,1,1,0,0,512,5,337.4748
1,1,1,2,1,1,2048,5,337.4748
1,2,2,2,1,0,1024,0,337.4748
1,2,2,0,1,1,2048,1,165.4646
1,0,2,2,1,0,512,5,337.4748
0,2,1,1,0,1,1024,9,337.4748
1,0,1,0,0,1,1024,1,337.4748
0,0,1,1,0,1,1024,1,337.4748
1,1,2,1,0,1,512,0,32.099
0,1,1,0,0,1,2048,9,337.4748
1,1,1,1,1,1,2048,9,337.4748
0,2,2,0,0,1,2048,1,165.9052
0,0,2,0,0,0,512,9,337.4748
1,2,1,2,0,0,1024,5,337.4748
1,0,2,0,0,1,512,9,337.4748
1,0,2,1,0,0,1024,1,337.4748
0,2,1,0,0,1,512,1,166.8656
1,1,2,1,1,1,2048,5,337.4748
0,2,1,0,1,0,1024,1,166.442
1,2,1,2,1,0,2048,9,337.4748
0,1,1,2,1,1,1024,5,337.4748
0,0,2,2,1,0,2048,5,337.4748
1,0,1,0,0,1,1024,5,337.4748
0,0,1,1,1,0,2048,0,337.4748
0,1,2,0,1,1,4096,5,337.4748
1,2,2,0,0,1,512,9,164.4074
1,0,2,1,0,0,4096,0,165.9296
0,0,1,1,0,0,2048,5,337.4748
0,1,1,0,0,0,4096,9,337.4748
1,2,2,0,0,0,4096,1,166.5774
1,2,1,2,0,0,2048,9,337.4748
1,2,1,2,0,0,512,1,337.4748
0,1,1,1,0,0,2048,9,337.4748
0,0,2,2,1,1,4096,9,337.4748
0,2,1,1,1,1,4096,1,337.4748
1,0,2,0,1,0,4096,1,337.4748
1,1,1,0,1,0,2048,1,337.4748
0,2,1,2,1,1,1024,1,337.4748
1,1,2,0,0,0,512,9,337.4748
1,2,2,2,1,0,4096,0,337.4748
0,2,2,1,0,1,512,5,163.3292
1,1,2,2,1,1,2048,5,337.4748
1,0,2,0,0,0,1024,9,337.4748
1,2,1,1,1,1,1024,9,337.4748
0,2,1,0,1,1,512,9,166.7742
1,0,2,0,1,1,2048,9,337.4748
0,0,1,1,1,1,4096,0,337.4748
0,0,2,0,1,0,4096,0,164.9116
0,0,2,1,0,0,2048,9,337.4748
0,2,2,2,0,1,4096,5,164.8178
0,0,1,0,1,1,2048,9,337.4748
1,0,2,1,0,0,1024,0,163.356
0,0,2,1,1,0,1024,9,337.4748
0,1,1,1,0,1,4096,9,337.4748
0,1,1,2,0,0,1024,9,337.4748
1,0,2,0,0,0,4096,0,164.1756
1,2,1,0,0,0,1024,5,165.1142
0,2,2,0,1,1,512,0,337.4748
0,0,2,0,1,1,512,9,337.4748
0,1,2,2,0,1,512,5,337.4748
1,2,1,0,0,0,2048,9,165.9198
0,0,2,1,0,1,2048,5,337.4748
1,0,1,2,1,1,2048,1,337.4748
1,2,2,1,1,1,512,0,337.4748
0,1,1,2,1,0,1024,0,337.4748
1,0,1,1,0,1,4096,9,337.4748
1,0,2,2,1,1,4096,5,337.4748
0,2,2,1,0,0,1024,9,166.5906
1,1,2,2,1,1,1024,9,337.4748
1,1,1,0,0,1,512,1,337.4748
0,2,1,1,1,1,512,9,337.4748
0,0,2,2,1,1,4096,1,337.4748
0,0,1,2,0,0,4096,5,337.4748
1,1,2,0,0,1,4096,0,32.6992
0,2,2,2,1,0,512,1,163.8384
1,2,2,2,0,1,512,1,164.258
1,0,2,1,0,0,1024,5,337.4748
1,1,1,0,0,0,1024,0,32.4778
0,2,2,2,0,0,2048,1,165.2856
0,2,1,2,1,0,4096,0,337.4748
1,0,2,0,1,1,1024,9,337.4748
1,2,1,1,0,1,512,5,337.4748
1,2,1,0,1,1,4096,1,167.1182
1,2,1,2,0,1,2048,9,337.4748
1,1,1,1,0,0,512,1,337.4748
1,0,2,1,1,0,512,9,337.4748
1,0,2,2,1,0,2048,5,337.4748
0,0,2,2,0,0,512,1,337.4748
1,0,1,2,0,0,2048,5,337.4748
1,0,1,1,1,1,512,1,337.4748
0,1,2,1,1,1,1024,1,337.4748
0,1,1,2,1,1,2048,5,337.4748
0,1,1,1,1,1,512,1,337.4748
1,2,1,1,0,1,2048,5,337.4748
0,2,1,0,0,0,1024,5,167.4082
1,2,1,0,1,1,4096,0,337.4748
1,2,1,0,1,1,1024,9,166.218
1,2,2,2,0,0,4096,0,337.4748
0,1,2,2,0,0,2048,5,337.4748
0,0,2,0,1,0,2048,5,337.4748
1,2,1,0,1,1,512,5,167.95
0,0,1,2,1,1,4096,5,337.4748
0,1,1,0,0,1,4096,1,337.4748
1,1,2,1,1,1,512,9,337.4748
0,0,2,1,1,1,512,5,337.4748
0,0,1,2,1,0,1024,0,337.4748
0,2,2,1,1,0,4096,0,337.4748
0,2,2,0,0,0,512,9,164.7462
0,0,2,0,1,0,2048,5,337.4748
1,2,2,0,1,1,1024,0,337.4748
1,0,2,0,1,0,512,1,337.4748
0,0,1,2,1,1,512,1,337.4748
1,0,2,0,1,0,4096,0,167.101
1,2,2,0,0,1,1024,5,164.6338
0,1,2,0,1,0,512,5,337.4748
0,1,1,2,0,0,4096,5,337.4748
1,2,2,2,1,0,512,0,337.4748
1,1,1,2,0,0,2048,5,337.4748
0,2,2,0,0,1,2048,5,163.1684
0,1,2,1,1,0,2048,0,31.9244
0,2,2,1,1,0,4096,1,167.0996
0,1,1,2,1,1,1024,9,337.4748
1,1,2,0,0,1,4096,5,337.4748
1,0,2,1,1,0,1024,1,337.4748
1,2,2,1,0,0,1024,0,337.4748
1,0,2,1,0,0,512,9,337.4748
1,0,2,1,0,0,4096,9,337.4748
1,1,1,1,1,1,512,9,337.4748
1,1,1,0,0,1,4096,5,337.4748
0,2,2,0,0,1,1024,1,165.314
1,1,1,0,0,0,1024,5,337.4748
1,1,1,0,0,1,4096,5,337.4748
0,1,1,1,0,0,2048,1,337.4748
0,2,1,0,0,1,4096,9,167.0496
1,0,1,0,1,0,2048,0,166.9782
0,2,2,1,1,0,1024,0,337.4748
1,0,1,2,1,0,2048,5,337.4748
0,0,2,1,0,0,1024,1,337.4748
0,0,1,0,0,0,4096,5,337.4748
1,2,2,1,1,0,2048,9,165.8198
1,2,2,0,1,1,2048,5,165.2798
0,1,1,1,1,1,2048,0,337.4748
1,0,1,1,1,0,1024,9,337.4748
0,2,2,1,1,0,4096,0,337.4748
1,0,2,0,0,1,1024,0,164.7058
0,0,2,0,0,1,4096,9,337.4748
0,1,2,0,1,1,2048,5,337.4748
0,0,2,0,0,1,1024,0,163.366
0,0,2,1,1,1,2048,5,337.4748
1,1,1,1,0,0,4096,0,337.4748
0,2,2,2,0,0,4096,5,165.143
0,2,1,0,1,1,1024,5,165.5956
1,1,2,0,1,0,2048,0,31.7862
0,2,2,0,1,0,2048,0,337.4748
0,2,2,0,0,1,1024,0,337.4748
1,0,1,2,0,0,4096,9,337.4748
1,1,2,1,1,0,2048,5,337.4748
0,0,1,2,0,0,512,9,337.4748
1,2,2,2,0,1,2048,5,164.538
0,1,1,0,0,1,2048,0,32.65
1,2,1,2,0,1,2048,0,337.4748
0,0,2,1,0,0,512,1,337.4748
0,1,2,2,0,1,2048,0,32.0282
1,2,1,2,0,0,2048,0,337.4748
0,1,1,2,0,1,512,5,337.4748
0,2,1,1,1,0,4096,1,337.4748
1,1,1,1,0,1,2048,9,337.4748
0,2,2,0,1,0,512,5,163.0798
1,0,2,2,0,1,2048,9,337.4748
1,0,2,0,1,1,2048,9,337.4748
1,2,1,2,1,0,512,5,337.4748
1,2,2,1,1,1,512,9,164.981
1,0,2,1,1,1,2048,5,337.4748
0,0,1,2,1,0,4096,9,337.4748
0,1,2,1,0,0,512,1,337.4748
0,1,1,2,0,1,512,9,337.4748
1,2,2,1,0,0,4096,5,165.547
0,2,1,2,1,0,4096,9,337.4748
0,2,2,0,0,0,1024,0,337.4748
0,2,1,0,0,1,512,9,165.847
0,1,1,0,1,0,4096,0,32.237
0,2,2,2,0,1,1024,5,164.4504
0,0,1,0,1,1,4096,0,167.8852
1,2,1,2,1,0,512,1,337.4748
0,1,2,1,1,1,1024,0,32.4414
0,2,1,0,1,1,1024,9,165.7104
0,1,2,0,0,0,4096,5,337.4748
0,1,2,1,1,1,4096,9,337.4748
1,2,2,0,1,0,1024,1,166.9388
0,1,1,2,0,1,1024,5,337.4748
1,0,1,1,0,1,4096,9,337.4748
0,2,1,0,0,0,4096,0,337.4748
1,1,2,1,0,0,1024,5,337.4748
1,0,2,2,1,1,4096,5,337.4748
0,2,2,1,1,1,512,0,337.4748
1,2,1,2,0,0,4096,9,337.4748
1,0,2,1,0,0,2048,5,337.4748
0,1,2,0,1,1,1024,1,337.4748
0,1,2,1,1,1,512,9,337.4748
0,1,2,0,1,1,512,9,337.4748
1,1,1,1,0,0,4096,1,337.4748
0,2,1,0,1,0,4096,1,167.8766
0,1,1,1,0,1,512,0,337.4748
1,2,2,1,0,0,1024,1,164.7006
0,2,1,0,0,0,1024,1,167.5178
0,0,1,1,0,0,2048,0,337.4748
0,2,1,0,0,0,4096,5,167.179
1,0,2,2,1,0,1024,9,337.4748
1,0,2,1,0,0,1024,0,163.356
0,2,2,0,0,0,1024,1,165.1946
1,1,1,1,1,0,2048,5,337.4748
0,1,1,1,0,1,4096,1,337.4748
1,1,2,0,1,1,1024,5,337.4748
1,0,1,2,1,0,4096,1,337.4748
1,1,1,1,0,0,1024,0,337.4748
0,1,1,2,1,1,1024,5,337.4748
1,2,1,0,1,0,512,5,168.1308
0,0,1,2,1,1,4096,5,337.4748
1,0,2,0,1,0,1024,0,164.829
1,1,2,2,1,1,2048,1,337.4748
1,0,1,2,1,0,2048,0,337.4748
0,0,1,2,0,0,4096,1,337.4748
1,2,1,2,0,1,4096,5,337.4748
0,0,1,1,1,0,1024,1,337.4748
0,2,2,1,1,0,1024,5,166.7586
0,1,2,2,0,0,2048,5,337.4748
1,2,2,2,0,0,512,5,165.3112
1,1,1,0,0,0,2048,1,337.4748
0,0,1,2,0,0,512,1,337.4748
0,2,1,2,1,0,1024,0,337.4748
1,2,1,2,1,0,2048,1,337.4748
0,0,1,0,0,0,2048,5,337.4748
0,0,2,2,1,1,2048,0,165.5004
1,0,2,0,0,1,4096,9,337.4748
0,0,2,2,0,0,1024,5,337.4748
1,2,1,1,0,1,512,1,337.4748
1,0,1,2,1,1,4096,0,337.4748
1,1,1,0,1,0,1024,9,337.4748
1,2,2,2,0,0,4096,9,164.1768
1,0,2,2,0,1,512,0,163.7938
0,2,1,0,0,1,1024,5,167.144
1,0,2,1,0,1,1024,1,337.4748
1,2,2,2,0,1,4096,1,167.0054
0,0,2,1,1,0,1024,1,337.4748
0,2,1,1,0,0,512,1,337.4748
0,2,1,2,1,0,2048,0,337.4748
1,2,1,0,0,0,1024,5,165.1142
0,1,2,1,1,1,1024,1,337.4748
0,1,1,0,0,0,512,9,337.4748
0,1,1,2,0,0,2048,1,337.4748
0,0,2,1,1,0,512,5,337.4748
1,1,1,0,0,1,4096,1,337.4748
1,0,1,0,0,1,1024,5,337.4748
1,2,2,0,0,1,2048,1,164.6884
0,2,1,0,1,0,512,5,166.5048
0,0,1,1,1,1,2048,5,337.4748
1,2,2,1,1,1,1024,1,164.7078
1,0,1,1,1,1,1024,5,337.4748
0,1,2,2,0,1,2048,1,337.4748
0,1,1,1,0,1,2048,1,337.4748
1,2,1,0,1,1,1024,9,166.218
1,0,2,2,0,1,4096,1,337.4748
0,2,1,0,0,0,2048,9,167.909
