ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,64310.6
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,73654.8
1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,84576.2
0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,79428.2
0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,74490.2
1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,85280.8
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,75376.4
0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,66378.0
1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,82137.8
1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,86497.0
1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,79370.6
0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,77358.8
0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,84860.0
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,96774.4
1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,79460.0
1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,75703.4
0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,62383.2
0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,85671.4
0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,71420.4
0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,69627.6
1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,75657.8
0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,61453.2
0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,80696.2
1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,85828.4
0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,81892.6
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,73369.6
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,95411.4
0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,82798.8
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,67151.2
0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,82126.0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,63558.8
0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,85949.8
1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,80674.2
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,83690.8
0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,75074.8
1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,81977.8
1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,89501.2
1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,70682.0
1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,79077.6
1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,78166.0
1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,74038.4
1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,68319.4
0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,74415.0
0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,70982.6
0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,84006.8
1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,82005.0
1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,90706.6
1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,68680.0
1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,65026.8
1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,72463.8
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,76833.6
0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,86648.4
0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,90055.6
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,88219.2
0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,86624.6
0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,76795.8
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,81033.6
0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,70201.0
0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,67738.2
1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,83894.6
1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,84030.6
1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,82016.2
1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,77295.4
1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,87349.2
1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,67689.6
0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,69589.2
1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,92465.8
0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,81985.4
1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,91561.6
1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,99590.0
0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,88305.2
1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,83921.8
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,76943.8
0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,71512.6
0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,88763.2
1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,81611.8
1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,87544.2
0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,68241.8
0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,68356.6
0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,86315.2
1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,78353.2
