WindowSize,CompressionLevel,Performance
16,4,2.77
20,7,12.338
13,11,315.078
24,2,2.04
16,4,2.77
12,0,1.528
15,9,8.084
13,3,2.37
19,11,258.502
12,7,5.266
14,11,301.078
23,10,318.954
22,11,259.594
23,9,63.68
20,10,246.512
16,6,5.77
20,11,246.08
19,9,14.048
12,3,2.426
12,10,328.816
22,1,1.586
24,0,1.574
14,5,4.678
19,9,14.048
18,8,9.684
15,7,6.39
12,6,3.846
21,6,10.46
24,10,392.744
13,9,6.862
20,7,12.338
12,7,5.266
12,5,3.746
20,2,2.088
11,9,6.286
19,9,14.048
16,9,9.094
17,7,7.636
24,8,38.644
11,5,3.49
13,7,5.554
19,5,7.372
12,6,3.846
18,0,1.628
12,7,5.266
10,5,3.306
23,11,315.238
24,11,394.158
22,1,1.586
19,1,1.604
23,9,63.68
10,2,2.146
23,7,20.474
23,1,1.572
21,5,7.272
23,11,315.238
16,5,5.392
15,1,1.52
24,1,1.57
19,11,258.502
11,0,1.526
19,1,1.604
21,5,7.272
17,6,6.34
14,1,1.46
24,6,10.176
11,1,1.526
11,6,3.57
13,3,2.37
17,7,7.636
23,1,1.572
19,0,1.614
12,4,3.004
19,10,258.558
16,2,2.026
14,8,6.086
11,1,1.526
11,4,3.04
18,11,279.692
12,11,328.552
18,11,279.692
14,9,7.404
10,11,363.346
11,7,5.078
14,7,5.896
15,10,291.618
10,6,3.386
16,7,6.998
12,6,3.846
12,4,3.004
17,7,7.636
23,8,37.284
20,4,2.808
12,0,1.528
14,10,301.488
22,11,259.594
11,8,5.042
23,11,315.238
16,8,7.548
19,0,1.614
15,6,5.306
14,7,5.896
13,7,5.554
17,2,2.102
20,0,1.63
18,8,9.684
11,10,343.594
12,4,3.004
12,10,328.816
10,7,4.874
20,9,17.4
15,11,292.192
20,3,2.546
20,8,14.64
14,11,301.078
15,1,1.52
21,10,244.734
12,2,1.988
12,4,3.004
15,2,1.972
19,10,258.558
15,0,1.534
18,5,6.714
21,4,2.768
14,11,301.078
16,10,285.0
14,10,301.488
24,9,108.602
18,2,2.094
10,10,363.364
16,6,5.77
21,8,18.874
23,4,2.726
19,9,14.048
13,3,2.37
14,5,4.678
11,1,1.526
13,1,1.514
14,0,1.472
14,8,6.086
16,6,5.77
21,10,244.734
14,0,1.472
22,11,259.594
24,10,392.744
12,1,1.542
16,7,6.998
21,5,7.272
21,10,244.734
18,10,279.698
14,8,6.086
15,3,2.392
11,9,6.286
15,10,291.618
14,5,4.678
14,2,1.9
18,3,2.562
22,6,10.266
16,6,5.77
24,8,38.644
22,5,7.198
21,8,18.874
18,0,1.628
18,0,1.628
17,2,2.102
23,0,1.556
12,6,3.846
15,10,291.618
16,7,6.998
17,7,7.636
13,3,2.37
12,7,5.266
19,3,2.552
17,4,2.848
18,6,7.51
24,7,20.228
12,5,3.746
20,8,14.64
21,0,1.604
24,8,38.644
16,10,285.0
22,4,2.748
14,7,5.896
20,8,14.64
14,11,301.078
19,6,9.336
18,3,2.562
24,1,1.57
10,2,2.146
24,1,1.57
17,11,307.42
15,6,5.306
20,0,1.63
24,10,392.744
16,8,7.548
21,6,10.46
19,7,10.05
23,9,63.68
13,11,315.078
24,1,1.57
15,2,1.972
23,2,2.032
19,6,9.336
20,7,12.338
18,9,11.954
15,5,5.072
18,7,8.628
19,8,11.508
15,0,1.534
24,5,7.154
21,4,2.768
18,2,2.094
12,2,1.988
24,4,2.708
20,8,14.64
17,9,10.152
10,4,3.02
11,10,343.594
22,8,25.432
10,2,2.146
12,2,1.988
10,7,4.874
16,11,284.296
12,1,1.542
13,3,2.37
11,11,343.996
18,3,2.562
11,4,3.04
21,5,7.272
24,4,2.708
15,5,5.072
24,4,2.708
18,8,9.684
10,0,1.662
14,4,2.894
10,8,5.046
14,5,4.678
24,9,108.602
17,10,307.144
23,11,315.238
23,3,2.478
13,9,6.862
20,1,1.636
13,11,315.078
16,5,5.392
23,0,1.556
21,7,15.806
18,6,7.51
18,7,8.628
15,7,6.39
21,0,1.604
19,9,14.048
14,7,5.896
17,0,1.606
22,10,256.21
23,3,2.478
11,1,1.526
18,0,1.628
21,3,2.512
13,6,4.3
18,11,279.692
10,1,1.666
11,4,3.04
20,6,10.658
18,9,11.954
13,7,5.554
19,11,258.502
13,3,2.37
21,1,1.598
20,11,246.08
10,0,1.662
10,4,3.02
16,9,9.094
24,5,7.154
18,2,2.094
11,11,343.996
21,4,2.768
12,0,1.528
22,1,1.586
18,5,6.714
14,1,1.46
21,4,2.768
21,3,2.512
20,5,7.45
15,11,292.192
10,4,3.02
17,1,1.612
24,5,7.154
22,11,259.594
20,8,14.64
24,8,38.644
19,8,11.508
21,5,7.272
10,5,3.306
20,11,246.08
20,8,14.64
22,9,34.292
19,7,10.05
15,3,2.392
15,2,1.972
24,3,2.478
24,1,1.57
17,9,10.152
18,0,1.628
22,1,1.586
10,10,363.364
16,8,7.548
20,11,246.08
10,6,3.386
24,9,108.602
23,1,1.572
22,5,7.198
24,11,394.158
15,10,291.618
11,7,5.078
17,5,5.886
20,4,2.808
23,6,10.22
13,2,1.942
22,2,2.05
19,5,7.372
10,11,363.346
21,5,7.272
14,0,1.472
12,8,5.318
18,9,11.954
12,0,1.528
22,6,10.266
19,6,9.336
12,5,3.746
15,2,1.972
11,8,5.042
10,9,6.246
17,8,8.454
11,7,5.078
12,3,2.426
20,0,1.63
14,7,5.896
15,0,1.534
22,1,1.586
16,4,2.77
12,10,328.816
22,3,2.5
13,6,4.3
19,7,10.05
22,10,256.21
21,1,1.598
20,7,12.338
11,1,1.526
20,2,2.088
24,10,392.744
13,2,1.942
20,6,10.658
21,0,1.604
15,3,2.392
20,0,1.63
17,11,307.42
21,2,2.06
16,8,7.548
20,3,2.546
16,11,284.296
21,3,2.512
23,10,318.954
14,1,1.46
11,5,3.49
15,2,1.972
13,2,1.942
11,5,3.49
11,5,3.49
10,6,3.386
11,3,2.476
14,2,1.9
10,6,3.386
23,8,37.284
19,7,10.05
12,5,3.746
13,1,1.514
10,6,3.386
13,4,2.972
16,9,9.094
13,2,1.942
24,3,2.478
18,1,1.63
17,10,307.144
12,0,1.528
13,11,315.078
22,7,19.626
16,5,5.392
17,11,307.42
16,5,5.392
12,1,1.542
22,8,25.432
11,4,3.04
16,8,7.548
20,0,1.63
14,9,7.404
11,7,5.078
16,7,6.998
23,4,2.726
10,11,363.346
14,8,6.086
18,2,2.094
14,6,4.874
23,1,1.572
16,7,6.998
21,1,1.598
17,3,2.564
13,10,313.652
22,1,1.586
22,8,25.432
15,4,2.834
13,11,315.078
23,5,7.178
10,4,3.02
19,11,258.502
13,9,6.862
15,6,5.306
23,11,315.238
23,1,1.572
21,6,10.46
15,0,1.534
16,10,285.0
19,10,258.558
22,7,19.626
20,10,246.512
