topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,0.00256964388576
2,10,2,10,1,0,1000,10,1024,100,2,0,0.768862779382
2,10,4,10,10,1,1,10,1024,10000,2,29,2.0
2,1,4,1000000,10,1,1000,10,512,100,5,29,2.0
2,10,4,1000000,10,1,1,1000,512,100,2,29,2.0
2,10,4,1000000,1,1,1000,1000,512,10000,2,29,0.000559683962399
4,10,2,1000000,10,1,1000,10,512,100,5,0,2.0
2,10,4,10,1,0,1,10,512,100,2,29,0.0148568175907
4,1,2,1000000,1,1,1000,10,512,10000,2,0,2.0
2,1,4,10,1,0,1,10,512,10000,2,29,2.0
2,10,4,1000000,10,0,1000,10,1024,100,2,0,2.0
2,10,2,10,1,1,1,10,512,10000,5,29,2.0
4,10,4,1000000,10,0,1000,10,1024,100,5,0,2.0
4,1,4,1000000,1,0,1,1000,512,100,2,0,2.0
4,10,2,1000000,10,0,1,1000,1024,10000,2,0,2.0
2,10,4,1000000,1,0,1000,10,512,100,5,29,2.99587522452e-05
2,10,4,1000000,10,1,1,10,1024,10000,2,0,2.0
2,1,2,10,10,0,1000,1000,1024,10000,2,0,0.758193378299
2,10,4,1000000,10,0,1,1000,1024,100,2,29,2.0
2,10,2,1000000,10,0,1,1000,512,10000,5,0,2.0
4,10,4,10,10,0,1000,10,512,10000,5,0,2.0
4,1,4,10,1,0,1,1000,512,10000,5,0,0.0146838738845
4,1,2,1000000,10,1,1000,1000,1024,100,5,0,2.0
2,10,2,1000000,1,0,1000,10,1024,10000,5,29,2.0
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
2,10,2,10,1,0,1000,1000,512,100,2,29,2.0
4,1,2,10,1,0,1000,10,1024,10000,2,29,2.0
4,10,2,1000000,1,1,1,10,1024,10000,2,29,2.0
4,1,4,1000000,1,0,1,10,1024,100,5,29,0.000802077503292
4,10,4,1000000,10,1,1000,10,512,100,2,0,2.0
4,10,4,1000000,10,0,1000,1000,512,100,5,29,2.0
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.0817560731157
2,10,2,1000000,10,1,1,10,512,10000,5,29,2.0
4,10,2,10,10,1,1000,10,1024,100,2,0,0.504333805865
4,1,2,10,1,1,1000,10,512,100,2,29,0.47932778007
2,1,2,10,1,0,1,10,1024,100,2,0,0.0149943554987
4,10,2,10,1,1,1000,10,512,100,2,0,0.593450199702
4,1,2,1000000,1,0,1,1000,1024,10000,5,0,0.000619601466889
4,1,2,10,10,0,1,1000,512,10000,5,0,0.0901962706801
2,10,2,1000000,1,0,1000,1000,512,10000,2,0,0.000359505026942
4,10,2,10,10,0,1,1000,512,100,2,29,2.0
2,1,4,10,10,0,1,10,1024,10000,5,29,2.0
2,1,2,1000000,1,0,1,1000,512,100,5,29,2.0
4,10,4,1000000,1,0,1000,1000,512,10000,2,29,0.00154423750209
2,10,4,10,1,1,1,1000,512,100,5,0,2.0
4,10,4,1000000,10,1,1000,10,512,10000,5,29,2.0
2,1,2,10,10,0,1,1000,512,100,2,29,2.0
4,1,2,1000000,10,0,1000,1000,1024,100,5,29,2.0
4,1,4,10,10,0,1000,1000,512,100,5,0,2.0
4,10,4,1000000,1,1,1,10,512,100,2,0,0.00231363273021
2,1,2,10,1,1,1,1000,512,10000,5,29,0.0146811503616
2,1,4,10,1,0,1000,1000,1024,10000,5,29,0.383363087821
2,1,2,10,10,1,1,1000,1024,10000,5,29,0.143129300613
2,1,2,1000000,1,1,1000,1000,512,100,5,29,2.0
4,10,4,10,1,0,1,1000,512,10000,2,29,0.014743791389
4,1,2,1000000,1,0,1000,1000,512,10000,2,29,2.0
4,1,4,10,1,0,1000,10,512,100,2,29,0.737934452974
4,10,4,10,1,1,1000,1000,512,100,2,0,2.0
2,1,2,10,1,1,1,1000,512,10000,2,0,0.015021590728
4,10,2,10,10,0,1000,10,512,10000,2,0,2.0
2,1,2,10,10,1,1,1000,1024,100,5,29,2.0
2,1,2,1000000,10,0,1000,10,512,100,5,0,2.0
4,1,4,10,1,1,1000,10,1024,10000,5,29,2.0
2,1,4,1000000,1,1,1000,1000,512,10000,2,29,2.0
4,10,4,10,10,1,1000,1000,1024,100,2,29,2.0
4,1,4,1000000,1,1,1,1000,512,100,2,0,2.0
2,1,2,1000000,10,0,1,10,1024,10000,2,29,2.0
2,1,4,10,1,1,1,1000,512,10000,2,0,0.0149507791318
2,10,2,10,1,0,1000,10,1024,100,2,29,0.747589341765
4,1,2,10,1,1,1,1000,1024,10000,2,0,0.0149031174805
2,1,2,1000000,10,0,1,1000,1024,10000,5,29,2.0
4,1,4,10,10,1,1,1000,1024,100,5,0,2.0
4,10,4,1000000,10,0,1,10,512,10000,5,0,2.0
2,1,4,10,10,0,1000,1000,1024,10000,2,29,0.801290405165
