new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,3,1,0,1,0,0,1,0,73.68
2,3,2,1,1,1,0,1,0,1,90.858
1,1,2,0,1,0,1,0,1,0,85.55
3,2,3,1,0,0,1,1,1,0,44.074
1,2,3,1,0,0,0,1,0,1,127.84
2,1,3,0,0,0,1,1,1,0,50.254
4,1,3,0,0,0,0,0,0,1,24.924
4,2,2,1,0,0,0,1,1,1,30.33
2,1,2,1,0,1,1,1,0,0,47.05
4,1,3,0,0,1,0,1,1,0,24.996
1,3,2,0,0,1,1,1,0,0,194.502
1,2,1,1,1,1,0,1,0,1,126.692
3,2,3,0,0,0,1,1,1,1,46.206
4,2,3,0,0,0,0,0,0,0,35.094
1,1,3,1,1,1,1,0,1,0,80.474
4,2,1,0,0,0,1,0,0,1,35.898
3,2,2,0,1,1,0,0,1,1,39.83
3,2,1,0,0,1,0,0,1,0,39.622
2,3,3,0,0,0,1,0,1,0,84.542
4,3,3,1,0,0,1,0,0,0,48.636
1,1,3,0,1,1,1,1,0,1,93.932
3,1,2,1,0,1,0,0,1,1,29.928
2,3,2,1,0,1,0,0,0,1,84.226
1,2,3,1,0,0,1,0,1,0,112.858
2,2,2,0,1,0,1,1,0,0,74.474
4,2,2,1,1,0,1,1,1,0,31.47
4,1,1,0,1,0,0,1,0,0,24.874
2,2,1,1,0,0,0,0,1,1,55.326
2,1,2,0,0,0,0,1,0,0,49.612
4,1,2,1,1,1,1,1,0,0,23.148
2,1,3,0,0,0,1,1,0,0,50.184
3,2,1,1,0,1,0,0,1,1,37.706
4,1,2,1,1,1,0,0,1,0,22.854
4,2,2,1,0,0,0,0,1,0,29.544
2,1,3,0,1,1,0,1,0,0,49.002
2,3,2,0,0,1,1,1,1,1,88.004
2,3,1,0,1,0,0,1,1,0,80.314
1,3,1,0,0,0,1,1,1,1,165.52
3,2,1,0,1,1,1,1,1,0,45.818
2,2,1,1,0,0,0,0,0,1,61.658
4,3,3,1,0,0,0,0,1,0,38.614
4,1,3,0,0,0,0,0,1,1,24.79
3,1,1,0,0,1,1,1,1,0,34.008
3,2,3,1,1,1,0,1,1,0,40.088
2,3,3,0,0,0,1,1,1,0,88.118
1,1,1,1,0,0,1,0,1,1,81.78
1,1,2,0,1,1,0,1,0,0,92.822
2,2,3,0,0,1,0,1,0,1,71.732
1,3,3,0,0,0,0,0,1,1,142.656
4,3,2,1,1,1,1,1,0,1,50.322
2,2,2,0,1,0,0,1,0,0,70.856
4,2,2,0,0,0,1,0,1,0,32.44
3,3,1,0,0,0,1,1,0,0,75.304
4,2,2,1,1,1,1,1,1,1,31.816
4,2,2,0,0,1,1,0,0,1,36.684
3,2,3,1,0,1,1,1,1,0,43.968
2,3,1,1,1,1,0,1,1,1,76.774
1,2,3,0,1,1,0,1,0,1,134.626
4,1,3,0,1,1,1,0,0,1,24.538
1,3,1,0,0,1,1,1,1,0,164.836
3,1,3,1,1,0,1,0,0,0,30.258
1,1,1,0,0,1,0,1,1,0,94.09
2,1,1,0,1,0,0,1,1,1,49.332
1,3,3,1,1,0,1,1,1,0,157.466
2,2,1,1,1,1,1,0,0,0,65.406
4,2,2,1,0,0,0,0,0,1,32.492
3,3,3,1,0,0,0,1,1,0,52.69
3,2,1,0,1,0,1,1,1,0,45.962
4,3,3,0,0,1,0,1,1,1,40.966
3,2,2,0,1,1,1,0,1,1,43.554
3,1,3,0,0,0,1,1,0,0,34.082
2,1,1,0,1,0,1,1,1,1,49.826
3,1,3,0,1,0,0,1,1,1,33.552
4,2,1,1,0,1,1,0,0,1,34.118
2,1,1,1,1,1,1,0,0,0,42.258
4,3,2,0,1,0,1,1,0,0,52.63
1,1,3,1,0,1,0,0,0,0,81.782
2,3,1,0,1,0,0,1,0,0,95.386
1,2,3,1,0,1,0,1,0,0,127.752
2,3,1,0,1,0,0,1,1,1,80.234
1,1,1,1,1,1,0,1,0,1,86.582
1,3,1,1,1,1,0,0,1,0,135.598
4,1,2,0,0,0,1,0,1,0,24.514
4,1,3,0,1,1,1,0,1,0,24.628
2,3,1,1,0,1,0,1,1,1,77.542
2,2,2,1,1,0,0,1,1,0,58.882
4,3,1,1,0,0,0,0,1,1,37.192
1,1,3,1,1,1,1,0,1,1,80.502
4,2,2,0,1,0,0,0,0,1,33.92
3,3,1,1,1,1,0,1,1,0,52.14
3,2,2,1,0,1,0,0,0,0,43.802
2,1,1,1,1,0,1,1,1,1,45.936
3,2,1,0,0,0,1,1,1,0,46.258
2,3,3,0,0,0,1,0,0,1,97.676
3,2,3,0,1,1,0,0,0,1,45.978
1,2,2,0,1,0,1,0,0,1,129.398
2,1,1,0,0,0,1,1,0,0,50.154
3,2,1,1,0,0,0,0,0,1,43.0
4,3,1,1,1,1,0,0,0,1,42.476
2,1,3,0,0,1,1,1,0,0,50.054
1,1,3,1,0,1,1,0,1,0,82.764
1,3,2,1,1,1,1,1,0,0,183.844
2,1,3,1,1,0,1,1,0,1,46.192
1,3,3,0,1,0,1,0,0,1,178.818
3,2,3,1,1,1,1,1,1,1,43.294
2,1,2,1,1,1,1,0,0,1,42.83
1,1,3,0,0,0,1,1,0,0,94.782
4,2,2,1,0,1,1,0,1,1,31.276
4,2,3,1,0,1,0,0,1,1,29.688
2,3,1,1,0,1,1,1,1,0,84.682
1,2,1,1,1,1,0,0,0,1,114.69
2,1,3,0,0,0,0,0,0,0,46.606
2,3,2,0,0,1,1,0,0,1,97.802
2,3,3,0,0,1,0,0,1,0,75.65
1,2,2,1,1,0,0,1,0,1,126.302
4,2,1,1,0,0,1,0,1,0,30.594
2,1,1,0,1,0,0,1,0,1,49.552
2,1,3,0,1,1,0,0,0,0,46.034
4,1,1,0,1,1,1,0,1,1,23.536
2,3,1,0,1,0,1,0,0,0,95.238
4,2,3,0,1,0,1,1,0,1,38.194
1,1,1,0,1,0,1,1,0,0,93.512
2,3,1,0,0,1,0,0,1,0,74.686
1,2,2,0,1,1,0,0,0,1,121.946
2,1,3,1,0,1,1,0,0,1,44.472
4,2,2,0,1,0,1,1,0,0,37.866
2,3,2,1,0,1,0,0,1,1,72.942
3,1,2,1,0,0,1,0,0,1,30.434
4,2,1,1,1,1,0,0,1,0,28.338
3,1,2,0,0,1,0,1,0,1,33.852
2,3,3,1,1,1,1,1,0,0,98.726
2,2,2,0,0,1,0,0,0,0,65.926
1,3,1,1,0,0,0,1,1,0,147.628
1,1,3,0,0,1,0,1,0,1,94.922
3,1,1,1,0,0,1,1,0,0,32.08
2,3,1,1,1,1,1,0,0,0,91.506
1,3,2,0,0,0,1,0,0,1,181.532
