new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,1,1,0,50,16,2,17677.6
4,0,0,0,0,40,2048,0,8988.2
4,1,1,1,0,90,512,8,125279.2
2,1,0,0,0,50,8,4,9132.8
1,1,1,0,1,0,256,0,18012.2
4,0,0,1,0,80,16,2,35661.0
4,0,0,1,0,40,2048,2,35775.8
4,0,0,0,0,80,2048,0,8916.6
1,0,0,0,0,40,2048,0,17698.8
4,0,0,0,0,80,2048,4,12760.8
4,1,1,0,1,80,16,0,8962.8
2,1,1,0,1,50,8,0,5220.4
2,0,1,0,1,80,8,0,5109.2
2,0,0,0,0,60,8,0,5183.6
2,0,0,0,1,30,8,0,5215.0
2,1,0,0,0,20,8,0,5343.6
2,0,1,0,1,40,16,0,5081.0
2,0,1,0,0,50,16,0,4995.2
2,0,1,0,0,50,16,8,96220.8
2,0,1,1,0,80,16,0,17635.4
