new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,2,0,0,4096,9,164.3828
1,2,2,1,1,1,1024,5,165.7098
1,1,2,2,0,1,1024,5,337.4748
1,2,1,0,1,0,1024,9,167.6726
0,1,2,1,0,0,1024,9,337.4748
0,2,1,2,0,0,4096,9,337.4748
0,2,2,2,0,0,4096,1,166.6618
0,2,2,2,0,0,4096,0,337.4748
0,2,2,2,0,1,4096,9,164.142
1,2,2,1,0,1,4096,9,165.2772
0,2,2,2,0,1,4096,5,164.8178
0,2,2,2,0,1,2048,9,164.5982
0,2,2,2,0,1,512,9,165.1012
1,0,1,0,1,0,1024,9,337.4748
0,2,2,2,1,0,4096,9,165.7986
0,2,2,0,0,1,1024,9,164.231
1,2,2,0,1,0,4096,1,166.8476
0,2,2,0,0,0,1024,1,165.1946
0,2,2,0,0,1,1024,5,164.4738
0,2,2,2,0,1,1024,9,164.2452
0,1,1,1,0,1,512,9,337.4748
0,2,2,0,0,0,1024,9,164.7506
0,2,2,1,0,1,1024,9,164.7082
1,1,2,2,0,1,1024,0,32.4752
1,1,2,1,1,0,1024,0,32.2274
1,1,2,1,1,0,4096,0,32.9028
1,1,2,0,1,1,1024,0,32.0384
0,1,2,0,1,1,1024,0,31.9392
0,0,2,0,1,1,1024,0,165.3184
1,2,1,0,1,0,1024,1,165.88
1,0,2,2,0,1,1024,0,164.182
1,1,1,0,1,0,512,5,337.4748
0,2,1,0,0,1,2048,5,168.3288
0,2,1,0,1,0,1024,0,337.4748
0,1,1,0,0,0,4096,0,31.9984
1,1,1,2,0,1,1024,0,337.4748
0,1,2,0,0,1,1024,0,32.209
1,1,1,1,1,1,512,0,337.4748
1,1,1,1,1,1,1024,0,337.4748
1,1,1,0,1,1,2048,0,32.7488
0,1,2,0,1,0,512,0,31.0946
0,2,1,2,0,1,2048,5,337.4748
0,0,1,0,0,0,4096,0,165.4656
0,0,2,0,1,0,1024,5,337.4748
1,0,2,0,1,1,2048,1,337.4748
0,0,1,1,0,1,1024,5,337.4748
0,2,1,2,1,1,4096,0,337.4748
1,0,1,1,1,1,512,0,337.4748
1,2,2,0,1,1,1024,0,337.4748
1,0,1,2,1,0,2048,1,337.4748
0,1,2,0,1,0,2048,0,31.6254
1,1,2,0,0,0,512,0,31.6822
0,1,2,0,1,1,512,0,31.4334
0,1,2,0,1,0,4096,0,31.6904
1,1,2,0,1,0,512,1,337.4748
1,0,2,2,0,1,4096,9,337.4748
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,1,512,0,31.6432
0,1,2,2,0,0,512,0,31.1458
0,1,2,2,1,0,2048,0,31.2782
0,2,1,2,0,1,2048,5,31.2782
1,1,2,0,0,0,2048,0,31.8866
1,1,2,0,0,0,4096,0,31.1622
0,0,1,1,1,0,1024,1,337.4748
1,1,2,0,1,1,1024,5,337.4748
0,0,1,0,0,0,1024,5,337.4748
0,2,1,1,0,0,1024,5,337.4748
0,1,2,0,0,0,2048,0,31.6514
0,1,2,1,0,0,2048,0,31.6962
1,1,2,0,1,1,2048,0,32.7946
0,1,2,1,1,0,2048,0,31.9244
0,1,1,0,0,0,2048,0,32.2248
0,1,1,0,1,0,2048,0,32.0884
1,1,2,2,0,1,2048,0,32.4974
0,1,2,0,0,1,2048,0,32.1222
1,1,1,0,0,0,2048,0,32.4476
1,1,2,1,1,1,2048,0,33.1484
1,1,2,0,1,0,2048,0,31.7862
0,1,2,2,0,0,2048,0,31.9334
0,1,1,0,0,1,2048,0,32.65
0,1,1,2,0,0,2048,0,337.4748
1,1,1,0,1,1,512,0,32.952
1,1,2,0,1,0,512,0,31.376
0,1,2,0,0,0,512,0,31.3186
1,1,1,0,1,0,1024,0,31.9774
0,0,1,0,1,1,2048,5,337.4748
1,1,1,2,1,0,4096,5,337.4748
1,2,2,0,0,1,4096,5,164.601
0,0,2,2,0,1,1024,9,337.4748
0,1,1,1,1,1,512,0,337.4748
1,2,1,2,0,1,4096,9,337.4748
0,1,1,2,0,0,1024,1,337.4748
0,1,1,0,0,1,512,0,32.3318
0,2,1,2,1,1,2048,0,337.4748
0,1,1,1,0,0,2048,0,337.4748
1,1,2,2,1,0,1024,5,337.4748
1,1,1,2,1,0,4096,1,337.4748
0,2,2,2,1,1,4096,0,337.4748
1,0,2,1,1,0,2048,9,337.4748
0,2,2,2,1,1,4096,5,165.53
