new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,2,1,0,1,1,0,0,1,47.934
2,1,1,0,0,0,0,0,1,1,45.678
3,3,1,0,0,0,1,0,1,1,58.696
1,3,1,0,0,1,0,1,1,1,153.628
1,3,1,0,1,1,1,1,1,1,164.684
3,2,2,1,0,1,1,0,0,0,47.766
2,1,1,0,1,0,0,0,0,0,44.62
4,2,2,1,1,1,0,0,0,0,32.114
4,2,3,1,1,1,0,0,0,0,32.72
4,3,3,0,1,0,0,1,0,0,48.562
4,2,2,1,1,0,0,0,0,0,31.846
4,2,2,1,1,0,0,0,1,0,28.9
2,2,2,1,1,0,0,0,1,0,55.174
4,2,2,1,0,0,1,0,1,0,31.214
4,2,2,1,0,0,0,0,1,0,29.544
1,2,2,1,1,0,0,0,1,0,103.57
4,1,2,1,1,0,0,0,1,1,22.29
4,1,2,0,1,0,0,0,1,1,23.884
4,1,2,1,1,0,0,0,1,0,22.394
4,1,1,1,1,0,0,0,1,1,21.586
4,1,1,1,1,0,0,0,1,0,21.556
3,1,1,0,0,1,1,1,0,0,34.046
4,1,1,1,1,0,0,1,1,1,23.586
4,1,1,1,0,0,0,0,1,0,22.452
4,1,1,1,1,0,1,0,1,1,21.772
4,1,1,0,1,1,0,0,0,1,23.328
4,1,1,1,1,0,1,0,0,1,21.758
4,1,1,1,1,0,1,0,1,0,79.142
4,1,3,0,0,1,1,1,0,1,25.476
4,2,1,1,1,0,1,0,1,1,30.17
4,1,1,1,1,1,0,0,1,1,21.97
4,1,1,1,1,0,0,0,0,1,21.694
4,2,1,1,1,0,0,0,0,1,31.096
3,1,3,1,1,1,1,1,0,1,31.216
4,1,1,0,1,0,0,0,1,0,23.434
4,1,1,1,1,0,0,0,0,0,21.636
4,1,1,1,1,0,0,1,0,0,22.794
1,1,3,1,1,0,0,0,0,0,79.53
4,1,3,1,1,0,0,0,1,0,23.06
4,1,1,1,0,0,0,0,0,1,22.254
4,3,1,1,1,0,1,0,0,1,46.604
1,1,1,0,0,0,1,1,0,0,94.946
4,1,1,1,1,1,0,0,1,0,21.698
3,2,3,1,1,1,0,1,0,1,46.426
4,1,2,1,1,0,1,0,0,1,22.486
1,1,3,1,1,1,0,0,0,1,79.554
1,3,1,0,1,1,0,0,0,1,163.584
4,1,1,1,1,0,1,1,1,1,23.416
4,1,3,1,0,1,0,1,0,1,23.782
4,1,2,1,0,1,0,1,0,0,23.362
4,1,1,1,1,1,0,0,0,0,21.678
4,2,2,0,1,0,0,1,1,1,31.674
4,1,3,1,0,1,1,1,1,1,24.574
3,1,1,1,1,1,0,0,0,0,29.01
2,1,1,1,1,1,1,0,1,1,42.334
3,1,1,1,1,1,0,1,1,0,30.814
3,1,1,1,1,0,0,0,0,1,28.7
3,3,1,0,0,0,1,1,0,1,75.498
3,1,1,1,1,0,1,0,1,1,29.188
2,2,1,1,1,0,0,0,1,1,54.504
1,3,1,0,0,0,1,1,0,0,193.886
4,3,1,1,1,0,0,0,1,1,36.978
3,3,1,1,1,0,0,0,1,0,49.054
3,2,3,0,1,0,1,1,0,1,53.438
4,1,1,1,1,1,1,0,1,1,21.906
4,1,1,0,1,0,1,1,0,1,25.11
1,2,3,0,0,1,1,0,0,1,132.422
4,1,1,1,0,0,0,0,1,0,132.422
4,1,2,1,1,1,0,1,0,1,23.39
4,1,2,0,1,1,0,1,0,1,25.182
3,1,1,0,1,0,0,1,0,1,33.566
4,1,3,0,1,0,0,1,1,1,25.034
2,3,1,1,0,1,1,1,0,1,99.608
4,3,2,0,0,0,1,1,1,0,44.466
4,1,2,0,1,1,0,0,0,1,24.014
1,3,1,1,0,1,1,0,0,1,172.726
4,1,2,0,1,1,1,1,0,1,25.184
2,1,1,0,0,0,1,1,1,1,50.44
3,2,3,0,0,0,0,1,0,1,49.962
4,1,2,1,0,1,1,1,0,1,23.932
2,2,2,1,1,1,0,1,0,0,66.678
2,3,3,1,0,1,0,1,0,0,91.822
4,2,2,1,0,1,1,0,1,0,30.974
3,1,1,1,0,1,1,0,1,1,29.93
4,1,2,1,1,1,0,0,1,1,22.452
4,1,2,1,1,1,0,0,0,1,22.476
2,2,3,0,0,1,1,1,1,0,66.096
4,1,2,0,1,1,0,1,1,1,24.768
4,2,2,0,0,0,1,1,0,0,38.082
1,1,2,0,0,1,0,0,0,1,86.234
4,1,1,1,0,1,1,1,1,1,25.19
2,1,2,1,0,1,1,1,0,0,47.05
3,2,2,0,1,1,1,0,1,1,43.554
3,1,3,0,0,0,0,1,0,1,34.05
1,2,1,1,1,1,1,1,0,0,132.104
4,3,1,1,0,1,1,1,1,0,43.126
3,2,3,1,1,0,1,1,0,1,50.06
3,1,2,1,0,1,0,0,0,1,29.96
4,1,1,1,0,1,1,1,0,0,23.824
1,2,1,0,0,0,0,1,0,0,134.62
