new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,1,1,1,10,64,6,93734.2
2,1,0,1,1,0,512,0,17857.6
2,1,1,1,1,20,512,2,17640.6
4,1,0,0,1,60,1,4,20262.4
3,0,1,1,0,30,4096,0,12071.8
1,1,1,0,1,100,8,0,17737.4
5,0,1,0,1,40,64,4,9164.4
5,1,0,1,0,70,256,0,9229.4
5,1,0,1,0,40,4,2,9224.8
3,0,0,0,0,10,16,6,11649.6
2,1,1,1,0,40,8,2,17652.4
3,0,1,1,0,30,1,2,14358.8
1,0,1,0,1,70,256,2,17668.4
4,0,0,1,1,100,128,2,35822.4
4,0,0,0,1,70,512,2,8921.2
3,0,0,1,1,20,4096,6,10945.6
3,1,0,1,0,10,16,10,49589.8
2,1,0,1,0,80,4096,0,17720.8
4,0,0,1,0,50,16,8,124793.6
1,1,1,1,1,90,2,2,17706.6
2,0,1,0,1,90,32,0,4699.0
5,1,0,0,1,30,8,0,9169.8
4,1,1,1,0,100,2048,0,35816.6
4,1,1,1,0,70,16,0,35774.8
1,0,1,1,1,10,8,4,12285.6
5,1,1,0,0,60,2,2,9166.0
3,1,0,0,1,80,256,10,48658.2
2,0,0,0,1,100,128,10,101280.8
5,1,0,1,1,80,2,4,9188.6
3,1,1,0,1,90,16,8,37323.4
1,0,0,1,1,20,512,0,17776.8
4,0,1,1,0,50,16,6,49332.8
3,1,0,0,1,30,512,0,12235.2
4,0,1,0,0,20,4096,8,41981.2
4,1,0,1,0,20,8,8,124184.4
5,0,0,1,0,80,2,2,9183.6
1,0,0,0,1,10,8,4,12391.4
3,1,1,1,1,20,128,8,38459.6
1,0,1,1,0,20,128,6,91752.8
5,1,1,0,1,100,1,0,9115.6
1,0,1,1,1,10,128,2,17870.2
2,0,0,1,0,90,32,2,17699.0
3,0,1,0,1,0,1024,4,15930.8
4,0,0,1,0,50,512,10,415985.2
2,0,1,0,0,10,128,4,5753.4
4,1,1,0,1,100,64,6,19407.2
4,0,1,1,0,30,256,6,49148.8
1,1,0,1,0,40,2048,10,102923.0
1,0,0,0,0,20,128,8,101117.6
4,0,0,0,1,50,8,0,9133.8
3,0,0,1,1,70,2,2,13071.6
5,1,1,0,0,10,1,2,9156.2
1,1,1,1,0,60,4,4,12427.4
4,1,1,0,1,10,4096,10,144353.6
2,1,1,0,1,10,2048,2,5716.0
1,1,1,1,0,0,2048,6,123501.4
5,1,0,1,1,70,256,6,47555.6
5,0,0,0,0,80,128,8,120795.0
5,1,0,1,1,20,8,4,9215.2
1,0,1,0,1,90,2,6,73824.6
3,1,1,0,0,60,1024,10,48438.0
5,0,0,0,0,0,64,8,121131.8
5,1,0,0,0,70,32,2,9219.2
5,1,1,0,0,80,2048,8,120866.6
4,0,0,1,1,10,32,8,124198.8
1,0,0,1,1,100,64,10,103011.0
3,0,0,0,1,10,1024,4,12432.4
2,0,0,1,0,60,4096,10,102592.4
2,0,0,1,1,10,8,4,12428.0
5,0,0,0,0,30,16,4,9172.4
4,0,1,0,0,0,64,2,11880.4
4,0,1,1,1,80,512,10,416650.8
5,0,1,0,1,70,2,6,47405.8
4,0,1,0,0,90,1024,10,111908.2
3,1,0,1,0,70,2048,6,10722.0
5,1,1,0,0,0,32,10,300537.0
4,0,1,0,1,60,16,2,8979.4
4,0,0,0,0,60,1,6,34881.4
4,1,0,1,0,30,256,4,43444.0
2,1,1,0,1,10,2,10,80107.0
2,1,0,1,1,10,1,6,116411.6
1,1,0,1,1,40,256,8,103164.4
3,0,0,1,1,70,128,0,12211.2
5,0,0,0,0,50,4096,4,9110.2
2,0,0,0,0,60,64,2,4717.0
3,1,0,1,1,90,16,0,12131.2
5,0,1,0,1,40,1024,10,303744.6
2,0,0,0,1,70,8,2,5180.2
2,1,0,1,1,70,256,0,17716.2
1,1,0,0,1,100,64,4,11747.4
2,0,1,1,0,90,256,4,11876.4
2,1,0,0,1,100,8,10,86092.2
5,0,0,1,0,80,32,10,300082.2
2,0,0,0,1,60,8,8,86304.2
3,0,0,0,0,30,4,2,12845.2
2,1,0,0,0,20,8,2,5349.0
5,0,0,1,1,20,2048,10,299660.6
1,0,0,1,1,90,128,10,102965.0
4,0,1,0,1,100,128,0,8893.6
3,1,1,0,0,10,2048,10,50622.4
5,1,0,0,1,60,2048,10,301734.8
2,1,0,1,1,20,16,4,12103.2
2,0,0,1,0,100,2,8,117463.0
3,1,0,0,1,60,2048,4,12094.2
5,1,1,1,0,90,4096,8,121854.4
1,1,0,0,0,20,2048,10,101154.2
4,1,0,0,0,10,2048,10,144208.8
2,0,1,1,0,20,4,10,114357.4
1,0,0,1,0,60,512,0,17712.6
3,0,1,1,1,70,2048,2,12176.6
4,1,0,0,1,20,512,4,13804.0
3,1,0,1,1,60,256,10,48462.8
3,1,1,1,1,100,256,0,12132.6
1,1,1,1,1,60,32,8,103489.6
3,0,0,1,0,10,1024,10,50452.0
3,1,1,0,0,10,256,0,12450.2
3,0,1,1,1,80,2048,8,37950.0
2,0,1,1,1,100,16,6,93898.8
5,1,1,0,1,30,4,10,298379.4
4,1,0,1,1,10,1,10,419816.4
4,1,1,1,1,10,512,6,48674.2
2,0,1,0,1,0,1,2,11374.2
1,0,1,1,1,60,32,0,17755.8
4,0,0,1,0,0,2,0,35528.2
4,0,1,1,0,80,1024,10,415415.6
2,0,1,1,0,100,64,0,17684.0
2,1,0,0,0,100,1,0,11210.6
3,1,0,0,1,0,4,0,15954.8
4,1,0,0,0,10,2,6,26353.2
5,1,1,1,1,90,8,0,9234.2
5,1,0,1,0,20,1024,10,300584.2
4,1,0,1,0,100,32,8,125121.8
4,0,0,0,0,100,32,2,8959.6
3,1,1,0,0,50,1,6,18303.4
5,0,0,1,1,40,128,4,9172.2
1,1,1,0,1,40,4,2,17717.0
3,0,0,1,0,10,1,2,14379.8
1,1,0,1,0,20,4096,2,17770.2
5,0,0,1,0,80,256,10,299987.2
4,1,0,1,1,30,128,4,43444.2
4,0,1,1,1,10,512,2,35824.2
3,0,1,0,0,10,32,6,11709.8
3,0,0,0,0,70,256,6,10810.4
1,1,1,1,0,60,2048,8,102589.2
4,0,1,1,0,30,16,4,43545.6
3,0,1,0,1,70,2048,8,37978.2
3,1,1,0,0,70,2,2,13178.6
4,1,0,1,0,100,32,4,43601.2
5,0,0,1,1,100,128,8,122124.0
4,1,1,1,1,40,4,10,415281.4
4,1,1,1,0,40,32,0,35849.6
5,1,1,0,1,50,1024,0,9166.2
1,0,1,1,1,40,4096,6,91011.6
1,1,0,1,1,70,8,10,109086.2
1,1,0,0,0,90,32,6,87457.0
3,0,0,0,1,20,4096,10,49307.0
1,0,0,0,0,100,2,6,73363.8
5,0,1,1,1,0,16,8,121118.0
4,1,1,0,0,50,256,0,8932.6
