new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,2,1,0,4096,9,165.7986
0,2,2,2,0,1,4096,0,337.4748
1,0,2,2,0,1,1024,1,337.4748
0,2,2,2,0,0,1024,9,165.1044
1,1,1,0,0,1,512,1,337.4748
1,0,2,1,0,1,2048,0,168.3294
0,2,2,2,1,1,1024,1,166.6378
1,2,1,1,0,0,2048,5,337.4748
1,0,2,0,1,0,512,1,337.4748
0,2,1,2,0,0,1024,1,337.4748
1,0,1,1,1,1,512,0,337.4748
0,0,2,2,1,1,4096,9,337.4748
1,2,1,0,1,1,512,0,337.4748
0,1,2,1,0,1,4096,1,337.4748
1,0,1,2,0,1,1024,9,337.4748
1,1,1,2,1,0,1024,9,337.4748
1,2,2,0,0,1,4096,1,165.5144
1,2,1,2,0,1,2048,1,337.4748
1,2,2,1,0,0,2048,1,168.218
0,1,1,0,1,1,4096,5,337.4748
0,2,2,0,0,1,2048,5,163.1684
0,0,1,0,0,0,1024,1,337.4748
1,2,2,1,1,1,512,0,337.4748
0,0,2,0,0,1,2048,5,337.4748
1,0,2,2,1,1,1024,9,337.4748
0,1,1,0,1,1,1024,0,32.7334
1,1,2,0,0,1,512,1,337.4748
0,2,2,0,0,0,4096,0,337.4748
0,0,2,0,0,0,4096,9,337.4748
1,1,2,0,0,1,512,5,337.4748
0,2,2,0,0,0,4096,5,164.7146
0,2,2,0,1,0,4096,0,337.4748
0,0,1,2,0,1,4096,0,337.4748
0,2,2,0,1,1,512,1,165.261
0,2,2,1,0,1,512,0,337.4748
0,2,2,2,0,1,512,1,164.987
1,1,1,2,1,1,2048,0,337.4748
1,0,1,2,0,1,1024,1,337.4748
0,1,2,1,1,1,2048,5,337.4748
1,2,2,0,0,0,1024,0,337.4748
1,2,1,2,1,1,4096,5,337.4748
0,1,2,2,1,1,512,1,337.4748
1,2,2,2,1,1,2048,0,337.4748
0,2,1,2,1,1,2048,0,337.4748
1,2,2,0,1,0,512,1,165.1408
1,1,1,0,1,0,512,0,32.389
1,0,2,1,0,0,4096,0,165.9296
1,2,2,1,0,1,512,5,165.5166
1,2,1,2,1,1,512,5,337.4748
1,1,1,2,0,0,4096,9,337.4748
0,1,2,2,0,0,512,9,337.4748
1,0,2,0,1,0,2048,9,337.4748
0,1,2,0,1,1,512,1,337.4748
0,2,1,2,1,1,1024,9,337.4748
1,0,2,2,1,0,1024,0,164.9386
0,0,2,2,0,1,512,1,337.4748
0,1,1,0,0,0,2048,5,337.4748
1,2,2,2,1,1,1024,1,163.2904
0,2,1,2,0,1,2048,5,337.4748
0,0,2,2,0,1,4096,5,337.4748
1,0,2,2,1,0,4096,0,167.6958
1,1,2,1,0,0,2048,9,337.4748
1,2,1,2,1,0,1024,1,337.4748
0,1,1,1,1,0,2048,0,337.4748
0,2,2,0,1,1,2048,1,167.317
1,0,1,2,1,0,4096,1,337.4748
0,2,1,2,0,1,1024,0,337.4748
1,2,1,2,0,1,2048,9,337.4748
0,2,1,0,1,1,2048,9,166.9416
0,1,2,1,1,1,2048,1,337.4748
0,2,1,0,0,1,1024,1,166.278
0,2,2,0,0,0,512,9,164.7462
1,0,1,2,1,0,1024,0,337.4748
0,1,1,2,0,0,1024,9,337.4748
0,2,1,0,0,0,2048,9,167.909
0,2,2,2,0,1,1024,5,164.4504
0,1,2,2,1,0,512,1,337.4748
1,2,1,2,1,0,4096,0,337.4748
1,1,1,2,0,1,2048,9,337.4748
1,1,1,0,0,0,2048,0,32.4476
1,2,2,2,0,0,512,0,337.4748
