ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,83736.0
0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,68701.6
0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,77634.2
1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,77117.2
1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,76047.4
0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,66693.2
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,61847.2
0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,78349.2
1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,82884.2
0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,89625.2
0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,64909.0
0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,66519.0
0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,78746.8
1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,69899.8
1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,86442.8
0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,66806.8
1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,82632.6
1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,68067.0
0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,83914.4
1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,72550.0
0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,64280.0
0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,81642.8
0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,85554.2
0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,87774.4
0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,72447.0
0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,86175.8
0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,68476.2
0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,84860.0
0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,76068.8
0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,78759.2
1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,87434.0
1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,90442.8
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,64640.6
1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,90185.2
0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,61592.2
1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,84272.2
0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,82449.0
0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,76997.6
0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,84558.0
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,94789.4
0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,76790.6
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61414.8
1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,64618.2
1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,89581.0
0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,83788.6
0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,73611.4
0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,68204.6
0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,91504.6
1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,69279.4
0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,1,93709.6
1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,78239.2
1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,94087.0
0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,89200.6
0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,95132.2
