fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,0,1,0,256,32,256,135844.0
0,0,0,1,0,128,32,4096,46365.0
0,1,0,0,0,256,32,256,46178.0
1,1,0,1,0,256,32,4096,128968.4
1,0,0,0,1,256,8,4096,131261.2
0,0,0,0,1,128,32,4096,46304.6
0,1,1,1,0,128,32,4096,46612.8
0,1,1,1,1,256,32,256,46982.0
0,1,0,1,1,256,8,1024,46605.0
1,1,1,1,1,64,32,4096,131409.8
0,0,0,1,0,64,2,4096,46738.0
1,1,1,1,0,256,2,1024,129660.2
0,1,1,0,0,256,32,256,46640.6
0,0,1,0,0,128,2,1024,46254.6
1,1,0,1,1,128,32,4096,131405.0
1,1,0,1,0,128,2,1024,132390.8
0,0,0,1,1,256,2,4096,46327.4
1,1,1,0,1,64,2,1024,132269.2
1,1,0,1,1,256,8,4096,131693.0
1,0,0,1,0,64,8,4096,134655.4
1,1,1,1,0,128,32,1024,126388.4
1,1,0,1,1,128,32,1024,129568.0
0,0,1,0,0,256,8,4096,46383.4
1,1,1,1,0,128,8,4096,129330.0
0,1,0,0,0,256,8,1024,46097.6
1,0,1,0,1,256,32,256,137280.0
0,1,1,1,1,128,32,256,46742.0
1,0,1,0,1,128,32,1024,140847.2
0,0,1,1,0,64,2,256,46508.8
1,1,0,1,1,128,8,4096,126456.8
0,1,0,1,0,64,32,256,46886.0
0,0,0,1,0,256,2,1024,46554.6
0,1,0,0,1,256,8,1024,46358.2
0,1,1,1,1,256,8,4096,46925.4
0,1,1,1,0,128,2,4096,47187.0
1,1,1,0,1,256,2,1024,128397.6
0,1,0,1,1,256,32,4096,47368.0
1,1,0,0,1,256,8,256,131946.0
1,0,0,1,1,128,32,1024,135249.8
1,1,1,1,0,256,32,256,131548.2
0,0,1,0,1,256,32,4096,47000.2
0,1,0,1,1,64,32,4096,46490.6
1,1,0,0,0,256,8,256,133404.8
1,0,1,0,0,64,32,4096,135630.0
1,0,0,0,0,64,2,1024,131859.6
0,0,1,0,0,64,32,1024,46389.6
0,1,1,0,1,64,32,4096,46412.4
0,0,0,0,0,256,32,4096,46042.4
1,0,0,1,1,128,32,4096,132487.4
1,0,0,0,1,64,8,1024,134427.4
0,1,1,0,1,128,32,1024,46436.8
0,0,0,0,1,256,2,4096,47094.8
0,1,0,1,0,256,2,4096,47670.8
1,0,1,1,1,256,32,256,137724.2
1,0,1,0,0,128,2,4096,138294.4
1,1,1,0,1,256,32,1024,129640.2
1,0,0,0,0,256,8,1024,131793.4
0,0,1,0,0,64,32,4096,46191.2
1,0,0,0,1,128,8,4096,140983.4
0,0,0,0,0,256,32,1024,46256.6
0,0,1,0,1,64,32,256,46132.4
0,0,1,1,1,256,2,4096,46800.0
0,1,0,0,0,64,2,1024,46111.6
1,1,1,0,1,128,32,4096,128474.6
1,0,0,0,1,128,32,1024,132768.2
1,0,0,0,0,256,32,1024,136341.4
1,1,1,0,0,64,32,1024,134439.4
1,0,1,1,0,128,32,4096,138185.4
1,1,1,1,1,256,32,256,130466.0
1,0,1,0,0,256,8,1024,138245.2
0,1,0,1,0,64,8,4096,46203.0
1,0,1,1,1,256,8,1024,134859.0
0,1,0,1,0,64,2,256,46355.4
0,0,1,0,0,64,2,4096,46095.0
0,1,0,0,1,64,32,1024,46172.8
0,1,0,0,1,256,2,4096,46310.8
1,0,1,0,1,256,8,4096,136736.2
0,0,0,1,1,128,32,4096,46343.6
0,0,1,0,1,256,8,4096,46508.6
0,0,1,0,0,256,32,4096,46148.2
1,0,1,0,0,128,2,256,135048.6
0,0,0,0,1,128,8,1024,46255.2
0,0,1,0,1,256,32,1024,45939.8
0,1,0,0,1,128,8,4096,46303.0
0,1,1,0,0,128,32,1024,46311.2
0,0,1,1,0,256,32,1024,47774.0
0,1,1,1,1,256,8,256,46778.4
1,1,0,0,0,128,2,4096,133164.4
0,0,1,1,1,128,32,4096,46593.6
1,0,0,0,0,64,32,4096,131737.4
0,0,1,1,0,64,32,256,46700.8
1,0,0,0,0,256,32,4096,134589.6
1,0,0,0,1,256,32,4096,129652.6
0,1,1,0,0,256,32,4096,46191.2
0,1,1,0,0,64,2,4096,46357.8
0,1,0,1,0,256,2,1024,46350.2
1,1,1,1,1,128,2,256,130797.6
0,0,0,1,0,64,32,1024,46258.0
1,0,1,1,0,64,32,1024,139522.4
1,0,1,0,1,128,32,4096,138524.6
1,1,0,0,1,128,2,4096,133053.0
1,0,0,0,1,64,32,4096,128417.8
0,1,1,0,0,128,2,256,46183.8
0,0,1,1,1,256,32,4096,46299.2
1,1,1,0,1,256,32,4096,128597.0
1,1,1,0,0,256,2,1024,135845.2
0,0,0,0,1,256,2,256,46214.2
1,1,0,1,0,64,32,4096,131301.0
0,0,0,0,0,128,32,4096,46476.2
1,1,0,0,1,64,32,1024,132368.4
1,0,1,0,1,128,2,4096,139647.8
1,1,1,1,0,256,8,4096,129630.8
0,1,1,0,0,64,32,4096,46715.4
0,0,0,0,1,256,32,256,46294.8
0,0,0,1,1,256,8,256,46222.8
1,0,1,0,0,256,8,4096,137294.8
0,1,1,0,0,256,8,4096,46382.8
0,0,0,1,0,256,8,4096,46597.8
1,1,0,0,1,128,2,1024,130383.4
1,1,1,1,0,128,8,256,130678.4
0,0,1,1,0,256,8,1024,46903.4
1,0,1,0,1,128,8,1024,136768.0
1,0,1,1,0,256,32,256,140016.8
1,0,1,1,0,256,32,4096,138895.2
1,1,0,0,0,128,32,4096,134334.8
1,1,1,1,1,256,8,4096,134411.4
1,0,1,0,0,64,32,256,137127.0
1,0,0,0,0,256,8,4096,135307.4
0,0,0,1,0,256,32,4096,46898.4
0,1,0,0,0,64,2,4096,46154.0
1,0,0,1,1,256,32,256,135542.6
1,0,1,1,0,256,8,256,139655.8
1,0,1,1,1,64,8,1024,142008.0
0,0,0,1,1,128,8,4096,46615.8
0,1,0,0,0,128,32,1024,46341.0
0,1,1,1,0,256,32,1024,46477.8
0,1,0,1,0,64,32,4096,46404.0
0,0,1,1,0,256,2,4096,46625.0
0,0,0,0,0,128,32,1024,46582.2
1,1,1,0,1,256,2,4096,132488.4
0,0,1,1,0,256,32,4096,47278.0
0,0,1,0,0,256,32,256,46243.2
1,1,0,1,1,256,32,4096,126458.8
0,1,0,0,1,64,2,256,46143.2
0,0,1,0,0,256,2,256,46199.6
0,0,1,0,1,128,8,4096,46545.6
1,1,1,1,0,128,32,4096,127500.8
0,1,1,0,1,256,8,4096,46207.2
0,0,1,0,1,256,2,256,46342.0
0,1,1,1,1,256,32,4096,46325.4
0,0,0,1,1,64,2,1024,46426.0
1,1,0,0,1,256,32,4096,134608.6
1,1,1,0,0,64,8,4096,130763.8
1,0,1,0,0,256,32,1024,134646.2
1,1,0,1,1,256,8,1024,122151.8
1,1,1,1,1,128,32,1024,130943.4
0,1,1,0,1,256,8,1024,46398.4
0,0,0,0,0,256,8,1024,46252.0
1,0,0,1,1,256,2,1024,135362.8
0,0,1,1,0,64,32,4096,46914.0
0,0,1,1,1,256,32,1024,46821.8
1,0,0,1,1,256,2,4096,134019.0
1,1,1,0,0,64,32,4096,131524.0
0,0,1,1,0,128,2,4096,46450.2
0,0,0,1,1,256,32,1024,46368.4
1,0,0,1,0,256,8,4096,131930.8
1,0,1,1,0,128,8,4096,136843.8
1,1,1,1,1,128,8,4096,130405.6
1,1,0,0,0,128,32,1024,133666.2
1,0,1,1,1,64,8,4096,136839.6
0,0,1,1,1,128,32,256,46567.8
0,1,1,0,1,256,32,4096,46447.8
0,1,0,1,1,64,32,1024,46378.6
0,0,0,0,0,128,2,256,46236.8
0,0,1,0,1,64,32,4096,47106.4
0,1,0,1,1,128,8,1024,47354.4
1,0,0,1,0,256,2,1024,133313.6
1,0,0,1,1,128,8,256,132351.4
1,1,0,1,0,64,32,256,133072.4
1,1,1,0,1,64,32,256,133542.0
