spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,0,1,0,1,0,0,1,1,0,1,1,0,1,0.994041708044
1,1,1,0,0,1,0,1,1,0,1,1,1,1,0.992055610725
1,0,0,0,0,0,1,1,0,0,0,0,1,1,0.992055610725
0,0,0,0,0,1,0,1,0,1,0,1,0,1,0.00695134061569
0,0,1,1,0,1,0,0,1,1,1,1,0,0,0.00695134061569
0,1,1,1,0,0,1,1,1,0,0,0,0,0,0.00297914597815
1,1,0,0,0,0,1,1,1,1,1,0,1,1,0.994041708044
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.0287984111221
0,1,1,0,1,0,0,1,1,0,1,0,1,1,0.00794438927507
1,0,1,1,0,0,0,0,0,0,0,1,0,1,0.998013902681
1,1,0,0,0,0,1,1,1,1,0,0,1,0,0.994041708044
1,0,1,0,0,0,0,1,1,1,1,0,1,1,0.994041708044
0,1,1,1,1,1,0,1,0,1,1,1,0,1,0.0198609731877
1,0,0,1,0,0,1,1,1,1,1,0,0,1,0.998013902681
0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.00695134061569
0,0,1,0,0,1,1,1,0,0,0,1,1,0,0.00695134061569
0,1,1,1,0,0,1,1,0,0,1,0,0,1,0.00297914597815
1,1,1,1,0,0,1,0,1,1,0,0,0,0,0.997020854022
1,1,1,0,1,0,0,1,0,0,1,0,1,1,0.994041708044
0,0,1,0,1,0,1,1,1,1,0,0,1,0,0.00695134061569
1,1,1,1,1,1,1,0,1,1,1,1,1,0,0.993048659384
1,1,0,1,1,0,0,1,1,0,1,1,1,0,0.995034756703
0,1,0,0,0,0,1,0,1,1,0,1,1,1,0.0109235352532
1,0,0,1,1,0,1,1,1,1,0,0,0,1,0.994041708044
1,1,0,0,1,0,1,0,1,0,0,0,1,1,0.994041708044
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0.992055610725
0,0,1,1,0,1,1,1,1,0,0,0,1,0,0.00695134061569
0,1,1,1,1,1,1,1,1,1,0,1,1,1,0.012909632572
0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.00297914597815
1,0,0,0,1,0,0,1,1,0,1,0,1,0,0.994041708044
0,0,0,0,1,0,0,1,0,0,1,1,0,1,0.0278053624628
1,0,0,1,1,0,0,0,1,1,0,0,0,0,0.994041708044
0,1,0,0,1,0,1,1,0,1,0,0,1,0,0.0228401191658
0,0,1,1,1,1,1,1,0,0,0,0,0,1,0.00595829195631
1,1,0,1,0,1,0,1,1,1,1,0,1,1,0.994041708044
1,0,1,0,1,0,0,0,1,0,1,1,0,1,0.994041708044
0,0,0,1,1,1,0,1,0,1,1,1,0,0,0.00695134061569
1,0,1,0,0,0,0,0,1,1,0,1,0,0,0.994041708044
1,1,0,0,0,0,0,0,1,1,1,0,1,1,0.992055610725
1,1,0,0,0,0,1,1,0,1,1,0,1,0,0.993048659384
0,0,0,1,1,1,1,0,0,0,0,1,0,0,0.00695134061569
0,1,0,0,1,0,0,0,1,0,1,0,1,1,0.00893743793446
0,0,1,1,1,1,1,1,0,0,0,1,0,0,0.00695134061569
0,1,1,1,0,1,1,0,1,1,1,1,1,0,0.012909632572
1,1,1,1,0,1,1,0,1,0,1,0,0,0,0.174776564052
0,0,0,0,1,1,1,0,0,0,0,1,0,0,0.00595829195631
1,1,0,0,0,0,1,1,0,0,1,0,1,1,0.994041708044
1,0,0,0,0,0,0,1,1,0,1,0,0,0,0.992055610725
1,1,0,0,0,0,0,1,0,1,0,0,0,1,0.992055610725
