topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,1,0,1,1000,512,100,5,0,2.0
4,10,4,10,10,0,1000,10,512,10000,5,0,2.0
4,1,4,10,1,1,1,10,512,100,5,29,0.0146008064351
4,1,4,1000000,10,1,1000,10,512,10000,5,29,2.0
4,1,4,10,10,1,1,1000,512,100,2,0,2.0
4,1,2,1000000,10,0,1,10,1024,10000,5,29,2.0
4,1,4,1000000,10,0,1,1000,512,10000,2,29,0.00551785745898
4,10,2,1000000,10,0,1000,10,512,100,5,0,2.0
4,10,2,10,1,0,1000,1000,1024,100,5,29,2.0
4,1,4,10,10,1,1,1000,1024,10000,2,0,0.143928654593
2,10,4,10,1,1,1000,1000,512,10000,5,0,0.306047718845
2,10,2,1000000,1,1,1000,10,512,10000,2,0,2.0
2,10,2,10,10,0,1000,1000,512,100,2,29,2.0
4,1,2,10,10,0,1000,1000,1024,100,5,29,2.0
2,10,2,10,10,1,1000,10,512,10000,5,29,2.0
2,1,2,10,10,0,1000,10,512,100,2,0,0.435357864104
4,10,2,1000000,10,1,1,1000,1024,100,2,29,2.0
2,10,2,1000000,1,0,1,10,512,100,2,29,0.00253423808765
2,10,2,1000000,10,1,1,1000,1024,10000,5,29,2.0
4,1,2,10,1,1,1,10,1024,100,5,29,0.0144292244905
2,1,4,1000000,1,1,1000,10,1024,100,2,29,2.0
4,10,2,1000000,1,0,1000,1000,1024,100,2,29,2.0
4,10,2,10,1,1,1,1000,512,100,2,29,2.0
4,1,4,1000000,1,0,1000,10,512,100,5,0,2.0
2,1,2,10,10,0,1,1000,1024,100,5,0,2.0
2,10,2,1000000,1,0,1000,10,1024,100,5,29,2.0
4,10,2,10,10,0,1000,10,1024,10000,5,0,2.0
4,1,4,10,1,1,1000,10,1024,100,2,0,0.718935157004
2,10,2,1000000,10,0,1,10,1024,10000,5,29,2.0
2,1,2,10,10,0,1000,10,512,10000,2,0,2.0
4,10,4,1000000,10,0,1000,10,512,10000,5,29,2.0
2,1,2,1000000,10,1,1000,10,1024,100,5,29,2.0
2,10,4,10,1,0,1,10,1024,10000,2,0,2.0
4,10,4,10,1,1,1,1000,1024,10000,2,29,0.014664809224
2,1,2,10,1,1,1,1000,1024,10000,2,0,0.0149167350952
2,1,4,10,1,0,1,10,512,100,5,29,0.014983461407
2,1,4,10,1,0,1000,1000,1024,100,2,0,2.0
4,10,2,10,10,1,1,10,1024,10000,5,29,2.0
2,1,4,1000000,1,0,1000,1000,1024,10000,2,0,8.85144952699e-05
4,1,2,1000000,1,0,1,10,1024,10000,2,29,2.0
4,10,2,10,1,0,1000,10,1024,100,5,29,0.196131780381
4,1,4,1000000,10,1,1000,1000,1024,10000,2,29,0.00174986348341
4,10,4,1000000,1,0,1000,10,1024,10000,5,29,2.0
2,1,2,1000000,1,0,1,10,512,10000,2,29,2.0
4,10,2,1000000,1,1,1,1000,512,10000,2,0,0.00297544880254
2,1,4,10,10,0,1000,10,512,10000,2,29,2.0
2,1,4,1000000,1,0,1,1000,512,10000,5,0,0.000769395228115
4,10,2,10,10,0,1,10,512,10000,2,0,2.0
4,1,2,1000000,1,0,1000,1000,512,100,2,29,2.0
4,10,4,10,1,0,1000,1000,1024,10000,5,29,0.217802852346
2,1,2,1000000,10,0,1,10,1024,100,2,29,2.0
4,1,2,10,1,1,1000,1000,1024,100,2,29,2.0
4,1,2,10,10,0,1,10,1024,100,5,0,0.0896202455801
2,10,2,1000000,1,0,1,10,1024,10000,2,0,2.0
4,1,4,10,10,0,1000,10,1024,10000,2,0,2.0
4,1,2,10,1,0,1,10,512,10000,5,29,2.0
4,1,4,10,10,1,1,1000,512,10000,5,29,0.081207283245
2,1,2,10,1,0,1,10,1024,10000,5,0,2.0
2,10,4,10,1,1,1,1000,1024,10000,2,0,0.0147819207101
4,1,2,10,10,1,1000,1000,512,10000,2,29,0.533227660644
4,1,2,10,1,1,1,1000,1024,100,2,0,2.0
2,10,4,10,10,1,1,10,512,100,2,0,0.149863211061
2,10,4,10,1,0,1,1000,1024,100,5,29,2.0
2,1,2,10,1,0,1000,1000,512,100,5,0,2.0
2,10,2,10,1,0,1,1000,1024,10000,2,0,0.0146511916094
2,1,2,10,10,1,1,10,1024,100,2,0,0.150052495905
4,1,2,10,10,1,1000,10,1024,10000,5,0,2.0
4,1,4,10,10,1,1,10,512,10000,5,29,2.0
2,10,2,10,10,1,1,1000,1024,10000,2,0,0.14924905664
4,10,4,1000000,1,1,1,10,1024,10000,5,0,2.0
2,1,2,10,1,1,1,1000,512,100,5,29,2.0
4,10,4,10,10,1,1,1000,1024,10000,2,0,0.143822437199
2,10,4,10,10,1,1,10,1024,100,2,0,0.150398383317
2,10,2,1000000,10,1,1,10,512,10000,2,29,2.0
2,1,2,10,1,1,1000,1000,1024,10000,2,0,0.86631315339
2,1,4,1000000,1,1,1,10,512,100,5,29,0.000826589209674
2,10,2,10,1,1,1000,1000,512,100,5,29,2.0
4,1,4,10,10,1,1,10,512,100,5,29,0.0823143953166
4,10,2,1000000,1,1,1,10,1024,10000,5,29,2.0
2,1,2,10,10,1,1,1000,512,100,2,0,2.0
4,10,2,1000000,1,1,1000,1000,512,10000,2,0,2.0
2,1,2,1000000,1,1,1,1000,512,100,2,0,2.0
2,1,4,1000000,1,1,1000,10,1024,100,2,0,0.000328184513232
2,10,2,10,1,1,1000,1000,512,10000,5,0,0.287192769591
2,1,4,10,1,1,1,10,1024,100,2,29,0.0151523198287
4,1,2,1000000,10,1,1000,1000,1024,10000,2,29,2.0
4,10,2,10,1,1,1,10,512,100,5,0,0.0143434335181
4,10,4,10,1,0,1000,1000,1024,10000,5,0,0.214959494405
4,1,4,1000000,10,0,1000,1000,512,10000,5,29,2.0
2,1,4,10,1,1,1000,1000,1024,100,2,29,2.0
4,1,4,10,10,1,1000,10,512,100,2,0,0.488421623138
4,10,4,10,1,0,1,1000,512,100,2,29,2.0
2,10,2,1000000,10,0,1,1000,512,10000,2,29,2.0
2,1,4,10,1,0,1,1000,1024,100,2,29,2.0
4,1,2,10,10,1,1,10,1024,10000,5,29,2.0
2,10,4,1000000,10,0,1000,10,1024,10000,2,29,2.0
