new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,3,3,0,0,0,0,1,1,1,153.548
1,1,2,1,1,0,1,0,1,1,79.7
4,3,1,0,1,0,0,0,0,0,44.64
2,2,1,0,0,1,1,0,0,0,70.306
2,3,3,1,1,1,1,0,1,0,80.966
1,3,3,1,0,0,1,0,0,0,172.716
1,3,3,0,1,0,0,0,0,0,164.384
3,2,2,1,1,0,1,1,1,0,43.556
3,1,3,1,1,0,1,0,1,1,29.966
3,3,3,0,1,0,1,1,1,0,61.32
4,3,2,0,1,1,0,0,1,0,39.128
2,2,2,1,1,0,1,1,0,1,70.742
4,2,2,0,0,0,0,1,0,1,36.52
1,3,3,1,0,0,1,0,1,1,152.3
2,3,1,1,0,1,1,1,1,0,84.682
3,3,3,0,1,1,1,0,0,0,70.202
4,2,3,0,0,1,1,1,0,0,38.178
4,3,3,1,1,1,0,1,1,1,39.202
3,3,3,1,1,1,0,1,1,0,52.128
1,3,3,1,1,0,0,1,1,0,146.08
4,2,1,0,1,0,0,1,1,1,31.78
2,3,3,0,0,0,1,1,1,0,88.118
1,1,2,0,1,1,1,0,1,1,85.54
2,3,3,1,1,1,1,0,1,1,80.82
1,3,2,0,1,0,0,1,1,1,153.088
1,3,2,1,1,0,0,1,1,1,146.224
1,3,2,0,1,1,0,0,0,1,164.022
1,3,2,1,1,1,1,1,1,1,157.898
1,3,3,0,1,1,1,0,1,1,156.336
3,1,3,1,0,1,1,0,0,1,30.912
1,3,3,0,1,1,0,0,1,1,141.958
4,2,2,0,0,0,0,1,0,0,36.196
3,3,1,0,0,0,0,1,1,1,54.76
1,2,3,0,1,1,1,1,1,0,124.208
1,3,3,1,0,1,1,1,1,0,158.828
1,3,1,0,0,1,0,1,1,1,153.628
1,1,2,0,0,0,1,0,1,0,87.076
4,3,3,0,1,1,1,0,0,1,49.926
4,3,2,1,0,1,1,0,0,0,47.796
1,2,3,0,0,0,1,0,1,1,117.986
1,1,3,0,0,1,0,1,1,1,94.792
3,1,3,1,1,0,0,0,0,0,29.798
2,1,3,1,1,0,0,1,0,0,45.498
2,3,3,0,1,1,0,1,1,0,80.318
3,3,3,0,0,1,1,1,1,1,61.614
4,1,3,1,0,1,0,0,1,0,23.552
2,2,3,1,1,1,0,0,0,0,61.912
3,3,3,1,0,0,0,1,1,1,52.7
4,1,3,0,1,1,1,1,0,0,24.868
3,1,3,0,1,1,1,0,0,0,32.308
1,3,2,1,1,1,0,1,0,0,172.216
3,2,2,1,1,0,0,1,0,0,46.368
4,3,1,1,0,0,0,0,0,1,43.44
1,3,3,1,0,0,1,1,1,1,159.57
3,3,2,0,0,0,1,1,0,0,75.528
2,2,3,1,1,0,0,1,1,0,59.13
3,3,1,0,1,0,1,1,0,0,74.638
4,2,2,1,0,0,1,1,0,0,36.08
3,1,1,1,0,0,1,0,1,1,29.792
2,2,3,1,0,1,1,0,1,1,60.37
4,3,3,0,0,1,0,1,1,1,40.966
2,1,3,0,0,0,0,0,0,0,46.606
3,1,1,1,0,0,1,1,0,1,32.376
2,3,1,0,1,0,0,0,0,0,86.416
3,3,2,0,1,0,1,1,1,0,61.668
1,2,2,0,1,0,1,0,1,0,116.45
4,2,1,0,0,1,0,0,0,0,33.696
4,2,3,1,0,0,1,1,1,0,31.854
3,1,3,0,1,0,1,0,1,1,32.288
4,3,2,0,0,0,0,1,0,0,49.074
4,1,1,0,1,1,1,1,1,0,24.974
3,3,3,0,0,0,0,0,0,1,62.534
4,2,3,1,1,0,0,1,1,1,30.008
1,3,3,1,1,0,1,0,0,0,171.078
1,3,1,1,1,0,0,0,0,0,155.706
1,3,1,1,1,1,1,1,0,0,183.728
4,3,1,0,1,1,1,0,0,0,48.892
3,3,1,0,0,0,0,1,1,0,54.894
2,3,3,0,0,1,1,1,1,1,87.924
1,2,3,1,0,1,1,0,1,0,112.784
4,2,3,0,0,0,1,1,1,1,33.976
4,3,3,0,0,0,1,0,1,0,44.026
3,2,3,1,0,1,1,1,0,0,51.006
3,1,1,0,1,0,0,0,0,0,31.298
3,3,3,0,0,1,0,1,0,0,67.748
3,3,3,0,1,0,1,0,0,0,69.914
3,1,3,1,1,0,1,1,0,0,31.396
2,3,3,0,0,1,0,1,1,0,80.428
1,3,2,1,0,0,0,1,1,1,147.77
4,3,1,1,0,1,1,0,0,1,47.374
4,3,3,1,1,0,0,1,1,0,38.966
3,3,1,0,0,1,0,1,0,1,67.852
2,3,3,0,1,0,1,0,1,1,83.952
1,1,3,0,1,1,0,0,0,1,85.054
2,2,3,0,1,0,0,0,1,0,58.45
2,2,3,1,0,1,1,1,1,1,63.276
3,3,3,1,0,0,1,0,0,0,67.752
4,3,2,1,1,1,0,1,0,0,47.642
1,1,1,0,0,0,1,1,1,0,94.948
3,1,3,0,1,0,1,0,0,0,32.2
4,3,1,0,0,1,1,1,0,1,53.624
2,3,3,1,1,0,1,1,0,0,98.208
1,3,3,0,0,1,0,1,0,1,183.39
4,3,1,1,1,1,1,0,0,0,46.726
4,3,3,1,0,1,1,1,0,1,50.912
3,2,3,1,0,0,0,0,1,0,39.186
2,3,3,1,0,1,1,0,1,0,81.794
3,3,2,1,1,0,0,1,1,0,52.184
3,3,2,1,0,0,0,0,1,1,50.068
1,3,3,0,0,1,0,1,1,1,153.388
4,3,3,0,0,0,1,1,1,1,44.852
1,3,1,1,1,1,0,0,1,0,135.598
1,3,3,1,0,0,1,1,0,0,184.768
1,1,1,0,1,1,0,1,1,0,92.812
2,3,2,1,0,1,0,0,1,0,73.102
3,2,3,1,0,1,1,0,1,0,42.782
3,3,3,1,1,1,0,0,0,1,58.62
1,3,3,0,0,1,0,0,1,0,142.864
1,1,2,0,1,1,0,1,1,1,93.264
3,3,1,0,1,1,0,1,0,0,66.914
1,2,1,0,1,1,0,0,1,1,108.268
2,3,1,1,1,1,0,0,0,1,82.656
3,2,1,0,1,1,0,0,0,0,45.002
2,2,3,0,0,1,1,1,0,0,75.406
3,3,3,1,0,1,0,0,0,1,59.11
3,2,2,1,1,1,1,1,0,0,50.458
3,3,2,1,1,0,0,0,1,0,49.814
4,1,3,0,1,0,0,0,1,0,24.794
3,2,1,1,1,1,1,0,1,1,41.07
2,1,2,1,0,1,1,1,0,1,47.66
1,2,1,0,0,1,0,0,0,0,122.898
1,2,2,0,1,0,0,0,1,0,109.124
2,3,1,1,0,0,1,1,0,0,99.52
4,3,3,1,1,1,0,1,0,1,46.498
2,3,2,1,1,1,0,1,1,1,76.862
1,1,1,0,1,1,0,0,0,0,83.994
4,3,3,0,1,1,1,0,1,0,43.364
4,2,1,0,1,0,0,0,0,1,33.262
2,1,2,0,1,1,1,1,1,0,49.316
1,2,2,0,1,1,1,1,0,1,141.066
3,3,3,1,0,1,0,0,0,0,59.082
1,2,3,0,1,1,1,0,1,1,117.306
2,2,3,1,0,0,1,1,0,0,71.332
3,2,2,0,0,0,1,1,1,0,46.288
1,3,3,0,0,1,1,1,1,0,164.824
4,2,1,0,0,0,0,0,0,1,33.488
1,2,3,0,1,1,0,1,1,0,118.158
3,2,3,0,1,1,0,1,1,1,42.678
4,1,3,1,1,0,0,1,1,0,22.934
3,2,3,0,1,0,0,1,1,1,42.536
1,3,3,1,0,1,1,0,0,1,173.74
1,3,1,1,0,1,0,0,1,1,136.976
3,3,2,1,0,0,1,1,1,1,59.248
3,1,3,1,1,1,1,0,0,0,30.392
4,1,3,0,0,0,0,1,1,0,24.85
3,3,1,1,1,1,1,1,0,0,71.014
2,1,3,1,0,0,0,1,0,1,47.06
4,2,1,1,0,1,1,1,0,1,36.71
3,1,3,0,0,1,0,0,0,1,32.498
4,1,3,1,0,1,1,1,1,1,24.574
2,1,2,1,0,0,0,1,1,0,46.748
2,1,2,1,0,1,1,1,1,1,47.556
4,2,2,1,0,1,0,1,1,1,30.378
3,3,2,1,0,1,0,0,1,1,50.136
1,3,3,0,0,1,1,0,1,0,156.818
2,1,3,1,0,1,0,0,1,1,43.742
2,3,3,0,0,1,0,0,0,0,89.296
2,2,3,1,0,0,1,0,0,0,66.816
4,3,1,0,0,0,0,1,0,1,49.322
4,1,1,1,1,1,1,0,1,0,22.168
1,3,3,0,1,0,1,1,1,1,164.836
1,1,3,1,1,0,0,1,1,1,86.65
1,3,1,0,0,0,1,0,1,1,156.276
2,2,2,0,1,1,1,0,0,0,70.428
1,1,2,0,1,0,0,1,1,0,92.59
3,2,3,0,1,1,0,1,1,0,42.34
4,3,3,1,0,0,0,0,1,0,38.614
4,1,3,0,0,0,0,1,0,0,24.836
2,3,2,0,0,0,0,0,0,0,88.364
4,2,3,1,1,1,1,0,1,0,31.458
1,3,1,1,1,1,1,1,0,1,184.806
1,2,2,1,0,0,1,0,1,0,112.54
4,1,3,1,0,0,1,1,0,0,23.534
4,3,3,1,1,0,0,0,1,1,37.83
1,3,3,0,0,0,1,1,0,0,193.748
1,1,3,0,0,1,1,1,0,1,95.622
2,2,1,0,1,0,1,1,0,0,74.632
1,3,2,1,1,0,1,0,0,0,170.47
2,3,1,0,0,1,1,0,1,1,83.392
3,3,3,1,0,1,0,0,1,0,50.638
3,1,2,0,0,0,1,1,0,0,34.17
3,1,3,0,1,0,1,1,0,1,33.71
2,2,3,1,1,1,1,0,1,1,59.786
1,3,3,0,1,0,1,0,0,1,178.818
2,1,3,0,1,0,0,1,0,0,49.112
3,2,1,0,1,0,0,1,0,1,49.974
1,2,3,1,1,1,0,1,1,0,111.536
2,3,2,1,1,0,1,0,0,1,91.598
2,3,3,1,0,1,0,0,0,0,84.892
4,1,2,1,0,1,1,1,1,0,24.108
2,3,3,0,0,0,1,0,1,1,84.452
3,1,3,1,1,1,0,1,1,1,30.892
2,3,1,1,1,0,1,0,1,0,80.074
4,3,2,0,0,1,1,1,1,1,44.722
1,2,3,0,0,1,1,1,1,0,124.814
1,1,2,1,1,1,1,0,0,0,80.118
1,1,2,1,0,0,1,1,0,0,88.81
2,2,2,1,1,1,1,1,1,1,62.532
2,1,2,0,1,1,1,1,1,1,49.876
4,2,3,1,0,0,1,0,1,0,31.67
2,3,2,1,1,1,0,1,1,0,76.688
1,2,2,1,1,1,1,0,1,1,110.968
4,2,1,1,1,1,0,0,1,1,28.068
4,2,1,1,1,0,0,0,1,1,28.22
3,1,1,1,0,0,1,0,0,0,29.912
4,3,3,1,0,0,0,0,1,1,38.458
3,2,2,1,0,0,1,0,1,0,42.088
4,2,1,0,1,0,1,0,0,0,35.452
1,1,3,1,1,1,1,1,0,0,86.802
1,1,3,0,0,1,1,1,1,1,95.482
1,1,3,0,1,1,0,1,0,0,92.688
1,3,1,1,0,0,0,1,1,0,147.628
3,3,2,0,1,1,0,1,0,1,67.082
4,1,3,1,0,1,0,1,0,0,23.452
2,3,3,1,0,1,0,0,1,1,73.022
3,3,2,1,0,1,0,1,0,0,63.93
3,2,3,1,1,0,0,0,1,0,38.846
2,3,3,0,0,0,0,0,0,1,88.724
3,3,2,0,1,1,1,1,1,0,61.424
2,3,3,1,1,1,1,1,0,0,98.726
2,3,2,1,1,0,0,1,0,0,90.55
4,3,3,0,0,0,0,0,1,0,39.87
4,3,3,1,0,0,1,0,1,0,43.142
1,1,3,0,1,1,0,0,1,1,85.218
2,3,3,0,0,1,0,0,0,1,89.108
3,2,2,1,1,0,1,0,0,0,46.994
2,3,1,1,0,0,1,1,0,1,99.532
2,1,1,1,1,0,0,1,0,0,45.512
4,3,3,1,1,1,0,0,0,0,44.024
2,3,3,1,0,1,0,1,0,0,91.822
1,2,2,1,0,1,0,1,0,1,128.548
1,3,3,1,0,1,0,1,0,1,174.358
3,2,1,1,1,0,1,1,0,0,50.156
3,3,3,1,1,0,1,0,1,0,57.312
3,2,3,1,1,0,1,0,0,1,47.202
4,3,1,1,1,0,1,0,0,0,46.628
2,3,3,0,0,0,0,1,0,0,96.464
2,3,2,0,1,0,1,1,0,1,103.692
4,2,3,0,0,1,0,1,1,1,31.996
3,3,3,0,0,1,0,0,1,1,52.234
3,2,3,1,0,1,1,1,1,0,43.968
1,2,3,0,0,0,1,1,1,1,125.676
4,1,3,1,1,1,1,0,0,1,23.334
4,2,2,1,0,1,1,1,1,1,32.254
3,3,1,0,0,1,0,0,0,0,62.232
1,3,1,1,1,1,0,0,0,0,156.346
4,3,1,1,0,0,1,0,1,0,41.46
2,2,1,1,1,0,1,0,0,0,65.212
3,2,1,0,1,1,1,1,0,1,53.28
4,1,3,0,1,1,0,1,0,1,24.904
2,1,2,0,1,0,0,1,0,0,48.972
2,1,1,1,0,1,1,0,1,1,43.84
4,2,1,1,1,0,1,1,0,1,35.806
4,1,2,1,0,1,1,0,0,1,22.998
1,2,3,1,0,0,0,0,1,0,105.714
2,2,2,0,0,0,0,0,0,0,65.822
1,3,1,1,0,0,0,1,0,1,173.378
2,3,3,0,1,0,1,0,1,0,83.99
2,3,2,1,1,0,0,0,1,1,72.086
4,3,1,1,0,1,1,1,0,0,50.78
4,3,3,0,0,0,0,0,0,0,46.5
1,1,3,0,1,1,1,0,1,0,85.998
2,3,3,1,1,1,0,0,1,0,72.436
2,1,1,1,1,0,0,0,1,1,41.722
4,2,3,0,1,0,0,0,1,1,30.716
1,3,3,1,0,0,0,0,1,1,137.97
4,1,3,0,0,1,1,1,1,0,25.212
3,3,1,1,0,1,1,1,0,1,71.736
3,2,1,0,1,0,0,0,1,0,39.666
2,1,2,0,0,0,0,1,0,1,49.876
1,1,3,1,1,0,0,0,0,0,79.53
2,2,2,1,0,0,0,1,0,1,67.808
4,3,1,0,1,0,0,1,1,0,40.908
4,1,2,0,1,1,0,1,1,1,24.768
3,3,2,1,1,0,1,1,1,0,58.982
2,1,3,0,0,0,1,1,1,0,50.254
2,2,1,1,1,1,0,1,0,0,66.642
1,3,3,0,0,0,0,1,1,0,153.41
3,3,1,0,0,1,0,1,0,0,67.876
4,2,3,0,1,0,1,0,1,0,32.838
4,2,3,1,0,0,0,0,0,1,32.798
4,3,3,0,1,1,0,0,1,1,39.382
4,3,3,1,1,1,1,0,0,1,47.72
1,1,1,0,0,0,0,0,1,0,85.394
2,1,3,1,1,1,1,0,1,0,43.338
2,3,1,0,1,1,1,1,1,1,87.586
2,1,1,0,0,1,0,1,0,0,49.708
2,2,3,0,1,1,1,1,0,0,74.582
4,2,1,0,0,0,0,1,1,1,32.0
4,1,1,1,1,1,1,1,1,0,23.102
3,3,1,1,0,0,1,1,0,0,71.584
2,2,2,0,0,1,0,1,1,1,62.67
2,2,2,0,0,1,0,0,0,1,65.73
3,2,2,1,1,1,0,0,1,0,38.194
4,1,2,1,0,1,1,1,0,0,23.858
4,3,2,1,0,1,0,0,0,1,43.546
2,2,2,0,0,1,0,1,1,0,62.632
2,1,2,0,0,0,1,0,0,1,46.568
1,3,3,0,0,0,0,1,0,1,182.222
4,1,2,0,1,1,0,0,1,1,23.982
1,1,3,0,1,1,0,1,1,1,93.314
3,2,3,1,0,1,0,0,1,1,38.89
3,1,3,1,0,1,0,1,0,1,31.738
2,3,1,0,0,1,1,1,0,0,104.552
4,3,3,1,1,1,0,0,1,0,38.178
3,2,2,1,0,0,0,1,1,1,40.592
3,3,3,0,1,0,0,0,1,0,52.232
3,3,3,0,1,1,0,1,1,1,54.534
3,3,2,1,1,0,1,0,0,1,66.4
1,2,2,1,0,1,1,1,1,0,119.08
4,2,2,0,1,1,1,0,0,0,35.906
1,3,1,0,0,1,1,1,1,0,164.836
4,1,3,0,0,1,0,1,0,0,25.038
2,3,1,1,0,0,0,1,0,0,91.43
1,3,3,1,0,0,1,0,0,1,172.956
1,2,1,0,0,0,0,1,0,0,134.62
2,2,2,1,1,1,1,1,0,0,70.476
