new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,0,0,0,0,0,1,0,18009.4
2,0,0,0,0,0,1,0,11396.6
3,0,0,0,0,0,1,0,15929.4
4,0,0,0,0,0,1,0,11889.2
5,0,0,0,0,0,1,0,9261.2
1,0,0,0,0,0,1,0,18009.4
1,1,0,0,0,0,1,0,17964.4
1,0,0,0,0,0,1,0,18009.4
1,0,1,0,0,0,1,0,17894.2
1,0,0,0,0,0,1,0,18009.4
1,0,0,1,0,0,1,0,17950.6
1,0,0,0,0,0,1,0,18009.4
1,0,0,0,1,0,1,0,17995.2
1,0,0,0,0,10,1,0,17754.2
1,0,0,0,0,30,1,0,17737.8
1,0,0,0,0,50,1,0,17613.6
1,0,0,0,0,70,1,0,17627.6
1,0,0,0,0,100,1,0,17613.6
1,0,0,0,0,0,2,0,17960.0
1,0,0,0,0,0,8,0,17871.6
1,0,0,0,0,0,128,0,17982.6
1,0,0,0,0,0,1024,0,17984.6
1,0,0,0,0,0,2048,0,17962.0
1,0,0,0,0,0,1,2,17940.4
1,0,0,0,0,0,1,4,18449.2
1,0,0,0,0,0,1,6,81984.2
1,0,0,0,0,0,1,8,85196.6
1,0,0,0,0,0,1,10,85206.6
4,1,1,1,1,0,1,0,35333.0
5,0,0,0,0,10,2,0,9156.0
4,0,0,1,1,10,2,2,35796.2
5,0,0,1,1,10,1,0,9231.8
5,0,1,0,1,0,1,0,9229.8
4,1,1,0,1,10,1,2,10125.2
4,0,1,1,1,10,1,0,35718.6
5,0,0,1,1,10,2,0,9240.2
5,1,1,0,1,0,2,2,9250.4
4,0,0,0,1,0,2,0,11895.4
5,0,1,0,0,0,1,2,9199.4
4,1,0,1,0,10,1,0,35772.4
5,0,1,0,0,0,2,2,9263.2
4,0,0,0,1,10,1,0,10139.4
5,1,0,1,1,0,2,0,9251.8
4,1,1,0,1,10,2,0,9655.6
5,1,1,1,0,10,1,2,9137.4
4,0,1,1,0,0,1,0,35202.0
5,0,0,1,1,0,2,2,9228.4
5,1,1,1,0,10,2,0,9131.0
5,1,1,1,1,0,2,2,9239.4
5,1,1,0,1,10,1,2,9112.6
