new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,1,1,1,0,0,1,163.4228
0,2,1,1,1,0,1,3,163.9654
0,2,1,1,1,1,0,1,166.9158
1,2,1,0,1,0,3,3,165.358
0,1,1,1,0,1,0,0,31.4648
1,2,1,1,0,1,0,2,165.5166
0,0,1,0,1,1,0,0,166.063
0,2,1,0,0,0,2,1,164.6946
0,2,0,0,0,1,3,1,167.9556
0,2,1,1,1,0,3,3,165.8492
1,1,0,0,0,0,0,0,32.4742
0,1,0,0,0,0,0,0,32.1214
1,1,1,0,0,0,0,0,31.6822
0,1,1,0,0,0,0,0,31.3186
0,1,1,0,0,0,1,0,31.2232
0,0,1,0,0,0,1,0,165.2612
0,1,1,0,0,0,2,0,31.6514
0,1,1,0,0,1,1,0,32.209
0,1,1,0,1,0,1,0,31.4174
0,1,1,2,0,0,1,0,31.2602
0,1,1,1,0,0,1,0,31.283
0,1,1,2,0,0,0,0,31.1458
0,1,1,1,0,0,0,0,30.7448
1,1,1,1,0,0,0,0,31.3498
0,1,1,1,1,0,0,0,31.03
0,1,1,2,1,0,0,0,30.8186
1,1,1,2,0,0,1,0,31.7042
0,1,1,0,1,0,0,0,31.0946
1,1,1,2,0,0,0,0,32.0308
1,1,1,1,0,0,1,0,31.9878
1,1,1,1,0,1,0,0,32.099
0,1,1,2,0,0,2,0,31.9334
1,1,1,1,1,0,0,0,31.6506
0,1,1,2,1,0,1,0,31.0888
0,1,1,1,1,0,1,0,31.5162
0,1,1,0,0,1,0,0,31.1982
0,1,1,0,1,1,0,0,31.4334
0,1,1,2,0,1,0,0,31.6628
0,1,1,1,1,1,0,0,31.368
0,1,1,0,0,0,3,0,31.5282
0,1,1,0,1,0,3,0,31.6904
0,1,1,1,0,0,3,0,32.8414
1,1,1,0,0,0,3,0,31.1622
1,1,1,0,0,0,2,0,31.8866
1,1,1,0,0,1,3,0,32.6992
1,1,1,0,1,0,3,0,31.8582
1,1,1,2,0,0,3,0,31.8124
1,1,1,1,0,0,3,0,32.6976
0,1,0,0,0,0,3,0,31.9984
0,1,1,2,1,1,0,0,31.6432
1,1,1,0,1,0,0,0,31.376
0,1,1,0,1,0,2,0,31.6254
1,1,1,2,1,0,1,0,31.7822
0,1,1,2,0,0,3,0,31.4676
0,1,1,2,1,0,3,0,31.3372
0,1,1,2,1,0,2,0,31.2782
0,1,1,2,1,1,2,0,31.832
1,1,1,0,1,0,1,0,31.9844
0,1,1,2,0,1,3,0,31.9772
0,1,1,0,0,1,3,0,32.164
0,1,0,0,1,0,2,0,32.0884
1,1,1,2,1,0,2,0,32.0026
1,1,1,2,0,0,2,0,31.4314
1,1,1,2,1,1,2,0,32.0416
0,1,1,2,1,1,3,0,31.6068
1,1,1,0,1,0,2,0,31.7862
0,1,1,2,0,1,2,0,32.0282
1,1,1,2,1,1,3,0,32.0234
1,1,1,1,1,0,1,0,32.2274
0,1,1,0,1,1,3,0,31.7572
0,1,1,1,1,0,2,0,31.9244
1,1,1,2,0,1,1,0,32.4752
0,1,1,0,1,1,2,0,32.3634
0,1,0,0,1,1,3,0,32.4974
1,1,1,0,0,0,1,0,31.2326
0,1,1,1,1,1,3,0,31.9532
1,1,1,1,0,0,2,0,32.2072
1,1,1,1,1,0,2,0,32.3072
0,1,1,1,1,0,3,0,32.1888
0,1,1,1,1,1,2,0,32.8896
1,1,1,1,1,1,3,0,33.3514
0,1,1,1,0,1,3,0,32.1136
1,1,0,0,0,0,3,0,32.509
0,1,0,0,1,0,3,0,32.237
0,1,0,0,0,0,2,0,32.2248
1,1,1,2,1,0,3,0,31.862
1,1,1,2,0,1,3,0,32.3962
1,1,1,2,1,0,0,0,31.1244
1,1,0,0,0,1,0,0,32.3174
1,1,1,0,0,1,0,0,31.2796
1,1,1,2,1,1,0,0,32.3934
1,1,1,0,0,1,1,0,32.145
1,1,1,0,1,1,0,0,32.436
0,1,1,1,0,1,2,0,32.4956
0,1,0,0,0,0,1,0,32.268
0,1,0,0,0,1,0,0,32.3318
0,1,0,0,1,0,0,0,32.1144
1,1,1,1,0,1,1,0,32.517
0,1,1,2,1,1,1,0,32.2096
1,1,1,2,1,1,1,0,32.0974
1,1,1,2,0,1,0,0,31.8482
0,1,0,0,1,0,1,0,31.9034
1,1,0,0,0,1,1,0,32.7674
1,1,1,0,0,1,2,0,32.0286
0,1,1,1,0,0,2,0,31.6962
1,1,1,1,1,0,3,0,32.9028
0,1,0,0,0,1,1,0,32.5466
0,1,1,0,0,1,2,0,32.1222
0,1,1,2,0,1,1,0,31.926
0,1,0,0,1,1,0,0,32.465
0,1,1,0,1,1,1,0,31.9392
1,1,1,1,1,1,0,0,31.6374
1,1,0,0,1,1,0,0,32.952
1,1,1,2,0,1,2,0,32.4974
1,1,1,0,1,1,2,0,32.7946
1,1,0,0,0,0,1,0,32.4778
1,1,0,0,1,0,0,0,32.389
1,1,0,0,1,0,1,0,31.9774
1,1,0,0,1,0,2,0,32.39
1,1,0,0,1,0,3,0,32.5432
1,1,0,0,0,0,2,0,32.4476
0,1,1,1,0,1,1,0,32.4226
0,1,0,0,0,1,3,0,32.8334
1,1,0,0,1,1,1,0,32.272
1,1,0,0,1,1,2,0,32.7488
0,1,0,0,1,1,2,0,32.7328
1,1,0,0,1,1,3,0,32.9528
1,1,1,1,0,1,2,0,33.0064
0,1,0,0,1,1,1,0,32.7334
1,1,0,0,0,1,2,0,33.0006
1,1,1,0,1,1,1,0,32.0384
1,1,1,1,1,1,1,0,31.9676
1,1,1,0,1,1,3,0,32.7582
0,1,0,0,0,1,2,0,32.65
0,1,1,1,1,1,1,0,32.4414
1,1,0,0,0,1,3,0,33.0218
1,1,1,1,1,1,2,0,33.1484
1,1,1,1,0,1,3,0,33.1188
1,2,0,0,0,0,0,1,166.3008
1,2,1,0,0,0,0,1,164.3716
1,2,1,0,1,0,0,1,165.1408
1,2,1,2,0,0,0,1,164.9142
1,2,1,2,1,0,0,1,165.4944
1,2,1,1,0,0,0,1,165.4328
1,2,1,1,1,0,1,1,163.8996
1,2,1,1,1,0,0,2,165.4086
0,2,1,1,1,0,0,1,165.0662
1,2,1,0,0,0,1,1,165.8648
1,2,1,1,1,0,2,1,167.6088
1,2,1,0,1,0,1,1,166.9388
1,2,1,2,0,0,1,1,163.4268
1,2,1,2,0,0,1,2,166.319
0,2,1,2,0,0,1,1,165.342
1,2,1,2,1,0,1,1,165.2152
1,2,1,1,0,0,1,1,164.7006
1,2,1,1,1,0,1,2,165.7048
1,2,1,2,0,0,0,3,166.0612
0,2,1,2,0,0,0,2,163.6058
0,2,1,2,0,0,1,2,165.2936
0,2,1,2,0,0,0,3,164.3146
0,2,1,2,1,0,0,2,163.9568
0,2,0,0,0,0,0,2,166.6212
0,2,1,0,0,0,0,2,162.6548
0,2,1,0,0,0,0,1,164.9276
0,2,1,0,0,0,1,2,167.4724
0,2,1,0,0,0,0,3,164.7462
0,2,1,0,1,0,0,2,163.0798
0,2,1,1,0,0,0,2,163.7756
1,2,1,2,0,1,1,1,166.767
0,2,1,1,1,0,0,2,164.8446
1,2,1,2,0,0,1,3,164.541
1,2,1,1,0,0,1,3,164.8816
1,2,1,2,1,0,1,3,163.3854
0,2,1,2,1,0,1,3,167.7094
1,2,1,1,1,0,1,3,166.042
0,2,1,1,0,0,1,3,166.5906
0,2,1,1,1,0,1,1,166.458
1,2,1,2,1,0,2,3,164.509
1,2,1,2,0,0,2,1,167.0078
0,2,1,2,1,0,0,3,165.94
1,2,1,2,0,0,2,3,166.5826
1,2,0,0,1,0,2,3,166.901
1,2,1,2,1,0,3,3,165.3268
1,2,1,0,1,0,2,3,164.9432
1,2,1,2,1,1,1,3,166.8596
0,2,1,0,0,0,3,1,165.3918
0,2,1,0,0,0,2,2,163.1388
0,2,1,0,0,0,2,3,165.4448
0,2,1,0,0,0,3,2,164.7146
0,2,1,0,1,0,2,2,163.467
1,2,1,0,0,0,2,2,164.8898
0,2,1,2,1,0,2,3,164.9366
0,2,1,2,0,0,2,2,165.255
0,2,1,1,0,0,2,2,167.7276
1,2,1,1,1,0,2,3,165.8198
0,2,1,0,1,0,2,1,164.565
1,2,1,0,1,0,2,1,167.5732
0,2,1,1,1,0,1,2,166.7586
0,2,1,0,1,0,3,2,163.597
0,2,1,1,0,0,0,3,164.7606
1,2,1,0,0,0,2,3,165.0488
1,2,1,0,1,0,2,2,165.683
1,2,1,0,0,0,3,2,165.0282
0,2,1,0,1,0,0,1,162.5806
0,2,1,2,0,0,0,1,164.9902
0,2,1,0,1,0,0,3,162.5204
0,2,1,0,1,1,0,3,164.6706
0,2,1,0,0,1,0,2,164.7842
1,2,1,0,0,0,0,2,165.3404
1,2,1,0,0,1,0,1,164.582
0,2,1,0,0,1,0,3,165.1774
0,2,1,0,1,1,0,1,165.261
1,2,1,0,0,1,0,2,164.6832
1,2,1,0,1,1,0,1,164.6426
0,2,1,0,1,1,0,2,166.3334
0,2,1,2,1,0,0,1,163.8384
1,2,1,0,0,1,0,3,164.4074
1,2,1,0,1,1,0,3,161.9186
1,2,1,0,1,1,0,2,163.3164
1,2,1,0,1,0,0,3,165.5104
0,2,1,0,0,1,0,1,164.4762
1,2,1,0,0,0,3,3,167.429
1,2,1,0,1,0,3,2,164.9454
0,2,1,1,0,0,0,1,165.4646
1,2,1,0,1,0,0,2,164.5372
1,2,1,2,0,0,2,2,164.5752
0,2,1,1,1,0,2,3,165.4524
1,2,1,2,0,0,3,2,165.7494
1,2,1,2,1,0,2,2,165.7712
0,2,1,2,0,0,2,3,165.4222
0,2,1,2,1,0,2,1,165.2808
0,2,1,2,1,0,3,3,165.7986
0,2,1,2,0,0,2,1,165.2856
1,0,0,0,0,0,1,0,168.0676
0,0,0,0,0,0,0,0,166.1946
0,0,0,0,0,0,1,0,166.8602
0,0,1,0,0,0,0,0,161.8958
1,0,1,0,0,0,0,0,164.1818
0,0,1,0,1,0,0,0,166.1266
0,0,1,0,0,1,0,0,162.9272
0,0,1,2,0,0,0,0,161.9756
0,0,1,1,0,0,0,0,165.9226
1,0,1,2,0,0,0,0,164.1168
0,0,1,2,0,1,0,0,165.7776
1,0,1,0,0,1,0,0,165.605
0,0,1,0,0,1,1,0,163.366
0,0,1,2,0,0,1,0,164.0658
0,0,1,0,0,1,2,0,166.7804
1,0,1,2,0,0,1,0,167.1676
1,0,1,1,0,0,0,0,163.4738
0,2,1,2,1,0,2,2,165.781
0,2,1,2,1,0,1,2,163.9968
0,2,1,2,1,0,1,1,165.0964
1,2,1,1,0,0,1,2,164.644
0,2,1,2,0,0,3,2,165.143
0,2,1,2,1,0,3,2,163.342
1,2,1,2,1,0,3,1,162.4182
1,2,1,2,0,0,3,1,167.5774
1,2,1,2,1,0,3,2,165.9262
0,2,1,2,1,0,3,1,166.4626
1,2,1,2,1,0,1,2,165.5138
0,2,1,2,0,0,1,3,165.1044
1,2,1,2,1,0,2,1,164.4126
0,2,1,2,0,0,3,1,166.6618
0,2,1,0,1,0,1,2,164.3172
0,2,1,0,1,0,2,3,162.999
0,2,1,0,1,0,3,3,166.0144
0,2,1,0,1,0,1,3,165.5232
0,2,1,0,1,0,1,1,165.2514
0,2,1,0,1,0,3,1,164.143
0,2,1,1,1,0,3,2,165.3672
1,2,1,1,1,0,3,1,167.3408
1,2,1,0,0,0,1,2,166.8392
0,2,1,1,0,0,2,1,166.8784
0,2,1,1,0,0,3,2,166.55
0,2,0,0,0,0,2,2,167.0674
1,2,1,1,0,0,2,2,167.3888
0,2,1,0,0,1,3,2,165.3656
0,2,1,0,0,1,2,2,163.1684
0,2,1,0,1,1,2,3,165.2694
0,2,1,0,1,1,2,2,165.4042
0,2,1,0,0,1,2,1,165.9052
0,2,1,0,0,1,2,3,162.9336
0,2,1,0,1,1,3,2,165.733
1,2,1,1,1,1,1,1,164.7078
0,2,1,1,1,1,1,3,165.3228
0,2,1,0,1,1,1,2,166.492
1,2,1,1,0,1,1,2,167.1158
0,2,1,1,0,0,1,2,166.7564
1,2,1,1,0,1,1,1,166.5726
1,2,1,1,1,1,1,2,165.7098
1,2,1,0,0,1,2,2,165.1584
1,2,1,0,1,1,2,3,165.2884
1,2,1,0,1,1,3,2,165.6286
1,2,1,0,0,1,2,3,164.0904
1,2,1,0,0,0,0,3,165.0278
1,2,1,0,1,1,3,3,166.3832
0,2,1,0,0,1,3,1,166.7608
0,2,1,0,0,1,3,3,167.1964
1,2,1,0,1,0,3,1,166.8476
1,2,1,1,1,0,3,2,165.3856
0,2,1,1,1,0,2,2,167.4502
0,2,1,1,1,1,3,2,166.794
1,2,1,2,0,0,0,2,165.3112
1,2,1,1,0,0,0,2,165.398
1,2,1,2,1,0,0,2,163.3106
0,2,1,2,0,0,3,3,164.3828
0,2,1,1,0,0,2,3,165.6608
0,2,1,1,1,1,2,3,165.6812
1,2,1,2,0,1,0,1,164.258
0,2,1,2,0,1,0,1,164.987
1,2,1,2,0,1,0,2,163.6538
1,2,1,2,1,1,0,2,163.3302
0,2,1,2,0,1,0,2,164.7928
0,2,1,2,1,1,0,1,164.673
0,2,1,2,1,1,0,2,164.9078
1,2,1,2,1,1,0,1,163.6666
0,2,1,2,0,1,0,3,165.1012
0,2,1,1,1,0,0,3,167.3204
0,2,1,1,0,1,0,3,165.396
0,2,1,1,0,1,0,2,163.3292
0,2,1,1,1,1,0,2,165.8364
0,2,1,1,0,1,0,1,166.5214
1,2,1,1,0,0,0,3,164.1642
1,2,1,1,0,1,0,3,165.501
1,0,1,2,0,1,0,0,163.7938
0,0,1,1,0,1,0,0,165.268
0,0,1,2,0,1,1,0,166.138
0,0,1,0,1,1,1,0,165.3184
0,0,1,1,0,1,1,0,165.681
1,0,1,1,0,1,0,0,165.4614
0,0,1,2,1,0,1,0,161.9528
0,0,1,2,1,0,0,0,165.7538
0,0,1,2,1,0,2,0,164.9596
1,0,1,2,0,1,1,0,164.182
0,0,1,2,0,0,2,0,165.8586
1,0,1,1,1,0,0,0,164.8182
1,0,1,0,1,0,0,0,166.2254
1,0,1,0,1,0,1,0,164.829
1,0,1,2,1,0,1,0,164.9386
0,0,1,2,1,1,1,0,165.1184
0,0,1,0,1,0,1,0,163.6422
1,0,1,2,1,0,0,0,164.1874
1,0,1,1,1,0,1,0,167.9786
0,0,1,1,0,0,1,0,165.5004
1,0,1,0,0,1,1,0,164.7058
1,0,1,1,0,1,1,0,163.0718
1,0,1,0,0,0,1,0,165.4556
1,0,1,2,1,1,0,0,166.1112
0,0,1,1,1,0,0,0,165.6874
1,0,1,1,1,1,0,0,164.3898
1,0,1,2,1,0,2,0,165.18
0,0,1,2,1,0,3,0,163.2174
1,0,1,0,0,0,3,0,164.1756
0,0,1,0,0,0,3,0,163.7512
1,0,1,2,0,0,3,0,166.9954
1,0,1,2,1,0,3,0,167.6958
0,0,1,0,1,0,3,0,164.9116
0,0,1,1,1,0,1,0,166.7776
0,0,1,0,1,0,2,0,163.7926
0,0,1,0,0,1,3,0,161.8262
1,0,1,0,0,1,3,0,163.7542
1,0,1,0,1,0,2,0,165.0044
1,0,1,0,1,1,1,0,165.6808
1,0,1,2,1,1,1,0,165.9748
0,0,1,2,1,1,2,0,165.5004
0,0,1,1,1,1,1,0,166.5828
0,0,1,0,1,1,2,0,165.9408
0,0,1,2,1,1,0,0,163.3642
0,0,1,2,1,1,3,0,165.2914
1,2,1,0,0,1,3,2,164.601
1,0,1,0,1,1,2,0,164.1068
1,0,1,2,1,1,2,0,164.7156
0,0,1,1,1,0,2,0,162.921
1,0,1,1,1,1,2,0,166.0536
0,0,1,1,1,0,3,0,164.5762
0,2,1,1,0,1,2,3,165.4474
1,2,1,0,1,1,2,2,165.2798
1,2,1,1,1,1,1,3,167.7816
0,2,1,1,1,1,1,1,166.4296
1,2,1,1,0,0,2,3,166.1188
1,2,1,1,1,0,3,3,167.6246
1,2,1,1,1,1,2,3,166.3972
1,2,1,1,1,1,0,2,165.232
1,2,1,1,1,1,0,3,164.981
0,2,1,1,1,1,0,3,163.964
0,2,1,1,0,0,3,3,165.1006
0,2,1,1,0,1,3,3,165.0568
0,2,1,1,1,1,3,3,165.8732
0,0,1,2,0,0,3,0,167.2748
1,0,1,1,0,1,2,0,168.3294
1,0,1,0,1,1,3,0,165.9072
1,0,1,2,1,1,3,0,162.7602
1,0,1,1,1,0,2,0,166.2018
1,0,1,2,0,1,3,0,164.1062
0,0,1,1,0,0,2,0,164.7834
1,0,1,1,1,1,3,0,167.7684
1,0,1,1,1,1,1,0,165.3652
1,0,1,2,0,1,2,0,165.9724
1,0,1,0,1,0,3,0,167.101
0,0,1,1,1,1,0,0,167.0262
1,0,1,0,0,1,2,0,165.7684
0,0,1,1,0,0,3,0,164.4548
1,0,1,0,0,0,2,0,166.4034
0,0,1,1,0,1,2,0,164.6024
0,0,1,1,0,1,3,0,165.5204
0,2,1,0,0,0,1,1,165.1946
0,2,1,0,0,1,1,1,165.314
0,2,1,0,1,1,1,1,166.6684
0,2,1,0,0,1,1,2,164.4738
0,2,1,0,0,1,1,3,164.231
0,2,1,0,0,0,1,3,164.7506
0,2,1,0,1,1,1,3,164.2734
1,2,1,0,0,0,2,1,162.2004
1,2,1,0,0,1,1,3,166.6548
1,2,1,0,0,0,3,1,166.5774
1,2,1,0,0,1,2,1,164.6884
1,2,1,0,0,1,1,1,165.0806
0,2,1,0,1,1,2,1,167.317
0,2,1,2,1,1,0,3,164.4566
0,0,1,0,1,1,3,0,164.3484
1,2,1,2,0,1,0,3,164.441
1,2,1,2,1,1,0,3,164.544
1,2,1,2,1,0,0,3,165.0668
0,0,1,2,0,1,2,0,165.5768
0,0,1,2,0,1,3,0,164.0186
0,0,0,0,0,1,0,0,166.5286
0,0,0,0,1,0,0,0,167.0268
1,0,1,1,0,0,2,0,166.1558
1,0,1,0,1,1,0,0,165.6214
0,2,0,0,0,0,0,1,167.1056
1,2,0,0,0,0,0,2,166.6294
1,2,0,0,0,1,0,1,167.9768
1,2,0,0,1,0,0,1,167.8962
1,2,0,0,0,0,1,1,168.5756
0,2,1,0,1,1,3,3,164.9448
1,2,1,1,0,1,2,3,167.7058
0,2,1,1,1,1,1,2,165.5496
