ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,0,70208.6
0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,64680.8
0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,81008.6
1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,70362.4
1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,78738.2
0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,71485.0
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,59834.4
1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,89046.2
0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,90676.4
0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,81088.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57087.8
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59307.4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55426.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53380.6
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56355.8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56277.8
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55081.4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59480.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887.2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53936.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57468.4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,56400.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53429.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53879.2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54233.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53727.6
