WindowSize,CompressionLevel,Performance
2,0,1.528
5,0,1.534
6,0,1.59
11,0,1.604
14,0,1.574
0,1,1.666
0,3,2.616
0,7,4.874
0,9,6.246
0,10,363.364
0,0,1.662
3,0,1.514
4,0,1.472
4,1,1.46
2,1,1.542
4,2,1.9
5,1,1.52
3,1,1.514
13,0,1.556
13,1,1.572
14,1,1.57
7,0,1.606
6,1,1.598
10,0,1.63
12,0,1.596
12,1,1.586
11,1,1.598
8,0,1.628
7,1,1.612
9,0,1.614
9,1,1.604
8,1,1.63
10,1,1.636
1,0,1.526
1,1,1.526
0,2,2.146
3,2,1.942
5,2,1.972
2,2,1.988
6,2,2.026
7,2,2.102
8,2,2.094
9,2,2.1
10,2,2.088
11,2,2.06
12,2,2.05
13,2,2.032
14,2,2.04
1,2,1.998
1,3,2.476
2,3,2.426
3,3,2.37
4,3,2.302
5,3,2.392
4,4,2.894
6,3,2.508
7,3,2.564
8,3,2.562
9,3,2.552
10,3,2.546
11,3,2.512
12,3,2.5
13,3,2.478
14,3,2.478
0,4,3.02
3,4,2.972
5,4,2.834
6,4,2.77
7,4,2.848
6,5,5.392
8,4,2.824
9,4,2.8
10,4,2.808
11,4,2.768
12,4,2.748
13,4,2.726
14,4,2.708
2,4,3.004
1,4,3.04
0,5,3.306
1,5,3.49
0,6,3.386
2,5,3.746
1,6,3.57
3,5,4.128
2,6,3.846
4,5,4.678
3,6,4.3
5,5,5.072
4,6,4.874
1,7,5.078
0,8,5.046
5,6,5.306
2,7,5.266
1,8,5.042
3,7,5.554
2,8,5.318
7,5,5.886
6,6,5.77
4,7,5.896
3,8,5.62
8,5,6.714
6,7,6.998
7,6,6.34
5,7,6.39
4,8,6.086
4,9,7.404
1,9,6.286
2,9,6.47
5,8,6.738
3,9,6.862
9,5,7.372
8,6,7.51
7,7,7.636
6,8,7.548
10,5,7.45
9,6,9.336
5,9,8.084
11,5,7.272
12,5,7.198
13,5,7.178
14,5,7.154
8,7,8.628
7,8,8.454
6,9,9.094
9,7,10.05
8,8,9.684
7,9,10.152
10,6,10.658
9,8,11.508
8,9,11.954
11,6,10.46
12,6,10.266
13,6,10.22
14,6,10.176
14,7,20.228
13,7,20.474
10,7,12.338
9,9,14.048
11,7,15.806
10,8,14.64
10,9,17.4
12,7,19.626
11,8,18.874
11,9,23.614
12,8,25.432
13,8,37.284
12,9,34.292
14,8,38.644
13,9,63.68
14,9,108.602
1,10,343.594
2,10,328.816
3,10,313.652
4,10,301.488
5,10,291.618
6,10,285.0
7,10,307.144
6,11,284.296
5,11,292.192
4,11,301.078
8,10,279.698
9,10,258.558
10,10,246.512
11,10,244.734
12,10,256.21
11,11,244.72
10,11,246.08
13,10,318.954
12,11,259.594
9,11,258.502
8,11,279.692
7,11,307.42
3,11,315.078
14,10,392.744
13,11,315.238
2,11,328.552
1,11,343.996
0,11,363.346
14,11,394.158
