topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,4,10,1,0,1,1000,1024,10000,2,29,0.0147723883798
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,1,4,10,1,0,1,1000,1024,10000,2,29,0.0147805589486
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,2,10,1,0,1,1000,1024,10000,2,29,0.0148118794623
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,10,0,1,1000,1024,10000,2,29,0.142999933274
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,1,1,1,1000,1024,10000,2,29,0.014664809224
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,1,0,1000,1000,1024,10000,2,29,0.716754976898
4,10,4,10,1,0,1,10,1024,10000,2,29,2.0
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,1,0,1,1000,512,10000,2,29,0.014743791389
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
4,10,4,10,1,0,1,1000,1024,100,2,29,2.0
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.0148745204897
