new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,1,1,0,0,0,0,0,0,0,85.27
2,1,1,0,0,0,0,0,0,0,45.368
3,1,1,0,0,0,0,0,0,0,31.096
4,1,1,0,0,0,0,0,0,0,23.434
1,1,1,0,0,0,0,0,0,0,85.27
1,2,1,0,0,0,0,0,0,0,122.418
1,3,1,0,0,0,0,0,0,0,165.376
1,1,1,0,0,0,0,0,0,0,85.27
1,1,2,0,0,0,0,0,0,0,86.002
1,1,3,0,0,0,0,0,0,0,86.482
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,1,0,0,0,0,0,0,80.742
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,1,0,0,0,0,0,84.07
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,1,0,0,0,0,85.444
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,1,0,0,0,86.354
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,1,0,0,94.052
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,0,1,0,85.394
1,1,1,0,0,0,0,0,0,0,85.27
1,1,1,0,0,0,0,0,0,1,85.44
4,2,1,1,1,1,0,0,0,0,31.516
3,2,1,0,0,1,1,1,1,1,46.07
3,1,1,0,0,1,1,1,1,0,34.008
3,1,2,1,0,1,0,0,0,1,29.96
3,2,1,0,1,1,1,1,1,1,45.816
4,1,1,0,1,0,0,1,0,0,24.874
3,2,1,0,1,1,0,0,1,0,39.642
4,2,1,1,0,1,0,0,0,1,31.624
3,2,2,1,0,0,0,1,0,1,46.986
3,1,1,1,1,0,0,1,1,0,30.956
3,2,2,1,0,1,1,0,1,1,41.978
4,2,1,0,0,0,1,0,1,1,31.816
3,1,1,0,1,1,0,1,0,0,33.312
4,2,2,0,1,0,1,1,0,1,38.174
4,1,1,0,0,1,1,1,0,1,25.588
4,2,1,0,0,0,0,1,0,0,36.266
3,1,2,1,0,0,0,1,0,0,31.662
4,1,2,0,1,0,1,1,0,0,24.78
4,1,2,1,0,1,0,1,0,1,23.524
3,2,2,1,1,1,0,0,0,1,42.758
3,1,2,1,1,1,0,0,1,1,29.254
4,2,2,0,1,1,1,1,1,1,33.676
3,2,1,0,1,1,1,0,0,1,49.204
4,2,1,1,0,1,0,1,0,0,34.686
3,1,1,0,0,0,1,1,1,1,34.218
3,1,1,1,0,1,1,0,0,1,29.714
4,1,2,1,0,0,1,1,1,0,23.66
4,2,1,0,0,0,0,0,1,0,30.03
4,2,1,1,0,0,1,0,0,1,33.854
4,1,1,1,0,1,0,0,0,1,22.172
4,1,1,1,0,1,0,1,1,0,23.582
4,2,1,1,1,0,0,0,1,0,28.016
3,2,1,0,0,0,1,1,1,0,46.258
4,1,1,1,1,1,1,1,0,0,23.178
4,2,2,1,1,0,1,1,0,0,35.912
3,1,1,1,1,1,1,1,0,0,31.208
3,1,1,1,1,0,1,0,0,0,29.056
4,1,2,0,1,0,0,0,0,0,24.508
3,1,2,1,0,1,0,0,0,0,30.262
4,1,1,1,1,0,1,1,0,0,23.082
4,1,2,1,1,0,1,1,1,0,23.194
3,2,2,0,1,0,1,1,1,0,45.788
4,1,1,1,0,0,0,0,1,1,22.248
3,1,2,1,0,0,1,0,0,0,30.51
3,2,2,1,1,0,1,0,1,0,41.878
4,1,2,1,0,0,1,0,0,0,23.396
4,2,1,1,0,1,1,1,1,0,32.09
3,2,1,0,1,1,1,0,1,1,43.258
3,1,1,1,1,1,0,0,0,0,29.01
4,2,1,1,0,0,1,1,0,1,36.142
3,2,2,1,1,0,0,1,0,0,46.368
3,2,2,0,1,0,0,1,1,1,42.93
3,2,1,1,0,0,0,1,1,1,40.662
3,2,2,0,0,1,1,0,0,1,50.812
4,1,2,0,0,1,1,1,1,0,25.202
4,1,2,0,0,0,1,1,1,1,25.382
4,1,1,0,1,0,1,1,1,0,25.014
3,1,2,1,0,1,1,0,0,0,30.544
4,2,1,0,1,0,0,1,0,1,36.242
4,2,2,0,0,0,1,1,0,0,38.082
3,2,1,1,1,0,1,1,1,0,43.336
4,2,2,0,0,1,0,0,1,1,30.22
3,2,1,0,1,0,1,1,0,1,53.33
4,1,1,1,0,1,1,0,0,1,22.496
3,1,2,1,1,1,1,1,0,1,31.094
3,1,1,1,1,1,1,0,1,1,28.938
3,2,1,1,1,1,0,1,1,0,40.134
4,1,1,0,0,1,1,1,1,1,25.42
3,1,2,1,1,1,0,0,0,1,29.312
4,1,2,1,0,0,1,0,1,0,23.398
4,2,1,1,0,1,0,0,1,1,28.39
4,1,2,1,0,1,1,0,1,1,23.338
3,2,2,0,0,0,0,0,0,1,46.334
3,1,1,1,1,1,1,0,0,0,29.174
3,2,1,0,1,1,0,0,0,0,45.002
4,1,2,0,1,1,1,1,0,1,25.184
4,2,2,0,1,0,0,1,1,0,31.61
4,1,1,1,1,1,0,0,1,1,21.97
3,1,1,1,0,0,0,0,1,1,29.334
3,1,1,1,0,1,1,0,0,0,29.906
4,2,2,0,1,1,0,0,1,0,30.488
4,1,1,1,0,1,1,0,1,1,22.522
3,2,2,0,0,1,0,0,0,0,46.322
3,2,2,0,1,1,1,1,1,0,45.652
3,2,2,1,0,1,0,1,0,1,47.164
3,2,1,1,0,0,1,1,1,0,44.06
4,1,2,0,1,1,0,1,1,0,24.802
4,1,1,1,1,0,1,0,1,1,21.772
4,2,1,0,1,1,1,0,1,0,31.596
4,1,2,1,0,0,0,0,0,1,22.878
3,1,1,0,1,0,0,0,0,1,31.018
3,2,2,0,1,0,1,0,0,0,49.738
3,2,1,1,1,0,1,1,0,0,50.156
3,2,1,0,1,1,0,1,1,1,42.624
3,1,2,1,1,1,1,0,1,0,29.806
3,2,2,1,0,0,1,0,0,1,47.514
4,2,2,1,0,0,1,0,0,1,34.764
4,2,2,0,1,1,0,1,0,0,35.874
4,1,2,1,0,1,1,1,0,1,23.932
3,1,2,1,1,0,0,0,1,0,29.24
4,2,2,0,1,0,1,1,1,0,33.428
3,2,2,1,1,0,1,0,0,1,46.864
4,2,2,1,1,0,0,0,1,1,28.638
3,1,1,1,0,0,0,0,0,0,29.396
4,2,1,0,0,0,1,1,0,1,38.314
3,1,2,1,1,1,1,1,0,0,31.0
3,2,2,1,1,1,1,0,1,1,41.368
4,2,1,0,1,0,0,0,1,1,29.65
4,2,1,1,0,1,0,0,0,0,31.868
4,2,1,0,0,1,0,0,0,0,33.696
3,2,2,0,1,0,0,0,0,0,45.3
3,2,2,1,0,0,1,0,1,0,42.088
3,1,2,1,1,0,0,0,0,0,29.466
3,1,1,0,0,0,1,0,1,0,31.614
4,1,2,1,0,0,0,1,0,0,23.686
3,1,2,0,0,1,0,0,0,0,31.956
4,2,2,1,1,0,0,0,0,1,31.76
4,2,1,0,1,1,0,0,0,0,33.598
4,1,1,0,0,0,1,1,0,0,25.294
3,1,1,0,1,1,1,1,1,1,33.55
3,1,2,0,1,0,1,0,0,1,31.37
3,2,1,0,1,0,0,1,1,0,42.524
3,2,2,0,1,0,1,1,0,0,53.476
3,2,2,0,0,1,0,1,0,1,50.0
4,2,2,0,0,0,1,0,1,1,32.642
4,1,1,0,0,0,1,1,1,0,25.422
4,1,1,0,1,1,0,0,0,1,23.328
4,2,2,1,1,0,1,0,1,1,30.714
3,1,1,1,0,0,1,0,1,0,29.898
3,1,2,0,0,0,0,0,0,0,31.664
4,2,2,0,1,1,1,0,1,1,32.302
4,1,2,1,0,0,0,0,1,1,22.866
4,1,1,0,0,0,1,1,0,1,25.404
4,1,1,0,0,0,1,0,0,0,23.584
3,1,2,1,1,0,1,1,0,1,31.288
3,2,2,1,1,0,1,1,1,1,43.614
4,1,2,1,1,0,0,0,0,0,22.312
3,2,1,1,1,0,0,1,1,0,40.09
4,1,1,1,0,0,1,0,1,0,22.492
4,2,2,1,0,1,0,1,1,0,30.144
3,2,2,0,0,0,0,1,0,0,49.796
3,1,1,1,0,0,0,0,0,1,29.428
3,1,1,0,1,0,1,0,1,0,31.076
4,2,2,0,0,1,0,1,0,0,36.432
3,2,1,0,0,0,0,0,1,1,39.586
3,1,2,0,1,1,0,1,1,0,33.232
3,1,2,0,0,0,1,1,0,1,34.31
4,2,1,1,0,0,0,0,0,1,31.72
3,1,2,1,1,0,0,1,0,1,30.908
4,2,2,0,1,0,1,0,1,0,32.272
4,1,1,1,0,0,0,0,1,0,22.452
4,1,2,0,1,1,0,1,0,1,25.182
3,2,2,0,1,1,1,0,0,0,49.97
4,2,1,1,0,0,1,1,1,1,32.044
4,1,2,0,1,1,0,0,1,1,23.982
4,1,1,1,1,0,0,1,0,0,22.794
3,1,2,0,0,1,0,0,1,1,31.61
4,2,1,1,1,0,0,0,1,1,28.22
3,1,1,0,1,1,1,0,0,0,31.038
3,2,1,0,1,0,1,1,1,1,45.788
4,2,2,1,1,0,1,0,1,0,30.84
4,2,1,1,1,0,0,0,0,1,31.096
4,2,2,1,0,1,0,0,1,1,28.906
3,1,2,1,0,1,1,1,1,1,32.544
4,1,2,1,1,1,1,0,0,1,22.816
4,1,2,0,0,0,0,1,1,1,25.2
3,2,2,0,1,1,0,1,0,1,49.444
3,2,1,1,0,1,1,0,0,1,47.146
4,1,2,1,1,0,1,0,1,0,22.554
4,1,2,1,0,1,0,1,1,1,23.734
4,2,2,1,0,0,0,1,1,0,30.37
3,1,2,1,0,1,1,1,0,0,31.848
4,2,2,1,0,0,1,1,0,1,36.526
3,1,1,0,0,0,0,1,0,1,33.858
4,1,2,1,1,0,1,0,1,1,22.432
3,1,2,0,0,0,0,1,1,1,33.832
3,2,1,0,1,0,0,1,0,0,49.254
3,1,1,1,1,1,1,0,1,0,29.078
4,1,2,0,0,1,0,0,1,0,24.442
4,2,2,0,1,1,1,0,0,1,35.91
4,2,2,0,0,0,0,0,1,0,30.682
3,1,2,0,1,0,1,0,1,0,31.638
3,2,1,0,0,0,1,1,1,1,46.324
3,1,2,1,0,1,0,1,1,1,31.712
4,1,2,1,1,0,1,1,0,0,23.02
4,1,1,1,0,0,1,0,0,1,22.646
4,2,2,1,0,0,1,0,1,1,31.35
4,2,2,1,0,0,0,1,0,1,34.466
4,2,1,0,0,1,1,0,1,0,31.772
3,2,2,0,0,0,1,0,1,1,43.948
4,1,1,1,1,0,0,1,1,0,22.996
4,1,2,1,0,0,1,1,1,1,23.866
3,2,2,1,0,1,1,1,0,1,50.784
4,2,2,0,0,1,1,1,0,1,38.508
3,1,1,1,1,0,0,0,1,1,28.428
4,2,1,1,0,0,0,1,0,0,34.512
4,2,2,0,1,1,0,0,0,0,34.0
