new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
0,0,0,1,1,10,1,2,13267.0
4,0,1,1,0,7,2,5,300649.4
4,1,0,0,1,1,3,2,9140.6
0,0,0,0,1,8,6,5,101614.0
1,0,1,0,1,1,2,5,81347.0
0,1,1,1,1,3,5,3,92156.2
3,1,1,1,0,10,7,4,124931.4
1,0,1,0,1,2,5,5,98954.2
2,1,1,1,0,3,2,1,12788.0
2,1,1,1,0,8,6,1,12166.0
4,1,1,0,1,3,6,0,9223.2
2,1,1,1,1,3,3,4,37576.4
1,0,1,0,1,0,2,1,11371.4
0,0,1,0,0,7,11,5,100445.8
2,1,1,0,0,6,4,3,11305.8
4,0,1,1,1,8,8,5,299782.6
1,0,1,0,0,1,11,3,87960.6
3,0,0,1,0,10,7,3,49566.0
4,0,0,0,1,5,0,4,121339.2
3,0,0,0,0,0,4,0,11904.4
4,1,1,0,1,5,12,4,122014.4
1,1,0,0,0,2,8,2,4984.6
3,1,1,1,0,10,11,1,35781.2
4,1,0,1,1,7,8,2,9169.8
2,1,0,0,0,8,12,0,12215.8
2,0,1,0,1,0,12,5,48022.4
1,0,0,1,0,8,3,5,109279.8
4,1,0,1,0,6,8,5,301981.8
3,1,1,1,1,9,9,5,415225.0
3,0,1,1,0,8,3,1,35732.4
3,1,1,0,0,0,9,2,22096.8
4,1,1,0,0,5,3,4,122181.6
0,1,0,0,1,9,4,5,95220.0
0,1,1,1,1,5,0,3,116319.0
3,0,1,1,1,4,2,0,35808.0
4,0,0,1,1,7,1,3,47444.0
3,0,1,1,0,7,3,5,416930.2
3,0,0,0,0,7,8,0,8925.8
3,1,0,0,1,7,1,5,180533.8
2,1,1,1,0,0,9,1,16101.2
3,0,0,1,1,9,0,2,42808.2
1,0,0,1,1,7,1,0,17765.2
0,1,0,0,0,1,1,5,79986.8
2,1,1,0,1,6,10,4,37828.6
3,0,0,1,0,7,3,3,49363.6
1,1,1,0,0,2,4,3,85820.6
3,0,0,0,0,4,12,4,40680.2
3,1,0,0,1,7,12,1,8910.2
2,1,0,1,1,10,10,0,12180.4
4,1,1,0,1,1,11,4,121024.8
0,0,0,0,0,0,3,0,17871.6
0,0,0,0,0,0,4,0,18139.8
0,0,0,0,0,0,7,0,17982.6
1,0,0,0,0,0,3,0,11424.2
1,0,0,0,0,0,3,1,11460.0
1,0,0,0,0,0,3,2,18033.6
0,0,0,0,0,0,8,0,17890.2
0,1,0,0,0,0,1,0,17949.4
1,0,0,0,0,0,7,0,11415.4
1,0,0,0,0,1,3,0,5979.8
1,0,0,0,0,1,6,0,5743.4
1,0,0,0,0,1,8,0,5734.0
1,0,0,0,0,1,3,2,9554.6
1,0,0,0,0,2,5,0,5204.2
1,0,0,0,0,2,5,2,4850.2
0,0,0,0,0,2,5,2,12029.2
1,0,0,0,0,3,5,2,4597.6
1,0,0,0,0,3,5,0,4969.2
1,0,0,0,0,4,5,2,4566.8
1,0,0,0,0,5,5,2,4670.6
1,0,0,0,0,4,6,2,4600.0
1,0,1,0,0,4,5,2,4540.4
1,0,1,0,0,3,5,2,4568.8
1,0,1,0,0,4,6,2,4574.4
1,0,1,0,1,4,5,2,4565.0
1,1,1,0,0,4,5,2,4530.0
1,1,1,0,0,3,5,2,4573.0
1,1,1,0,0,4,6,2,4580.0
1,1,1,0,1,4,5,2,4517.8
1,0,0,0,1,4,5,2,4567.2
1,1,0,0,0,4,5,2,4584.6
1,0,1,0,1,3,5,2,4575.6
1,0,1,0,0,3,6,2,4546.4
1,0,1,0,0,3,7,2,4565.6
1,0,1,0,1,3,6,2,4558.2
1,1,1,0,0,3,6,2,4564.0
1,1,1,0,1,3,6,2,4569.0
1,1,1,0,0,3,7,2,4566.4
1,0,1,0,0,3,8,2,4564.4
1,0,1,0,0,3,9,2,4582.0
1,0,1,0,1,3,8,2,4553.6
1,0,1,0,1,3,7,2,4576.4
1,1,1,0,1,3,8,2,4569.6
1,1,1,0,0,3,8,2,4596.6
1,1,1,0,1,3,7,2,4563.0
1,1,1,0,1,3,5,2,4584.0
1,1,1,0,1,3,9,2,4548.4
1,0,1,0,1,3,9,2,4557.6
1,1,1,0,1,3,10,2,4558.8
1,0,1,0,1,3,10,2,4570.6
1,1,1,0,1,3,11,2,4560.2
1,1,1,0,1,3,12,2,4585.8
1,0,1,0,1,3,11,2,4549.0
1,0,1,0,0,4,7,2,4585.0
1,0,1,0,1,4,6,2,4597.4
1,0,1,0,0,3,10,2,4572.6
1,0,1,0,0,3,11,2,4567.6
1,1,0,0,1,4,5,2,4571.8
1,0,0,0,1,3,5,2,4582.0
1,1,0,0,1,3,5,2,4582.8
1,0,1,0,0,4,8,2,4716.4
1,1,1,0,1,4,6,2,4570.4
1,1,1,0,1,4,9,2,4599.8
1,0,1,0,1,4,11,2,4585.0
1,0,0,0,0,3,6,2,4571.4
1,1,0,0,1,3,9,2,4597.4
1,0,0,0,1,4,6,2,4601.6
1,1,1,0,1,4,7,2,4584.6
1,0,0,0,0,3,7,2,4576.6
1,0,0,0,1,3,6,2,4573.8
1,1,0,0,0,3,6,2,4569.0
1,1,0,0,1,3,6,2,4596.6
1,0,0,0,1,3,7,2,4599.2
1,0,0,0,0,3,8,2,4595.4
1,1,0,0,0,3,7,2,4598.2
1,0,0,0,0,4,7,2,4606.2
1,1,1,0,0,4,7,2,4575.2
1,0,1,0,0,4,9,2,4610.8
1,0,1,0,0,4,11,2,4589.6
1,0,1,0,1,4,12,2,4578.8
1,0,1,0,0,4,12,2,4577.0
1,1,1,0,0,4,12,2,4567.4
1,1,1,0,1,4,12,2,4613.2
1,1,0,0,0,4,10,2,4613.6
1,0,1,0,0,3,12,2,4554.6
1,1,1,0,0,3,12,2,4569.2
1,1,1,0,0,3,11,2,4586.0
1,0,1,0,1,3,12,2,4558.4
1,1,1,0,0,3,10,2,4578.2
1,1,1,0,0,4,11,2,4577.0
1,0,0,0,0,3,9,2,4604.4
1,1,1,0,0,3,9,2,4611.6
1,0,1,0,1,4,7,2,4625.2
1,1,0,0,0,4,12,2,4598.6
1,1,0,0,0,3,9,2,4605.2
1,0,0,0,1,3,9,2,4590.6
1,0,0,0,1,3,10,2,4575.0
1,0,0,0,0,3,10,2,4584.2
1,0,0,0,1,3,11,2,4586.4
1,1,0,0,1,3,10,2,4588.0
1,0,0,0,0,3,11,2,4578.8
1,0,0,0,0,3,12,2,4580.4
1,0,0,0,1,3,12,2,4604.0
1,1,0,0,0,3,12,2,4576.4
1,1,0,0,0,3,11,2,4583.2
1,1,0,0,0,3,10,2,4605.6
1,1,0,0,1,3,11,2,4573.2
1,1,0,0,1,3,12,2,4585.8
1,1,0,0,0,3,5,2,4602.4
1,1,0,0,0,3,8,2,4596.8
1,0,0,0,1,3,8,2,4623.4
1,0,0,0,0,4,11,2,4611.8
1,0,0,0,0,4,12,2,4615.6
1,1,0,0,1,4,12,2,4614.4
1,1,0,0,1,3,7,2,4591.8
1,1,1,0,1,5,5,2,4650.2
1,1,1,0,0,4,9,2,4581.6
1,1,1,0,0,4,10,2,4576.4
1,0,1,0,1,4,10,2,4594.8
1,1,1,0,0,4,8,2,4590.2
1,1,1,0,1,4,8,2,4567.4
1,0,1,0,0,4,10,2,4593.6
1,1,1,0,1,4,10,2,4635.0
1,1,0,0,0,4,6,2,4593.8
1,1,0,0,1,4,6,2,4610.2
1,0,0,0,0,4,8,2,4603.0
1,1,0,0,0,4,7,2,4602.2
1,1,0,0,0,4,8,2,4588.2
1,1,0,0,0,4,9,2,4604.8
1,1,0,0,1,4,8,2,4601.6
1,1,0,0,1,4,7,2,4607.8
1,0,0,0,1,4,8,2,4598.2
1,0,0,0,0,4,9,2,4620.2
1,0,0,0,1,4,7,2,4604.2
1,0,1,0,1,4,9,2,4573.4
1,0,0,0,1,4,11,2,4608.4
1,1,0,0,0,4,11,2,4601.0
1,1,0,0,1,4,9,2,4591.2
1,1,0,0,1,4,10,2,4596.2
1,1,0,0,1,4,11,2,4595.4
1,0,0,0,1,4,12,2,4604.2
1,0,0,0,1,4,9,2,4615.6
1,0,0,0,1,4,10,2,4634.4
1,1,0,0,1,3,8,2,4567.2
1,0,0,0,0,4,10,2,4597.8
1,1,1,0,1,4,11,2,4577.8
1,0,0,0,1,5,5,2,4662.8
1,1,0,0,0,5,5,2,4696.4
1,1,0,0,1,5,5,2,4670.2
1,0,1,0,1,5,5,2,4647.8
1,0,1,0,0,5,5,2,4630.4
1,0,1,0,0,6,5,2,4585.0
1,0,0,0,0,6,5,2,4605.2
1,0,1,0,0,7,5,2,4728.6
1,0,1,0,0,6,6,2,4372.0
1,0,1,0,0,6,7,2,4410.4
1,0,0,0,0,6,6,2,4408.0
1,0,1,0,0,7,6,2,4413.2
1,0,1,0,1,6,6,2,4385.8
1,1,1,0,0,6,6,2,4396.6
1,1,1,0,1,6,6,2,4382.8
1,0,0,0,1,6,6,2,4453.4
1,0,0,0,0,7,6,2,4419.8
1,0,0,0,0,6,7,2,4430.8
1,1,0,0,0,6,6,2,4374.2
1,1,0,0,0,7,6,2,4430.4
1,1,0,0,0,6,7,2,4419.0
1,0,1,0,0,6,8,2,4441.6
1,0,1,0,0,7,7,2,4369.4
1,0,1,0,0,8,7,2,4280.4
1,0,0,0,0,8,6,2,4377.2
1,0,0,0,0,8,7,2,4334.0
1,0,1,0,0,8,6,2,4342.4
1,0,1,0,0,9,7,2,4310.4
1,0,1,0,0,8,8,2,4300.4
1,0,1,0,1,8,7,2,4302.6
1,1,1,0,0,8,7,2,4304.8
1,0,1,0,0,8,9,2,4276.6
1,0,1,0,0,9,9,2,4307.4
1,0,1,0,0,8,10,2,4292.8
1,0,1,0,1,8,9,2,4275.6
1,1,1,0,1,8,9,2,4297.2
1,0,1,0,0,8,11,2,4291.8
1,0,1,0,0,8,12,2,4277.2
1,0,1,0,1,8,12,2,4291.0
1,0,1,0,1,8,11,2,4301.2
1,1,1,0,1,8,7,2,4327.4
1,1,1,0,0,8,9,2,4305.8
1,1,1,0,1,9,9,2,4318.0
1,1,1,0,1,8,10,2,4271.2
1,1,1,0,0,8,10,2,4298.0
1,1,1,0,1,8,11,2,4295.0
1,1,1,0,1,8,12,2,4277.8
1,0,1,0,1,8,10,2,4298.0
1,1,1,0,0,8,12,2,4282.4
1,1,1,0,0,8,11,2,4284.0
1,1,0,0,1,8,10,2,4317.0
1,0,1,0,1,8,8,2,4303.8
1,1,1,0,0,8,8,2,4295.8
1,0,1,0,0,10,9,2,4345.0
1,0,1,0,0,9,10,2,4302.4
1,0,1,0,0,9,11,2,4311.0
1,0,1,0,1,9,10,2,4307.8
1,0,1,0,1,9,9,2,4307.6
1,0,1,0,0,9,8,2,4332.2
1,0,0,0,0,9,10,2,4383.2
1,0,1,0,0,9,6,2,4342.2
1,0,1,0,1,9,7,2,4304.6
1,1,1,0,1,9,7,2,4310.8
1,1,1,0,0,9,10,2,4299.2
1,1,1,0,1,9,10,2,4315.8
1,0,1,0,1,9,11,2,4306.2
1,0,1,0,1,9,12,2,4320.6
1,1,1,0,1,8,10,0,4700.2
1,1,1,0,0,9,7,2,4325.4
1,1,1,0,0,9,9,2,4332.2
1,0,1,0,1,9,8,2,4299.4
1,1,1,0,0,9,11,2,4308.6
1,1,1,0,1,9,8,2,4307.4
1,1,1,0,1,9,11,2,4318.6
1,1,1,0,0,9,12,2,4297.8
1,0,1,0,0,9,12,2,4308.2
1,1,0,0,0,8,6,2,4368.2
1,0,0,0,1,8,6,2,4372.6
1,0,0,0,0,8,9,2,4317.0
1,0,0,0,0,8,10,2,4320.8
1,0,0,0,1,8,9,2,4325.8
1,1,0,0,0,8,9,2,4321.4
1,1,0,0,0,8,10,2,4305.6
1,1,0,0,0,8,11,2,4309.2
1,1,0,0,0,8,12,2,4333.8
1,1,0,0,1,8,11,2,4317.4
1,1,1,0,1,9,12,2,4329.0
1,0,0,0,0,8,11,2,4311.8
1,0,0,0,1,8,10,2,4310.2
1,0,0,0,1,8,11,2,4332.4
1,1,1,0,0,9,8,2,4320.0
1,1,0,0,1,8,9,2,4304.8
1,1,1,0,1,8,8,2,4297.6
1,0,0,0,0,8,12,2,4315.2
1,0,0,0,1,8,12,2,4341.6
1,0,0,0,0,8,8,2,4306.0
1,0,0,0,1,8,8,2,4306.0
1,1,0,0,0,8,8,2,4315.2
1,1,0,0,1,8,8,2,4312.8
1,0,0,0,1,8,7,2,4304.0
1,1,0,0,1,8,7,2,4338.4
1,1,0,0,0,8,7,2,4306.6
1,1,0,0,1,8,12,2,4328.8
1,0,1,0,0,10,6,2,4196.4
1,0,1,0,1,10,6,2,4215.8
1,0,1,0,0,10,7,2,4385.6
1,1,1,0,0,10,6,2,4200.6
1,1,1,0,1,10,6,2,4222.6
1,0,0,0,0,10,6,2,4224.2
1,0,0,0,1,10,6,2,4238.4
1,1,0,0,0,10,6,2,4224.0
1,1,0,0,1,10,6,2,4241.4
1,0,1,0,1,9,6,2,4349.0
1,1,1,0,0,9,6,2,4345.0
1,0,0,0,0,10,9,2,4382.0
1,0,1,0,0,10,10,2,4376.4
1,0,1,0,1,10,9,2,4370.6
1,1,1,0,0,8,6,2,4351.4
1,1,1,0,0,10,9,2,4403.6
1,1,1,0,1,9,6,2,4370.6
1,0,1,0,1,8,6,2,4339.8
1,1,0,0,0,9,6,2,4373.6
1,1,0,0,1,8,6,2,4386.2
1,1,1,0,1,8,6,2,4360.4
1,0,0,0,1,9,6,2,4382.8
1,0,1,0,0,10,11,2,4383.4
1,0,0,0,0,10,10,2,4402.4
1,1,0,0,0,10,7,2,4393.2
1,0,1,0,1,10,10,2,4340.2
1,0,0,0,0,9,6,2,4390.2
1,1,0,0,1,9,6,2,4363.8
1,0,0,0,1,10,9,2,4395.6
1,1,0,0,0,10,9,2,4420.2
1,0,0,0,0,10,7,2,4386.8
1,1,1,0,1,7,6,2,4386.8
1,1,1,0,1,6,7,2,4463.8
1,0,0,0,0,7,7,2,4383.8
1,0,1,0,1,7,7,2,4421.4
1,0,0,0,0,9,7,2,4362.2
1,0,0,0,0,9,8,2,4338.8
1,0,0,0,0,9,9,2,4330.6
1,0,0,0,1,9,9,2,4338.8
1,1,0,0,0,9,9,2,4343.8
1,0,0,0,1,9,8,2,4352.8
1,1,0,0,1,9,9,2,4335.8
1,1,0,0,0,9,8,2,4360.2
1,1,0,0,1,9,8,2,4335.0
1,0,0,0,1,9,7,2,4335.8
1,1,0,0,1,9,7,2,4315.4
1,1,0,0,0,9,7,2,4344.8
1,0,0,0,0,9,11,2,4334.2
1,0,0,0,0,9,12,2,4334.0
1,1,0,0,0,9,12,2,4331.8
1,1,0,0,0,9,11,2,4323.0
1,1,0,0,1,9,11,2,4325.0
1,1,0,0,1,9,12,2,4338.2
1,0,0,0,1,9,11,2,4361.2
1,1,0,0,1,9,10,2,4337.0
1,1,0,0,0,9,10,2,4318.2
1,0,0,0,1,9,12,2,4323.4
1,0,0,0,1,9,10,2,4337.8
1,0,1,0,0,10,12,2,4363.0
1,0,1,0,1,10,12,2,4357.8
1,0,1,0,1,10,11,2,4364.4
1,1,0,0,0,7,7,2,4399.8
1,0,1,0,0,10,8,2,4373.0
1,0,1,0,1,10,8,2,4376.8
1,0,1,0,1,10,7,2,4372.4
1,0,0,0,0,10,8,2,4402.8
1,0,0,0,1,10,7,2,4384.0
1,1,1,0,0,7,6,2,4416.2
1,0,1,0,1,7,6,2,4404.0
1,1,0,0,0,10,8,2,4378.2
1,1,0,0,1,10,8,2,4403.0
1,1,0,0,1,10,7,2,4381.8
1,0,0,0,0,10,11,2,4392.0
1,0,0,0,0,10,12,2,4402.8
1,0,0,0,1,10,11,2,4393.2
1,0,0,0,1,10,10,2,4415.2
1,0,0,0,1,10,12,2,4366.0
1,1,0,0,1,10,12,2,4391.2
1,1,0,0,0,10,11,2,4392.6
1,1,0,0,1,10,11,2,4391.8
1,1,0,0,0,10,10,2,4401.4
1,0,0,0,1,10,8,2,4382.4
1,1,0,0,1,10,10,2,4392.8
1,1,0,0,0,10,12,2,4388.2
1,1,1,0,0,10,7,2,4379.8
1,1,1,0,0,10,8,2,4379.6
1,1,1,0,1,10,8,2,4364.6
1,1,1,0,1,10,10,2,4353.8
1,1,1,0,1,10,12,2,4379.2
1,1,1,0,1,10,7,2,4381.8
1,1,1,0,0,10,12,2,4364.4
1,1,1,0,0,10,10,2,4395.4
1,1,1,0,1,10,9,2,4361.2
1,1,1,0,1,10,11,2,4354.8
1,1,1,0,0,10,11,2,4381.2
1,1,0,0,1,10,9,2,4391.4
1,0,1,0,1,6,7,2,4397.0
1,0,0,0,0,6,8,2,4440.4
1,0,0,0,0,7,8,2,4395.4
1,0,0,0,0,7,9,2,4454.0
1,0,1,0,0,7,8,2,4368.8
1,1,0,0,0,7,8,2,4390.8
1,1,1,0,0,7,8,2,4409.8
1,0,1,0,0,7,8,0,4762.6
1,0,1,0,0,10,5,2,4597.0
1,1,0,0,1,7,6,2,4415.0
1,1,1,0,0,7,7,2,4507.4
1,1,0,0,1,7,8,2,4382.4
1,1,0,0,1,7,7,2,4398.8
1,1,1,0,1,7,8,2,4359.0
1,0,1,0,1,7,8,2,4361.4
1,0,0,0,1,7,8,2,4384.6
1,0,0,0,1,7,6,2,4427.2
1,1,0,0,1,6,7,2,4466.0
1,0,0,0,1,7,7,2,4548.2
1,1,1,0,1,6,8,2,4425.0
1,1,1,0,1,7,9,2,4383.4
1,0,1,0,1,7,9,2,4418.6
1,1,0,0,1,6,8,2,4429.4
1,1,0,0,1,7,9,2,4385.2
1,1,0,0,1,6,6,2,4387.6
1,1,1,0,0,7,9,2,4390.6
1,1,1,0,1,7,10,2,4364.2
1,1,0,0,1,7,10,2,4495.0
1,1,1,0,0,7,10,2,4400.8
1,1,1,0,1,7,11,2,4371.6
1,0,1,0,0,7,9,2,4353.4
1,0,1,0,0,7,10,2,4375.2
1,1,1,0,1,7,12,2,4372.4
1,0,1,0,0,7,11,2,4355.4
1,0,1,0,0,6,9,2,4412.8
1,0,1,0,0,7,12,2,4356.6
1,0,1,0,0,6,11,2,4418.8
1,0,1,0,1,7,11,2,4359.4
1,0,1,0,1,7,12,2,4377.6
1,1,1,0,0,7,11,2,4370.2
1,0,1,0,1,7,10,2,4373.6
1,1,1,0,0,7,12,2,4376.0
1,0,0,0,1,6,8,2,4447.0
1,0,0,0,1,7,9,2,4402.6
1,1,0,0,0,7,9,2,4382.6
1,1,0,0,0,6,9,2,4465.0
1,0,1,0,1,6,9,2,4423.2
1,0,1,0,0,6,10,2,4409.2
1,0,1,0,1,6,10,2,4404.6
1,0,1,0,0,6,12,2,4459.4
1,0,1,0,1,6,11,2,4424.6
1,1,0,0,0,6,8,2,4430.8
1,1,1,0,0,6,8,2,4416.6
1,1,1,0,0,6,9,2,4403.8
1,1,1,0,0,6,10,2,4396.2
1,1,1,0,0,6,11,2,4419.2
1,1,1,0,1,6,10,2,4417.4
1,1,1,0,1,6,9,2,4409.2
1,1,1,0,1,6,11,2,4405.0
1,0,1,0,1,6,8,2,4403.2
1,0,0,0,1,6,9,2,4478.2
1,0,0,0,0,6,9,2,4436.8
1,0,1,0,1,6,12,2,4414.0
1,1,1,0,1,6,12,2,4398.4
1,1,1,0,0,6,12,2,4400.2
1,1,1,0,0,6,7,2,4421.2
1,1,0,0,1,6,9,2,4436.4
1,0,0,0,0,6,10,2,4449.0
1,0,0,0,0,6,11,2,4434.6
1,0,0,0,0,6,12,2,4432.0
1,0,0,0,1,6,12,2,4425.2
1,0,0,0,1,7,10,2,4413.4
1,0,0,0,0,7,10,2,4429.4
1,0,0,0,1,7,11,2,4400.4
1,0,0,0,1,7,12,2,4370.0
1,0,0,0,0,7,12,2,4396.0
1,1,0,0,1,7,12,2,4401.2
1,0,0,0,0,7,11,2,4398.8
1,1,0,0,0,7,11,2,4398.6
1,1,0,0,1,7,11,2,4437.2
1,1,0,0,0,7,12,2,4388.0
1,0,0,0,1,6,11,2,4431.8
1,1,0,0,1,6,12,2,4421.6
1,1,0,0,0,6,11,2,4441.2
1,1,0,0,1,6,11,2,4452.4
1,1,0,0,0,6,12,2,4435.4
1,1,0,0,1,6,10,2,4443.6
1,1,0,0,0,6,10,2,4441.4
1,0,0,0,1,6,7,2,4446.4
1,0,0,0,1,6,10,2,4442.6
1,1,0,0,0,7,10,2,4383.2
1,1,1,0,1,7,7,2,4375.2
1,0,1,0,0,6,5,0,4776.2
1,0,1,0,1,6,5,2,4573.6
1,1,1,0,1,6,5,2,4579.4
1,1,1,0,0,6,5,2,4584.0
1,0,0,0,0,8,5,2,4683.4
1,0,0,0,0,10,5,2,4639.0
1,0,1,0,1,10,5,2,4628.6
1,1,1,0,0,10,5,2,4622.6
1,0,0,0,1,6,5,2,4614.2
1,1,0,0,0,6,5,2,4612.6
1,1,0,0,1,6,5,2,4608.4
1,1,1,0,1,10,5,2,4613.6
1,0,1,0,0,5,6,2,4548.6
