new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,1,1,1,0,0,1,163.4228
0,2,1,1,1,0,1,3,163.9654
0,2,1,1,1,1,0,1,166.9158
1,2,1,0,1,0,3,3,165.358
0,1,1,1,0,1,0,0,31.4648
1,2,1,1,0,1,0,2,165.5166
0,0,1,0,1,1,0,0,166.063
0,2,1,0,0,0,2,1,164.6946
0,2,0,0,0,1,3,1,167.9556
0,2,1,1,1,0,3,3,165.8492
0,2,0,0,1,0,2,2,166.5864
0,2,1,0,0,0,0,3,164.7462
0,1,0,0,0,1,1,0,32.5466
0,2,1,1,1,1,2,1,166.2642
1,2,0,0,1,0,0,1,167.8962
0,2,1,2,1,0,3,3,165.7986
0,2,1,0,0,0,3,1,165.3918
0,2,1,2,1,1,1,2,165.17
1,2,0,0,1,0,0,2,168.1308
0,2,1,2,0,0,1,2,165.2936
0,1,1,0,0,1,3,0,32.164
0,0,1,0,1,1,2,0,165.9408
0,2,1,2,1,1,2,2,165.6028
1,2,1,2,1,0,0,3,165.0668
0,2,1,2,0,1,0,1,164.987
1,0,1,1,1,1,0,0,164.3898
0,1,1,0,1,1,0,0,31.4334
1,0,1,2,0,0,1,0,167.1676
0,1,1,2,0,0,1,0,31.2602
1,2,0,0,0,1,1,2,167.4358
1,1,0,0,1,1,2,0,32.7488
1,0,0,0,0,0,3,0,166.614
0,1,1,2,1,1,0,0,31.6432
0,2,0,0,0,1,2,3,166.8372
1,2,0,0,1,0,1,3,167.6726
1,0,0,0,1,0,3,0,167.49
0,2,1,0,0,1,0,2,164.7842
1,2,0,0,0,0,3,2,167.3366
0,2,1,2,0,0,3,1,166.6618
0,2,1,1,0,1,0,2,163.3292
0,2,1,0,1,1,2,3,165.2694
0,2,0,0,1,0,0,2,166.5048
1,2,1,2,0,1,3,2,165.2836
0,1,1,1,0,1,3,0,32.1136
0,2,1,1,0,1,3,2,165.3036
0,0,1,0,0,0,0,0,161.8958
0,0,1,1,1,0,0,0,165.6874
1,2,1,2,0,1,1,2,165.774
0,0,1,2,1,0,2,0,164.9596
0,2,0,0,1,1,3,3,167.779
1,1,1,0,0,0,1,0,31.2326
1,1,1,0,0,0,2,0,31.8866
1,1,1,0,0,1,1,0,32.145
1,1,1,0,0,0,0,0,31.6822
1,1,1,0,1,0,1,0,31.9844
1,1,1,2,0,0,1,0,31.7042
1,1,1,1,0,0,1,0,31.9878
0,1,1,0,0,0,0,0,31.3186
0,1,1,0,0,0,1,0,31.2232
0,1,1,0,1,0,1,0,31.4174
0,1,1,1,0,0,1,0,31.283
0,1,1,2,0,0,0,0,31.1458
0,1,1,1,0,0,0,0,30.7448
0,1,1,1,1,0,0,0,31.03
0,1,1,2,1,0,0,0,30.8186
0,1,1,0,1,0,0,0,31.0946
0,1,1,0,0,0,2,0,31.6514
0,1,1,2,1,0,1,0,31.0888
0,1,1,1,1,0,1,0,31.5162
0,1,1,0,1,1,1,0,31.9392
0,1,0,0,1,0,0,0,32.1144
1,1,1,0,0,1,0,0,31.2796
1,1,1,0,1,1,0,0,32.436
0,1,1,0,0,1,0,0,31.1982
1,1,1,2,0,1,0,0,31.8482
0,1,1,1,1,1,0,0,31.368
0,1,1,2,0,1,0,0,31.6628
0,1,1,0,1,0,2,0,31.6254
0,1,1,2,1,0,2,0,31.2782
0,1,1,2,0,0,2,0,31.9334
0,1,1,2,1,1,2,0,31.832
0,1,1,1,1,0,2,0,31.9244
0,1,1,0,1,1,2,0,32.3634
1,1,1,2,1,0,2,0,32.0026
0,1,1,2,1,0,3,0,31.3372
1,1,1,0,0,0,3,0,31.1622
1,1,1,0,1,0,3,0,31.8582
1,1,1,2,0,0,3,0,31.8124
1,1,1,1,0,0,3,0,32.6976
0,1,1,0,0,0,3,0,31.5282
0,1,1,0,1,0,3,0,31.6904
1,1,1,2,0,0,0,0,32.0308
1,1,1,0,0,1,3,0,32.6992
0,1,0,0,0,1,0,0,32.3318
1,1,1,1,0,1,0,0,32.099
1,1,1,2,0,0,2,0,31.4314
0,1,1,2,0,1,2,0,32.0282
1,1,0,0,0,0,3,0,32.509
0,1,1,2,1,1,3,0,31.6068
0,1,1,2,0,1,3,0,31.9772
0,1,1,1,0,0,2,0,31.6962
0,1,1,1,0,0,3,0,32.8414
1,1,1,2,1,1,3,0,32.0234
0,1,1,1,1,1,3,0,31.9532
1,1,1,1,0,0,2,0,32.2072
1,1,1,2,0,1,1,0,32.4752
1,1,1,2,1,0,1,0,31.7822
1,1,1,0,1,0,2,0,31.7862
0,1,1,2,0,0,3,0,31.4676
0,1,1,0,0,1,1,0,32.209
0,1,1,2,1,1,1,0,32.2096
0,1,1,1,1,1,2,0,32.8896
0,1,0,0,0,0,3,0,31.9984
1,1,0,0,0,0,1,0,32.4778
1,1,1,0,1,1,1,0,32.0384
0,1,1,1,1,1,1,0,32.4414
0,1,1,0,1,1,3,0,31.7572
1,1,1,0,1,1,3,0,32.7582
1,1,1,2,0,1,3,0,32.3962
0,1,0,0,1,1,3,0,32.4974
1,1,1,0,1,0,0,0,31.376
1,1,1,1,1,0,1,0,32.2274
1,1,1,1,0,0,0,0,31.3498
1,1,1,2,1,0,0,0,31.1244
1,1,1,1,1,0,0,0,31.6506
0,1,0,0,0,0,2,0,32.2248
0,1,0,0,1,0,3,0,32.237
1,1,1,2,1,0,3,0,31.862
1,1,1,0,1,1,2,0,32.7946
1,1,1,2,1,1,2,0,32.0416
1,1,0,0,1,1,1,0,32.272
1,1,1,1,1,1,1,0,31.9676
1,1,1,2,1,1,1,0,32.0974
0,1,0,0,1,0,1,0,31.9034
0,1,0,0,0,0,1,0,32.268
0,1,0,0,1,0,2,0,32.0884
1,1,0,0,1,0,0,0,32.389
0,1,0,0,1,1,0,0,32.465
1,1,1,1,0,1,1,0,32.517
0,1,1,2,0,1,1,0,31.926
1,1,1,1,1,0,2,0,32.3072
0,1,0,0,0,0,0,0,32.1214
0,1,0,0,1,1,1,0,32.7334
1,1,0,0,0,1,1,0,32.7674
1,1,0,0,0,1,0,0,32.3174
0,1,1,0,0,1,2,0,32.1222
1,1,1,1,1,1,2,0,33.1484
1,1,0,0,0,0,0,0,32.4742
1,1,0,0,1,0,1,0,31.9774
1,1,0,0,1,0,2,0,32.39
1,1,0,0,1,0,3,0,32.5432
1,1,1,2,0,1,2,0,32.4974
1,1,1,2,1,1,0,0,32.3934
1,1,1,1,1,1,0,0,31.6374
0,1,1,1,0,1,1,0,32.4226
1,1,0,0,1,1,0,0,32.952
1,1,0,0,0,0,2,0,32.4476
1,1,0,0,1,1,3,0,32.9528
0,1,0,0,0,1,2,0,32.65
0,1,0,0,1,1,2,0,32.7328
0,1,0,0,0,1,3,0,32.8334
1,1,1,1,1,0,3,0,32.9028
1,1,1,0,0,1,2,0,32.0286
1,1,1,1,0,1,2,0,33.0064
1,1,0,0,0,1,2,0,33.0006
0,1,1,1,0,1,2,0,32.4956
0,1,1,1,1,0,3,0,32.1888
1,1,0,0,0,1,3,0,33.0218
1,1,1,1,0,1,3,0,33.1188
1,1,1,1,1,1,3,0,33.3514
1,0,0,0,0,0,0,0,167.7768
1,0,1,0,0,0,0,0,164.1818
0,0,1,0,0,1,0,0,162.9272
0,0,1,2,0,0,0,0,161.9756
0,0,1,1,0,0,0,0,165.9226
1,0,1,2,0,0,0,0,164.1168
0,0,1,2,0,1,0,0,165.7776
0,2,1,2,0,1,0,2,164.7928
0,2,1,1,0,1,0,1,166.5214
0,2,1,1,0,1,1,2,167.081
0,2,1,1,0,1,0,3,165.396
0,2,1,1,1,1,0,2,165.8364
1,2,1,0,0,0,0,1,164.3716
1,2,1,0,1,0,0,1,165.1408
1,2,1,2,0,0,0,1,164.9142
1,2,1,1,0,0,0,1,165.4328
1,2,1,1,1,0,0,2,165.4086
1,2,1,2,1,0,0,1,165.4944
0,2,1,1,1,0,0,1,165.0662
1,2,1,2,1,0,1,3,163.3854
1,2,1,2,0,0,1,3,164.541
1,2,1,0,1,0,1,3,166.98
1,2,1,2,1,0,2,3,164.509
0,2,1,2,1,0,1,3,167.7094
0,2,1,1,0,0,0,2,163.7756
1,2,1,2,1,1,1,3,166.8596
1,2,1,2,1,0,1,1,165.2152
0,2,1,0,0,0,0,2,162.6548
0,2,1,0,1,0,0,2,163.0798
0,2,1,0,0,0,0,1,164.9276
1,2,1,0,0,0,0,2,165.3404
0,2,1,2,0,0,0,2,163.6058
0,2,1,2,1,0,0,2,163.9568
0,2,1,1,1,0,0,2,164.8446
0,2,1,0,0,0,1,1,165.1946
1,2,1,1,1,0,1,3,166.042
0,2,1,1,0,0,1,1,166.5234
0,2,1,0,0,0,1,3,164.7506
0,2,1,1,0,0,1,3,166.5906
0,2,1,1,1,0,1,1,166.458
0,2,1,1,1,0,1,2,166.7586
0,2,1,1,1,1,1,3,165.3228
1,0,1,0,0,1,0,0,165.605
0,0,1,1,0,1,0,0,165.268
1,0,1,0,1,1,0,0,165.6214
1,0,1,2,1,0,0,0,164.1874
0,0,1,0,1,0,0,0,166.1266
1,0,1,2,1,1,0,0,166.1112
1,0,1,2,1,0,1,0,164.9386
1,0,1,1,1,0,0,0,164.8182
1,0,1,1,1,1,1,0,165.3652
0,0,1,1,1,1,0,0,167.0262
1,2,1,2,1,0,3,3,165.3268
1,2,1,2,0,0,2,3,166.5826
1,2,1,2,1,0,2,1,164.4126
1,2,1,2,1,0,2,2,165.7712
1,2,1,2,1,0,3,1,162.4182
1,2,1,0,0,0,3,1,166.5774
1,2,1,2,0,0,3,1,167.5774
1,2,1,0,1,0,3,1,166.8476
1,2,1,2,1,0,1,2,165.5138
0,2,1,1,1,0,2,3,165.4524
1,2,1,2,0,1,1,3,165.0296
0,2,1,0,0,0,2,2,163.1388
0,2,1,0,0,0,1,2,167.4724
0,2,1,0,0,0,2,3,165.4448
1,2,1,2,1,0,3,2,165.9262
0,2,1,2,1,0,3,1,166.4626
1,2,1,2,1,1,3,1,164.7978
1,2,1,0,0,0,2,2,164.8898
0,2,1,0,0,1,2,2,163.1684
0,2,1,0,1,0,2,2,163.467
0,2,1,0,1,1,2,2,165.4042
0,2,1,0,1,0,2,1,164.565
0,2,1,0,1,0,1,3,165.5232
1,2,1,2,1,1,2,1,165.5798
0,2,1,2,1,0,2,1,165.2808
1,2,1,1,1,0,2,1,167.6088
0,2,1,0,0,0,3,2,164.7146
0,2,1,0,1,0,3,2,163.597
0,2,1,0,0,1,3,2,165.3656
0,2,1,0,1,1,2,1,167.317
0,2,1,0,1,0,0,3,162.5204
0,2,1,2,0,0,0,3,164.3146
0,2,1,2,1,0,0,3,165.94
0,2,1,2,0,0,0,1,164.9902
0,2,1,2,1,0,0,1,163.8384
0,2,1,1,0,0,0,3,164.7606
0,2,1,0,0,1,1,3,164.231
1,2,1,2,1,1,3,2,164.498
1,2,1,2,1,1,1,2,163.2298
1,2,1,0,0,1,2,2,165.1584
1,2,1,2,1,1,2,2,166.1056
1,2,1,1,1,1,3,2,165.7712
1,2,1,2,1,1,2,3,167.0402
1,2,1,2,1,1,3,3,165.6936
1,0,1,0,1,0,0,0,166.2254
1,2,1,0,0,0,3,2,165.0282
1,2,1,0,0,0,2,3,165.0488
1,2,1,0,1,0,2,2,165.683
0,2,1,0,1,0,0,1,162.5806
0,2,1,0,1,1,0,3,164.6706
1,2,1,0,0,1,0,1,164.582
0,2,1,0,0,1,0,3,165.1774
1,2,1,0,1,1,0,1,164.6426
0,2,1,0,0,1,0,1,164.4762
0,2,1,0,1,1,0,1,165.261
1,2,1,0,0,1,0,2,164.6832
1,2,1,0,0,1,0,3,164.4074
1,2,1,0,1,1,0,3,161.9186
1,2,1,0,1,0,0,2,164.5372
1,2,1,0,1,0,0,3,165.5104
1,2,1,0,1,1,0,2,163.3164
0,2,1,0,1,1,0,2,166.3334
1,2,1,2,0,0,0,2,165.3112
1,0,1,2,1,0,2,0,165.18
1,0,1,1,1,0,1,0,167.9786
0,0,1,2,1,0,0,0,165.7538
0,0,1,2,1,0,3,0,163.2174
1,0,1,0,1,0,3,0,167.101
1,0,1,2,1,0,3,0,167.6958
0,0,1,2,1,1,3,0,165.2914
0,0,1,2,1,1,2,0,165.5004
1,2,1,2,0,1,0,1,164.258
1,2,1,2,0,1,0,2,163.6538
1,2,1,2,1,1,0,2,163.3302
1,2,1,2,1,0,0,2,163.3106
0,2,1,1,0,0,0,1,165.4646
1,2,1,1,0,0,0,2,165.398
0,2,1,2,1,1,0,1,164.673
0,2,1,2,1,1,0,2,164.9078
1,2,1,2,1,1,0,1,163.6666
1,2,1,2,0,0,0,3,166.0612
0,2,1,2,0,1,0,3,165.1012
0,2,1,1,1,0,0,3,167.3204
1,2,1,1,0,0,0,3,164.1642
1,2,1,1,0,1,0,3,165.501
1,2,1,0,0,0,3,3,167.429
1,2,1,0,0,0,1,2,166.8392
1,2,1,1,1,0,2,3,165.8198
1,2,1,0,0,1,2,3,164.0904
1,2,1,0,0,1,1,3,166.6548
0,2,1,2,1,1,3,2,165.53
0,2,1,2,1,0,2,3,164.9366
1,2,1,0,0,1,3,2,164.601
1,2,1,0,1,1,2,3,165.2884
1,2,1,2,1,1,0,3,164.544
0,2,1,2,1,1,0,3,164.4566
1,2,1,2,0,1,0,3,164.441
0,2,1,2,0,1,1,2,164.4504
0,2,1,0,1,0,1,1,165.2514
1,0,1,1,0,1,0,0,165.4614
0,2,1,0,1,0,2,3,162.999
0,2,1,0,1,0,3,3,166.0144
1,2,1,0,0,1,3,3,165.6086
1,2,1,0,1,0,2,3,164.9432
1,2,1,0,1,1,3,2,165.6286
0,2,1,2,1,0,1,1,165.0964
0,2,1,2,0,1,1,1,164.1594
1,2,1,2,1,1,1,1,163.2904
0,2,1,2,0,0,1,1,165.342
0,2,1,2,1,1,1,1,166.6378
1,2,1,2,0,1,1,1,166.767
0,2,1,2,0,1,2,1,164.6412
0,2,1,2,0,1,2,2,165.8012
1,2,1,2,0,1,2,1,166.0986
0,2,1,2,0,1,3,1,164.1336
0,2,1,2,0,0,2,3,165.4222
1,2,1,2,0,1,2,3,166.346
0,2,1,2,0,1,1,3,164.2452
0,2,1,2,1,0,1,2,163.9968
0,2,1,2,1,0,2,2,165.781
1,2,1,1,0,1,2,3,167.7058
0,2,1,2,1,1,2,3,165.8712
0,2,1,2,0,0,1,3,165.1044
0,2,1,0,0,1,1,1,165.314
1,2,1,2,0,0,2,2,164.5752
1,2,1,2,0,1,2,2,164.538
0,2,1,2,1,1,3,1,163.2566
0,2,1,2,1,1,1,3,164.6752
0,2,1,2,0,0,2,1,165.2856
1,2,1,2,0,0,3,2,165.7494
0,2,1,1,0,0,3,1,166.6604
0,2,1,1,0,0,3,2,166.55
0,2,1,1,0,1,3,1,165.3172
1,2,1,1,0,1,3,2,167.7292
0,2,1,1,0,1,2,2,165.462
0,2,1,0,1,1,1,1,166.6684
1,2,1,0,0,0,0,3,165.0278
1,2,1,0,1,1,3,3,166.3832
1,2,1,0,0,0,2,1,162.2004
1,2,1,0,1,0,2,1,167.5732
1,2,1,0,0,1,2,1,164.6884
0,2,1,0,0,1,2,1,165.9052
0,2,1,0,1,0,3,1,164.143
0,2,1,0,1,1,3,2,165.733
0,2,1,0,0,1,2,3,162.9336
1,0,1,0,1,1,1,0,165.6808
1,0,1,1,1,1,2,0,166.0536
0,0,1,1,1,1,1,0,166.5828
0,2,1,0,0,1,3,1,166.7608
0,2,1,0,0,1,3,3,167.1964
1,2,1,0,1,0,3,2,164.9454
1,2,1,0,1,1,2,2,165.2798
0,2,1,2,0,0,3,3,164.3828
0,2,1,2,0,0,3,2,165.143
1,2,1,2,0,0,3,3,164.1768
0,2,1,2,0,0,2,2,165.255
1,2,1,2,0,0,2,1,167.0078
1,2,1,2,0,1,3,1,167.0054
1,2,1,2,0,1,3,3,166.4572
1,2,1,2,0,0,1,2,166.319
0,2,1,1,1,1,2,3,165.6812
0,2,1,1,0,1,2,1,168.1816
0,2,1,1,0,1,3,3,165.0568
0,2,1,1,0,0,3,3,165.1006
0,2,1,1,1,1,3,2,166.794
0,2,1,1,0,0,2,2,167.7276
0,2,1,0,1,1,1,3,164.2734
0,2,1,2,1,1,2,1,165.2686
0,2,1,2,1,1,3,3,165.688
0,0,1,2,1,0,1,0,161.9528
0,0,1,2,1,1,0,0,163.3642
0,0,0,0,0,0,0,0,166.1946
0,0,1,0,0,0,1,0,165.2612
0,0,1,2,0,0,1,0,164.0658
0,0,1,2,1,1,1,0,165.1184
0,0,1,2,0,0,2,0,165.8586
0,0,1,0,0,1,1,0,163.366
0,0,1,2,0,0,3,0,167.2748
0,0,1,0,1,0,3,0,164.9116
1,0,1,1,0,0,0,0,163.4738
0,0,1,0,1,0,1,0,163.6422
0,0,1,1,1,0,1,0,166.7776
0,0,1,0,1,1,1,0,165.3184
0,0,1,0,1,0,2,0,163.7926
0,0,1,1,0,1,1,0,165.681
0,0,1,0,0,1,2,0,166.7804
1,0,1,2,1,1,1,0,165.9748
0,0,1,2,0,1,1,0,166.138
0,0,1,1,0,0,1,0,165.5004
1,2,1,1,1,0,3,1,167.3408
1,2,1,1,0,1,2,2,165.883
1,2,1,1,0,1,3,1,166.9868
0,2,1,1,1,1,3,1,166.339
0,2,1,1,1,1,2,2,167.052
1,2,1,1,1,1,2,2,165.1948
1,0,1,2,0,1,0,0,163.7938
0,2,1,2,0,1,3,2,164.8178
0,2,1,2,0,1,3,3,164.142
0,2,1,2,1,0,3,2,163.342
0,2,1,2,0,1,2,3,164.5982
1,2,1,1,1,0,3,3,167.6246
1,2,1,1,1,1,2,3,166.3972
1,2,1,1,1,1,0,2,165.232
1,2,1,1,1,1,0,3,164.981
0,2,1,1,1,1,0,3,163.964
0,2,1,1,1,1,3,3,165.8732
0,0,1,0,0,0,2,0,164.191
0,0,1,1,0,0,2,0,164.7834
0,0,1,0,1,1,3,0,164.3484
0,0,1,0,0,1,3,0,161.8262
1,0,1,0,0,0,3,0,164.1756
0,0,1,0,0,0,3,0,163.7512
1,0,1,0,0,1,3,0,163.7542
1,0,1,0,0,0,1,0,165.4556
1,0,1,0,0,1,1,0,164.7058
1,0,1,0,0,0,2,0,166.4034
0,0,1,1,0,1,2,0,164.6024
