ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53936.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53887.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59480.2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,67271.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52285.4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55081.4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52324.8
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55493.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57087.8
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56974.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56380.6
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,59307.4
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,55426.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53380.6
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,56355.8
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56277.8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57468.4
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53429.4
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53919.8
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53879.2
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54233.0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53727.6
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53839.4
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53862.8
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53756.2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54182.0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54172.6
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,55505.4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,54264.4
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,54845.4
0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,56544.0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,56735.0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,57310.4
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,57158.6
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,55203.2
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,54945.0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,56303.6
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,58399.2
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,59485.6
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,61119.4
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55372.8
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,59045.2
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,54937.4
