WindowSize,CompressionLevel,Performance
4,1,1.46
3,1,1.514
0,10,363.364
8,2,2.094
14,10,392.744
7,10,307.144
4,7,5.896
8,3,2.562
2,7,5.266
13,10,318.954
7,4,2.848
7,6,6.34
3,7,5.554
6,1,1.598
6,7,6.998
9,0,1.614
14,0,1.574
11,10,244.734
0,6,3.386
7,0,1.606
11,5,7.272
6,0,1.59
5,1,1.52
2,11,328.552
3,9,6.862
8,4,2.824
9,1,1.604
10,5,7.45
1,5,3.49
10,9,17.4
4,0,1.472
4,3,2.302
3,11,315.078
0,0,1.662
1,3,2.476
12,6,10.266
11,1,1.598
3,8,5.62
12,11,259.594
1,0,1.526
13,3,2.478
8,8,9.684
2,10,328.816
9,5,7.372
11,7,15.806
8,0,1.628
11,3,2.512
14,9,108.602
9,4,2.8
2,5,3.746
3,0,1.514
5,0,1.534
2,0,1.528
1,1,1.526
2,1,1.542
14,1,1.57
13,1,1.572
13,0,1.556
12,1,1.586
12,0,1.596
11,0,1.604
7,1,1.612
10,1,1.636
8,1,1.63
10,0,1.63
0,1,1.666
0,2,2.146
5,2,1.972
3,2,1.942
2,2,1.988
4,2,1.9
6,2,2.026
7,2,2.102
9,2,2.1
10,2,2.088
11,2,2.06
12,2,2.05
13,2,2.032
14,2,2.04
1,2,1.998
3,3,2.37
5,3,2.392
6,3,2.508
0,3,2.616
2,3,2.426
14,3,2.478
7,3,2.564
10,3,2.546
12,3,2.5
9,3,2.552
10,4,2.808
11,4,2.768
12,4,2.748
13,4,2.726
14,4,2.708
0,4,3.02
4,4,2.894
6,4,2.77
3,4,2.972
5,4,2.834
2,4,3.004
1,4,3.04
0,5,3.306
1,6,3.57
2,6,3.846
0,7,4.874
1,7,5.078
0,8,5.046
1,8,5.042
2,8,5.318
3,5,4.128
4,5,4.678
3,6,4.3
5,5,5.072
6,5,5.392
7,5,5.886
4,6,4.874
5,6,5.306
5,7,6.39
6,6,5.77
4,8,6.086
5,8,6.738
0,9,6.246
1,9,6.286
2,9,6.47
4,9,7.404
7,7,7.636
6,8,7.548
12,5,7.198
13,5,7.178
14,5,7.154
8,5,6.714
5,9,8.084
7,8,8.454
8,6,7.51
9,6,9.336
6,9,9.094
7,9,10.152
10,6,10.658
8,7,8.628
9,7,10.05
9,8,11.508
8,9,11.954
13,6,10.22
10,7,12.338
14,6,10.176
11,6,10.46
9,9,14.048
10,8,14.64
12,7,19.626
11,8,18.874
11,9,23.614
13,7,20.474
12,8,25.432
13,8,37.284
12,9,34.292
13,9,63.68
14,7,20.228
14,8,38.644
10,10,246.512
12,10,256.21
11,11,244.72
9,10,258.558
10,11,246.08
9,11,258.502
3,10,313.652
6,10,285.0
5,10,291.618
6,11,284.296
5,11,292.192
8,10,279.698
8,11,279.692
7,11,307.42
4,10,301.488
4,11,301.078
13,11,315.238
1,10,343.594
1,11,343.996
0,11,363.346
14,11,394.158
