topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
0,1,1,0,0,0,0,1,1,1,0,1,0.0147723883798
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,0,1,0,0,0,0,1,1,1,0,1,0.0147805589486
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,1,0,0,0,0,0,1,1,1,0,1,0.0148118794623
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,1,1,1,0,0,0,1,1,1,0,1,0.00236265614297
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,1,1,0,1,0,0,1,1,1,0,1,0.142999933274
0,0,0,1,0,0,0,1,0,1,0,0,0.00139035845647
0,1,0,1,0,1,0,1,0,1,0,1,0.00251517342713
0,0,1,1,0,1,0,0,0,0,0,1,0.0013930819794
1,0,0,1,0,1,0,1,1,1,1,1,0.000682242494311
1,0,0,1,0,0,0,0,1,0,0,1,0.00333495382948
0,1,1,1,0,1,0,1,1,1,1,0,0.00104991809005
1,1,1,1,0,0,0,1,1,1,1,1,0.000921912512273
1,0,0,1,0,1,0,1,0,1,1,0,0.00066045431086
1,0,0,1,0,0,0,1,0,1,1,0,0.000687689540174
0,1,0,1,0,1,0,0,0,0,1,1,0.00106081218177
0,0,1,1,0,1,0,1,0,1,1,0,0.000821142163812
1,0,0,1,0,1,1,1,1,1,1,0,0.000128005577775
1,1,1,1,0,0,1,1,1,1,1,1,0.000807524549155
0,0,1,1,0,0,1,1,0,1,1,0,0.000133452623638
0,1,0,1,0,0,1,1,0,1,1,0,0.00119290304395
1,0,1,1,0,1,1,1,0,1,1,0,0.00103766223686
0,0,0,1,0,0,1,1,0,1,1,0,0.000142984953898
0,0,0,1,0,0,1,0,1,0,1,1,4.22146054364e-05
1,0,0,1,0,1,1,0,0,0,1,0,0.000136176146569
1,0,0,1,0,0,1,1,0,1,1,1,3.26822751766e-05
0,0,0,1,0,1,1,1,0,1,1,1,4.08528439707e-05
1,0,0,1,0,0,1,0,0,0,1,1,0.000152517284157
1,0,0,1,0,1,1,1,0,1,1,1,1.49793761226e-05
1,0,0,1,0,1,1,1,1,1,1,1,1.7702899054e-05
1,0,0,1,0,0,1,1,1,1,1,1,8.17056879415e-06
0,0,0,1,0,0,1,1,0,1,1,1,4.49381283678e-05
1,0,1,1,0,0,1,1,1,1,1,1,1.36176146569e-05
1,0,1,1,0,0,1,0,1,0,1,0,0.000198817173991
1,0,1,1,0,1,1,1,0,1,1,1,0.000130729100706
1,0,1,1,0,1,1,0,1,0,1,1,0.000122558531912
0,0,1,1,0,0,1,1,1,1,1,1,3.26822751766e-05
0,0,1,1,0,1,1,0,0,0,1,1,0.000118473247515
0,0,0,1,0,0,1,0,0,0,1,1,1.08940917255e-05
1,0,1,1,0,1,1,0,0,0,1,1,0.000121196770447
0,0,0,1,0,1,1,1,0,1,1,0,0.000151155522692
0,0,1,1,0,0,1,1,1,1,1,0,0.000166134898814
0,0,1,1,0,0,1,0,1,0,1,0,9.53233025984e-06
1,0,1,1,0,1,1,0,1,0,1,0,0.000117111486049
1,0,1,1,0,1,1,1,1,1,1,0,1.36176146569e-06
1,0,1,1,0,1,1,0,0,0,1,0,1.90646605197e-05
1,0,0,1,0,1,0,0,0,0,1,0,0.000684966017243
0,0,0,1,0,1,0,1,0,1,1,0,0.000853824438988
1,0,0,1,0,1,0,1,0,1,1,1,0.000668624879654
1,0,1,1,0,1,0,1,0,1,1,0,0.000804801026223
1,0,0,1,0,1,0,1,1,1,1,0,0.000704030677762
1,0,0,1,0,1,0,0,1,0,1,1,0.000671348402586
1,0,0,1,0,0,0,0,1,0,1,1,0.000690413063105
1,0,0,1,0,1,0,0,0,0,1,1,0.000671348402586
1,0,0,1,0,0,0,0,0,0,1,1,0.000644113173272
1,0,0,1,0,0,0,1,0,1,1,1,0.000742159998802
1,0,0,1,0,0,0,0,0,0,1,0,0.000706754200694
1,0,0,1,0,0,0,1,1,1,1,0,0.000619601466889
1,0,0,1,0,0,0,1,1,1,1,1,0.000616877943958
1,0,0,1,0,0,0,0,1,0,1,0,0.000657730787929
1,0,0,1,0,1,0,0,1,0,1,0,0.000649560219135
1,0,1,1,0,1,0,1,1,1,1,1,0.000812971595018
1,0,1,1,0,1,0,0,0,0,1,1,0.000832036255537
1,0,1,1,0,1,0,1,1,1,1,0,0.00089740080589
1,0,1,1,0,0,0,1,0,1,1,1,0.000867442053645
1,0,1,1,0,1,0,1,0,1,1,1,0.000815695117949
1,1,1,1,0,0,1,1,0,1,1,1,0.000876974383905
1,1,0,1,0,0,1,0,1,0,1,1,0.0014012525482
1,1,1,1,0,1,1,0,1,0,1,1,0.000283246384864
1,1,0,1,0,1,1,1,1,1,1,1,1.49793761226e-05
0,1,0,1,0,1,1,1,1,1,1,0,0.000136176146569
0,1,0,1,0,1,1,0,1,0,1,1,0.000262819962878
1,1,1,1,0,1,1,1,0,1,1,1,0.0
1,1,1,1,0,1,1,1,0,1,1,0,0.000129367339241
0,1,1,1,0,1,1,1,0,1,1,1,0.000110302678721
0,1,0,1,0,1,1,1,0,1,1,0,6.80880732846e-05
0,1,0,1,0,1,1,0,0,0,1,0,0.000162049614417
1,1,1,1,0,1,1,0,1,0,1,0,0.000130729100706
0,1,1,1,0,1,1,0,1,0,1,0,0.000253287632619
1,1,0,1,0,1,1,0,0,0,1,0,0.000114387963118
0,1,1,1,0,1,1,0,1,0,1,1,7.08115962159e-05
1,1,0,1,0,1,1,0,1,0,1,1,0.000153879045623
1,1,1,1,0,0,1,1,1,1,1,0,0.000175667229074
0,1,1,1,0,0,1,0,0,0,1,0,3.9491082505e-05
0,1,1,1,0,0,1,1,1,1,1,0,5.99175044904e-05
0,1,1,1,0,0,1,0,1,0,1,0,0.00017702899054
1,1,1,1,0,0,1,1,0,1,1,0,0.00118200895222
0,1,1,1,0,0,1,0,0,0,1,1,2.99587522452e-05
0,1,1,1,0,0,1,1,0,1,1,1,0.000418060769967
0,1,1,1,0,0,1,1,1,1,1,1,6.26410274218e-05
0,1,1,1,0,0,1,0,1,0,1,1,2.72352293138e-05
0,1,1,1,0,0,1,1,0,1,1,0,0.000965488879175
1,1,1,1,0,0,1,0,1,0,1,1,0.000114387963118
0,0,1,1,0,1,0,0,1,0,1,1,0.0
0,0,1,1,0,0,0,0,0,0,1,0,0.000753054090527
0,0,0,1,0,1,0,0,0,0,1,0,0.000823865686743
