new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
0,0,0,0,0,0,0,0,0,0,85.27
1,0,0,0,0,0,0,0,0,0,45.368
2,0,0,0,0,0,0,0,0,0,31.096
3,0,0,0,0,0,0,0,0,0,23.434
0,0,0,0,0,0,0,0,0,0,85.27
0,1,0,0,0,0,0,0,0,0,122.418
0,2,0,0,0,0,0,0,0,0,165.376
0,0,0,0,0,0,0,0,0,0,85.27
0,0,1,0,0,0,0,0,0,0,86.002
0,0,2,0,0,0,0,0,0,0,86.482
3,0,0,1,1,1,1,1,1,1,23.546
3,0,0,1,1,1,1,1,1,0,23.102
3,1,0,1,1,1,1,1,1,0,31.514
3,0,1,1,1,1,1,1,1,0,23.062
3,0,2,1,1,1,1,1,1,0,23.302
3,0,1,1,1,1,1,0,1,0,23.092
3,0,1,1,1,1,0,1,1,0,23.456
3,0,1,1,1,1,1,1,0,0,23.148
3,0,1,1,1,0,1,1,1,0,23.194
3,0,1,1,0,1,1,1,1,0,24.108
3,0,1,0,1,1,1,1,1,0,24.838
3,0,0,1,1,1,1,0,1,0,22.168
3,0,0,1,1,1,1,0,1,1,21.906
3,0,0,1,1,1,0,0,1,1,21.97
3,0,1,1,1,1,1,0,1,1,22.664
3,0,0,1,1,0,1,0,1,1,21.772
3,0,0,1,1,0,0,0,1,1,21.586
3,0,0,1,1,0,0,0,0,1,21.694
3,0,0,1,0,0,0,0,1,1,22.248
3,0,0,0,1,0,0,0,1,1,23.266
3,0,0,1,1,0,0,0,1,0,21.556
3,0,0,1,1,0,0,0,0,0,21.636
3,0,0,1,1,0,1,0,1,0,79.142
3,0,0,1,1,0,0,1,1,0,22.996
3,1,0,1,1,0,0,0,1,0,28.016
3,0,1,1,1,0,0,0,1,0,22.394
3,0,0,1,1,1,0,0,1,0,21.698
3,0,0,1,0,0,0,0,1,0,22.452
3,0,0,1,1,1,0,0,0,0,21.678
3,0,0,1,1,0,1,1,1,1,23.416
2,0,0,1,1,0,1,0,1,1,29.188
3,1,0,1,1,0,1,0,1,1,30.17
3,0,1,1,1,0,1,0,1,1,22.432
3,0,0,1,1,0,1,0,0,1,21.758
3,0,0,1,0,0,1,0,0,1,22.646
3,0,0,0,1,0,1,0,0,1,23.296
2,0,0,1,1,1,1,0,1,1,28.938
3,0,0,1,1,1,1,0,0,1,21.714
3,0,0,1,0,1,1,0,0,1,22.496
3,0,0,0,1,1,1,0,0,1,23.206
2,0,0,1,1,1,0,0,0,0,29.01
3,0,0,1,0,1,0,0,0,0,22.142
3,0,0,1,1,1,0,0,0,1,21.65
3,0,0,0,1,1,0,0,0,0,23.266
3,0,0,1,0,1,0,0,0,1,22.172
3,0,0,1,0,1,0,0,1,0,22.138
3,0,1,1,0,1,0,0,1,0,23.096
3,0,0,1,1,1,1,0,0,0,21.942
3,0,0,1,0,1,0,0,1,1,22.19
3,0,1,1,0,0,0,0,1,1,22.866
3,0,0,1,0,0,0,0,0,1,22.254
3,0,1,1,1,0,0,1,1,0,23.12
3,0,1,1,1,1,0,0,1,1,22.452
3,0,1,1,1,1,0,0,1,0,22.854
3,0,1,1,1,0,0,0,1,1,22.29
3,0,2,1,1,0,0,0,1,1,23.048
3,0,1,1,1,0,0,0,0,1,22.34
3,0,1,1,1,0,0,0,0,0,22.312
3,0,2,1,1,0,1,0,1,1,23.238
3,0,1,1,1,0,1,0,0,1,22.486
3,0,0,1,0,1,1,0,0,0,22.746
3,0,1,1,0,0,1,0,1,1,23.184
3,0,1,1,1,1,0,0,0,1,22.476
3,0,0,1,0,0,0,0,0,0,22.312
3,0,0,1,0,1,1,0,1,1,22.522
3,0,0,1,0,0,1,0,1,1,22.622
3,0,1,1,1,1,1,0,0,1,22.816
3,0,0,1,0,1,1,0,1,0,22.396
3,0,0,0,1,1,1,0,0,0,23.232
3,0,1,1,1,1,0,0,0,0,22.626
3,0,2,1,0,0,0,0,1,1,23.66
3,0,1,0,1,0,0,0,1,1,23.884
3,0,1,1,0,0,0,0,1,0,23.148
3,0,1,1,0,1,0,1,1,1,23.734
3,0,1,1,1,0,0,1,0,0,22.78
3,0,2,1,1,0,0,0,0,0,22.984
3,0,1,1,0,0,0,0,0,0,22.874
3,0,1,1,1,1,0,1,0,1,23.39
3,0,1,1,1,0,0,1,0,1,22.97
3,0,2,1,1,0,0,1,0,0,22.99
3,0,1,1,0,0,0,1,0,0,23.686
3,0,1,0,1,0,0,1,0,0,24.988
3,0,1,1,0,1,0,0,1,1,23.018
3,0,1,1,0,1,0,0,0,1,23.106
3,0,1,1,0,0,0,0,0,1,22.878
3,0,2,1,1,1,0,0,1,0,23.35
3,0,2,1,1,0,0,0,0,1,22.982
3,0,2,1,1,0,0,1,0,1,23.036
3,0,0,1,1,1,0,1,1,1,23.278
3,0,0,1,1,0,0,1,1,1,23.586
