new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,0,0,0,0,0,0,0,11889.2
0,1,0,0,0,0,0,0,17964.4
0,0,0,0,0,0,0,0,18009.4
2,0,0,0,0,0,0,0,15929.4
3,0,0,0,0,1,0,0,10142.0
3,0,0,0,0,2,0,0,10085.8
3,0,0,0,0,3,0,0,10084.8
3,0,0,0,0,4,0,0,10065.0
3,0,0,0,0,5,0,0,10110.4
3,0,0,0,0,4,1,0,9579.4
3,0,0,0,0,1,1,0,9702.8
3,0,0,0,0,3,1,0,9572.2
3,0,0,0,0,3,2,0,9418.0
3,0,0,0,0,1,2,0,9630.0
3,0,0,0,0,4,2,0,9517.4
3,0,0,0,0,3,3,0,9195.0
3,0,0,0,0,1,3,0,9384.2
3,0,0,0,0,4,3,0,9140.4
3,0,0,0,0,5,3,0,9146.0
3,0,0,0,0,4,4,0,9041.2
