new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,1,0,0,0,0,0,337.4748
0,1,1,0,0,0,0,0,31.3186
1,0,0,0,0,0,0,0,167.7768
1,1,0,0,0,0,0,0,32.4742
1,1,1,0,0,0,0,0,31.6822
0,1,1,0,0,0,1,0,31.2232
0,1,1,0,0,0,2,0,31.6514
0,1,1,0,0,1,1,0,32.209
0,1,1,0,1,0,1,0,31.4174
0,1,1,2,0,0,1,0,31.2602
0,1,1,1,0,0,1,0,31.283
0,1,1,2,0,0,0,0,31.1458
0,1,1,1,0,0,0,0,30.7448
1,1,1,1,0,0,0,0,31.3498
0,1,1,1,1,0,0,0,31.03
0,1,1,2,1,0,0,0,30.8186
0,1,1,1,0,1,0,0,31.4648
1,1,1,2,0,0,1,0,31.7042
0,1,1,0,1,0,0,0,31.0946
1,1,1,2,0,0,0,0,32.0308
