fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,0,0,0,0,0,0,46272.2
0,1,0,0,0,0,0,0,46500.4
0,0,0,0,0,1,0,0,46236.8
0,0,0,0,0,2,0,0,46207.6
0,0,0,0,0,2,1,0,46305.6
0,0,0,0,0,2,0,1,46194.6
0,0,0,0,0,2,0,2,46167.0
0,0,0,0,0,0,0,2,46558.6
0,0,0,0,0,1,0,2,46501.2
0,0,0,0,1,2,0,2,47094.8
0,0,0,1,0,2,0,2,46365.8
0,0,1,0,0,2,0,2,46143.4
0,1,1,0,0,2,0,2,46427.0
1,0,1,0,0,2,0,2,134997.4
0,0,1,0,0,2,0,1,46432.2
0,0,1,0,0,2,1,2,46383.4
0,0,1,1,0,2,0,2,46625.0
0,1,0,0,0,2,0,2,46096.4
0,1,0,0,0,2,0,0,46440.0
0,1,0,0,0,2,0,1,46248.8
