topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
1,1,1,0,0,0,0,1,1,1,0,1,0.0148745204897
1,0,1,0,0,0,0,1,1,1,0,1,0.0147805589486
1,0,0,0,0,1,1,0,1,0,0,0,0.486132502114
0,0,0,1,0,0,0,1,0,1,0,0,0.00139035845647
1,1,1,1,1,1,0,1,0,1,1,0,0.000257372917016
1,1,0,0,1,1,1,1,0,1,1,0,0.195358299868
0,1,1,1,0,1,0,1,1,1,1,0,0.00104991809005
1,0,1,1,1,1,0,1,0,1,0,0,0.00557232791761
1,1,1,1,0,0,0,1,1,1,1,1,0.000921912512273
1,1,0,1,1,1,0,1,0,1,1,0,0.000314566898575
1,1,1,1,0,0,0,1,0,1,1,1,0.000881059668302
1,0,1,1,1,0,0,1,1,1,1,0,0.000473892990061
1,1,1,1,1,0,0,1,0,1,1,1,2.72352293138e-06
1,1,0,1,1,1,0,1,0,1,1,1,0.00129912043827
1,1,1,1,1,1,0,1,0,1,1,1,0.000324099228834
1,1,1,1,1,0,0,1,0,1,1,0,1.90646605197e-05
1,0,1,1,1,0,0,1,0,1,1,1,0.00135495265836
1,1,1,1,1,0,0,1,1,1,1,1,0.0
1,1,1,1,1,0,0,1,1,1,1,0,1.36176146569e-05
1,1,1,1,1,1,0,1,1,1,1,0,0.000446657760747
