new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,0,0,0,0,0,0,0,0,0,31.096
0,1,0,0,0,0,0,0,0,0,122.418
3,0,0,1,1,1,1,1,1,1,23.546
2,0,0,1,1,1,1,1,1,1,31.444
3,1,0,1,1,1,1,1,1,1,31.65
3,0,1,1,1,1,1,1,1,1,23.47
3,0,2,1,1,1,1,1,1,1,23.416
2,0,2,1,1,1,1,1,1,1,31.464
3,0,2,1,1,1,1,1,1,0,23.302
3,0,0,1,1,1,1,1,1,0,23.102
3,0,1,1,1,1,1,1,1,0,23.062
3,0,1,1,1,1,1,1,0,0,23.148
3,0,1,1,1,1,1,0,1,0,23.092
3,0,1,1,1,1,0,1,1,0,23.456
3,0,1,1,1,0,1,1,1,0,23.194
3,0,1,1,0,1,1,1,1,0,24.108
3,0,1,0,1,1,1,1,1,0,24.838
3,0,0,1,1,1,1,0,1,0,22.168
3,0,0,1,1,1,1,0,1,1,21.906
3,0,0,1,1,1,1,0,0,1,21.714
