new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,1,1,1,0,80,4,2,60861.247187441106
2,1,0,1,0,0,32,4,61332.936647792565
3,0,1,1,0,0,4,0,61807.3985540666
1,0,0,0,0,10,4,2,62283.65267322479
3,1,1,0,0,50,2,4,62760.69143201706
1,0,1,0,0,40,2048,10,63237.48217421334
4,0,0,0,1,80,1,6,63712.96952434253
4,1,1,0,1,20,64,8,64186.077852765346
5,1,0,1,1,100,4096,6,64655.71383653652
3,0,1,1,0,80,8,10,65120.769110153735
4,1,0,1,1,70,4096,10,65580.12299994365
3,1,0,1,1,50,2,0,66032.64533550413
5,1,1,1,0,20,64,10,66477.19933130316
1,0,0,1,1,50,1,6,66912.64453123443
5,1,0,0,1,30,2048,6,67337.83980864624
4,0,1,0,1,40,1024,0,67751.64641409369
4,1,1,0,1,70,4096,4,68152.93106282025
2,0,1,0,1,70,512,2,68540.56905374838
5,1,1,0,1,90,2,8,68913.44741155648
1,1,1,1,0,80,2,0,69270.46804323776
4,1,0,0,0,50,1,0,69610.55090038016
2,1,1,1,0,10,1024,10,69932.63713827227
1,0,1,0,0,20,8,0,70235.69226283293
1,1,0,0,1,90,2048,8,70518.70925627866
1,1,1,0,0,40,512,0,70780.7116723877
4,0,1,1,0,30,4,10,71020.7566921887
3,1,0,1,0,30,8,0,71237.93813090047
2,0,1,0,0,10,2048,2,71431.38938697416
2,0,1,1,0,60,64,4,71600.28632414147
3,1,1,0,1,80,2,10,71743.85007745418
1,0,0,0,1,20,4,10,71861.34977440887
5,0,1,0,0,70,64,4,71952.10516238732
3,1,0,0,1,40,16,4,72015.48913380942
1,0,1,1,1,20,4096,10,72050.93014058653
3,0,1,1,1,10,8,2,72057.9144896855
3,1,1,0,0,100,2,4,72035.98851186021
4,0,1,1,0,50,4096,2,71984.7605958824
3,0,0,1,0,30,32,4,71903.9030809045
1,0,0,1,1,0,128,4,71793.15399991305
4,0,0,0,1,30,8,0,71652.31866758343
4,0,0,1,0,90,4096,10,71481.27110622145
2,1,1,1,1,90,2,10,71279.95530387627
4,1,0,0,1,100,1024,4,71048.38629912972
3,1,1,1,1,20,16,0,70786.6510875101
2,1,0,0,1,100,8,10,70494.90934493898
3,0,0,0,1,40,16,6,70173.39396410281
4,1,0,0,1,80,16,0,69822.41140013722
1,0,1,0,0,60,8,2,69442.34182252847
1,0,0,1,1,60,4096,4,69033.63907066526
5,1,1,0,0,90,64,2,68596.83041101659
2,1,1,1,0,100,128,0,68132.51609446676
2,1,0,1,1,100,4,2,67641.36871290221
5,0,1,0,1,100,64,4,67124.1323547188
1,1,0,1,0,70,1,8,66581.62155949793
2,1,0,0,1,90,4,4,66014.72007268471
1,0,0,0,0,40,128,8,65424.37940168988
2,1,1,1,0,30,128,4,64811.6171754273
3,0,0,1,0,50,32,10,64177.515309887924
4,0,1,0,0,70,2048,2,63523.21798293931
1,1,1,1,1,40,8,4,62849.92942212258
4,0,0,1,1,100,32,10,62158.911509797115
1,0,1,0,0,100,128,6,61451.4812105528
2,1,1,1,0,100,4,8,60729.00782637094
2,0,0,1,0,50,1,10,59992.910085563504
1,1,1,1,1,80,2,2,59244.653072057394
1,1,0,0,0,0,64,0,58485.745002111296
2,1,1,1,0,50,32,8,57717.73385605742
1,1,0,1,0,40,128,6,56942.20387314752
2,1,0,1,0,60,4096,2,56160.771918047874
4,0,0,1,0,80,1,4,55375.083727973964
1,1,1,0,0,50,8,10,54586.810049876454
1,1,1,0,0,20,4,6,53797.64267748743
4,0,1,1,0,20,512,4,53009.290398406636
3,1,1,0,1,0,2048,0,52223.47486175137
4,1,0,0,1,0,64,10,51441.92637720767
2,0,1,0,0,40,2,2,50666.379656605866
1,1,0,0,1,60,4096,10,49898.56950939754
5,0,1,1,0,10,2048,2,49140.22650363165
4,1,1,1,0,60,16,6,48393.07260421737
2,1,1,1,0,100,256,4,47658.816800415465
2,0,1,1,1,80,8,0,46939.150734620314
4,0,1,0,1,90,32,8,46235.744344580045
