ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,76711.51231276561
1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,76714.72496983242
1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,76721.14632111702
0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,76730.8191699371
0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,76743.7801390596
1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,76760.05951810723
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,76779.68112283555
0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,76802.66216685959
1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,76829.0131463892
1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,76858.73773851068
1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,76891.8327135281
0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,76928.28786185112
0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,76968.08593588755
1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,77011.20260736714
1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,77057.60644049036
1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1,77107.2588812598
0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,77160.1142633143
0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,77216.11983054664
0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,77275.21577674296
0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,77337.33530243993
1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,77402.40468914945
0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,77470.34339105457
0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,77541.06414423184
1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,77614.4730934061
0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,77690.46993619287
1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,77768.94808473188
0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,77849.79484456315
0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,77932.89161054365
0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,78018.11407954905
0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,78105.33247965136
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,78194.41181540918
0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,78285.21212885363
1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,78377.58877569897
1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,78471.39271625452
0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,78566.4708204616
1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,78662.66618642783
1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,78759.81847178059
1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,78857.76423711282
1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,78956.33730074587
1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,79055.369103989
1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,79154.68908603035
1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,79254.12506755276
0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,79353.5036421277
0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,79452.65057440361
0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,79551.3912040698
1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,79649.55085454571
1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,79746.95524531601
1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,79843.43090680613
1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,79938.80559667047
1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,80032.908716346
1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,80125.57172670815
0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,80216.62856165398
0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,80305.9160384288
0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,80393.27426350773
0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,80478.54703284327
0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,80561.58222529196
0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,80642.23218804141
0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,80720.35411286907
0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,80795.8104020793
1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,80868.46902298444
1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,80938.20384981838
1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,81004.89499199793
1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,81068.4291076784
1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,81128.69970158419
1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,81185.60740613389
0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,81239.06024492133
1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,81288.97387766013
0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,81335.27182574796
1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,81377.88567766004
1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,81416.75527343644
0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,81451.82886758716
1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,81483.06326980033
1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,81510.42396290325
0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,81533.88519759296
0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,81553.43006352201
1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,81569.05053639653
1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,81580.74750081632
0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,81588.53074866152
0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,81592.41895290658
0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,81592.4396168186
1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,81588.6289985758
1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,81581.03201141936
1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,81569.70209953173
0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,81554.70108991188
1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,81536.09902059755
1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,81513.97394566181
1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,81488.4117174884
1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,81459.50574690657
0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,81427.3567418403
0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,81392.07242520015
1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,81353.76723281635
0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,81312.56199228132
1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,81268.58358363528
1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,81221.96458289286
0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,81172.84288946878
1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,81121.36133861846
0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,81067.6673000629
0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,81011.91226401787
0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,80954.25141589386
0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,80894.84320097535
1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,80833.84888042617
1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,80771.4320800018
1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,80707.75833287797
0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,80642.99461802996
1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,80577.30889561628
0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,80510.86964083521
0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,80443.84537773243
0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,80376.40421444246
1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,80308.71338134633
1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,80240.93877362173
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,80173.24449965174
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,80105.79243674158
0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,80038.7417955719
1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,79972.24869479089
0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,79906.46574711603
1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,79841.54165828013
1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,79777.62084011504
0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,79714.84303902085
0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,79653.34298101731
1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,79593.2500345201
0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,79534.6878919247
0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,79477.77427101783
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,79422.62063716887
1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,79369.3319471835
1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,79318.00641562679
1,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,79268.73530434654
1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,79221.6027358468
1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,79176.68553107878
0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,79134.05307213137
0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,79093.76719021631
1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,79055.8820792536
0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,79020.44423527337
0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,78987.4924217582
1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,78957.05766095802
1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,0,78929.16325111753
0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,78903.82480946287
1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,78881.05034070247
0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,78860.8403307048
1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,78843.18786492557
1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,78828.07877106674
1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,78815.49178536245
1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,78805.3987418008
1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,78797.76478350698
0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,78792.548595432
1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,78789.70265741365
1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,78789.1735166011
0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,78790.90207816346
1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,78794.82391313523
1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,78800.86958218778
0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,78808.96497405735
1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,78819.03165730531
0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,78830.98724403656
0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,78844.74576415776
0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,78860.21804871676
0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,78877.31212083109
