fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,0,128,2,256,94496.51301064616
1,0,0,0,0,256,8,4096,94418.3448739046
0,0,1,1,1,64,32,256,94341.70182884065
1,0,0,0,1,64,2,4096,94266.91352982218
1,0,1,0,0,128,2,256,94194.30048444263
1,0,1,0,0,64,2,4096,94124.17321852519
1,0,1,1,0,256,2,256,94056.83147453645
0,1,1,1,0,256,32,4096,93992.56344565256
1,1,0,1,0,256,8,256,93931.64504760485
0,1,0,1,1,256,8,256,93874.33923030803
0,0,1,1,0,128,2,1024,93820.89533114611
0,1,0,0,1,256,8,256,93771.54847165527
0,0,1,0,0,256,32,1024,93726.51899920354
1,0,1,1,0,64,2,256,93686.01197512103
1,0,0,1,1,64,32,4096,93650.21671058594
1,0,1,1,1,64,2,256,93619.30635141717
0,1,1,1,0,64,32,256,93593.43751276808
0,0,1,0,0,128,32,256,93572.74996455587
1,0,1,0,1,64,2,4096,93557.3663682986
0,1,1,1,0,256,2,256,93547.39206586857
1,1,1,1,1,128,32,256,93542.9149205046
1,1,1,1,0,64,8,1024,93544.00521026022
1,0,0,0,0,256,32,1024,93550.71557389833
1,1,0,1,0,256,2,4096,93563.08100907686
1,1,1,0,1,128,32,4096,93581.1189225051
0,1,0,0,0,64,2,256,93604.82923158645
1,0,0,0,1,256,8,4096,93634.19451690247
1,1,0,0,1,256,8,1024,93669.18022473314
0,0,0,0,0,64,2,1024,93709.73491865264
1,1,0,0,0,64,8,256,93755.79057908827
0,0,1,1,0,128,32,1024,93807.26294958027
0,1,1,0,0,256,2,256,93864.05192833811
1,1,0,1,0,128,8,4096,93926.04200354936
1,1,1,1,1,256,8,4096,93993.10273076425
1,0,1,0,1,64,32,4096,94065.08925055196
0,1,1,1,0,128,32,4096,94141.84284450399
1,1,1,0,1,256,2,256,94223.19152754602
1,0,0,0,0,256,8,4096,94308.95067441264
1,1,1,1,0,256,32,256,94398.92367804055
0,0,0,0,1,256,8,4096,94492.90263754407
1,0,1,0,1,256,8,256,94590.66907335383
0,0,0,0,1,256,2,4096,94691.99466702474
1,0,0,0,0,64,32,1024,94796.64202315312
0,0,1,1,1,64,32,256,94904.36545078574
0,0,1,1,1,64,32,1024,95014.91176165554
0,1,1,1,1,64,32,1024,95128.02108253988
0,0,0,1,0,128,2,4096,95243.42767900716
1,0,1,0,1,256,8,4096,95360.86078779865
1,0,0,1,1,256,32,4096,95480.04545508047
0,1,1,1,0,128,8,1024,95600.70337780046
1,1,1,1,0,128,8,4096,95722.55374539258
0,1,0,0,1,256,32,256,95845.31407908992
0,1,1,1,0,128,8,256,95968.7010661337
0,1,0,1,0,64,32,1024,96092.43138620286
1,0,0,0,1,256,2,256,96216.22252743423
1,0,1,0,1,128,2,1024,96339.79358945756
1,1,1,0,1,128,2,4096,96462.86607093309
0,0,0,1,1,256,32,4096,96585.16463915116
1,1,1,1,0,256,2,256,96706.41787933298
1,0,0,0,1,256,32,256,96826.35902135985
0,0,0,1,0,64,32,256,96944.72664175335
0,0,0,0,1,256,2,256,97061.26533883165
0,0,1,1,1,64,32,1024,97175.72637907669
1,0,0,1,0,128,32,256,97287.86831286315
1,1,0,0,1,64,2,1024,97397.45755782147
1,0,1,0,0,64,32,4096,97504.26894823537
0,1,0,1,1,256,8,256,97608.08624900682
1,0,0,1,1,128,8,1024,97708.70263285814
0,0,0,0,1,256,2,4096,97805.92111958316
1,1,0,0,1,256,2,4096,97899.55497630363
0,1,1,0,1,256,2,1024,97989.42807783514
1,1,1,0,1,128,32,256,98075.37522641801
0,0,0,1,1,256,2,1024,98157.2424302199
0,0,0,1,1,128,32,4096,98234.88714017221
0,1,1,1,1,256,32,4096,98308.1784448557
0,1,1,1,1,256,32,256,98376.99722330697
1,1,0,0,0,256,8,1024,98441.23625577133
1,0,0,1,1,64,8,4096,98500.8002925818
1,0,0,0,0,64,8,4096,98555.6060814965
1,0,0,0,1,64,32,256,98605.58235397702
1,0,0,0,1,64,8,1024,98650.66977103837
1,1,1,1,1,64,2,1024,98690.82082944579
1,1,0,0,0,64,2,256,98725.99972917556
1,1,1,0,0,64,32,1024,98756.18220319341
1,1,0,0,0,128,2,1024,98781.3553107371
1,1,1,0,1,128,32,4096,98801.51719541711
1,0,1,1,0,256,2,1024,98816.67680957147
1,0,0,0,0,128,8,4096,98826.85360642601
1,0,0,0,1,128,8,4096,98832.07720172193
0,1,1,0,0,128,32,256,98832.38700657371
0,0,0,0,0,256,2,1024,98827.83183341743
1,1,1,0,1,256,8,4096,98818.46947699608
0,0,1,0,1,128,32,256,98804.36627240948
1,1,1,0,1,256,2,256,98785.59663232768
0,0,0,1,0,64,8,1024,98762.2425655305
0,1,1,0,0,64,2,4096,98734.39317899052
1,0,0,1,0,128,32,1024,98702.14416576315
0,1,1,0,0,128,8,1024,98665.5972809841
0,1,1,1,0,256,8,1024,98624.85980830234
1,1,1,1,0,128,8,1024,98580.04401909612
1,0,1,0,1,256,8,256,98531.26662682797
0,1,1,1,0,256,8,4096,98478.64823889542
1,0,0,0,1,64,32,4096,98422.3128083249
1,0,1,1,0,256,32,1024,98362.38708763773
1,0,0,0,0,128,2,256,98299.00008718965
0,1,0,0,1,64,8,256,98232.28254024852
0,0,1,0,0,256,2,256,98162.36637702993
0,1,1,0,0,256,32,4096,98089.38420985555
1,1,1,1,1,128,2,256,98013.46883153656
0,1,1,0,1,64,32,4096,97934.75272901409
1,0,0,1,1,256,2,4096,97853.36761420887
1,1,0,1,1,256,2,1024,97769.44397394649
0,0,0,0,0,64,32,1024,97683.11064073023
0,1,1,0,0,128,8,1024,97594.49438603329
1,0,0,1,0,256,32,256,97503.71953767419
1,0,1,1,1,128,32,4096,97410.90762272624
1,1,1,0,0,256,8,256,97316.17703729264
1,1,1,1,1,64,32,256,97219.6427443544
1,0,1,1,1,256,32,256,97121.41600076933
1,1,0,1,0,256,32,1024,97021.60411436713
1,1,1,1,1,128,2,256,96920.3102319482
1,1,1,1,1,256,8,1024,96817.63315885453
0,1,0,0,1,64,8,4096,96713.66721063758
0,1,1,0,1,256,32,256,96608.50209720364
1,0,1,1,1,64,32,256,96502.2228396708
1,1,1,1,0,64,8,4096,96394.90972002497
0,0,1,1,0,256,8,4096,96286.63826351438
1,1,0,0,0,64,2,256,96177.47925357522
1,0,1,0,1,64,8,1024,96067.4987789348
0,0,1,1,0,64,2,1024,95956.75831239393
0,1,1,1,1,256,8,1024,95845.3148206469
1,0,1,0,1,256,2,1024,95733.22090435776
0,1,1,1,1,256,32,256,95620.52496757424
1,1,1,0,1,64,2,256,95507.27141542776
1,1,1,1,0,256,8,1024,95393.50087893794
1,0,1,0,0,256,32,1024,95279.25046561686
0,0,0,1,0,128,32,4096,95164.55403444832
0,0,0,0,0,256,8,256,95049.44249370447
1,1,0,0,1,256,8,256,94933.94411995522
0,0,1,0,1,64,8,256,94818.08489652515
1,0,0,1,0,256,2,256,94701.88886955922
0,0,1,0,1,64,2,256,94585.37851977345
0,0,0,1,0,256,2,1024,94468.57514788803
0,0,0,0,1,256,8,4096,94351.49927167039
0,0,1,0,1,64,2,256,94234.17103245587
1,1,0,1,1,256,8,1024,94116.61060895864
1,1,1,0,0,128,2,1024,93998.83863614468
1,1,0,0,0,64,32,1024,93880.87662690185
0,0,1,0,0,64,32,1024,93762.74739421906
0,0,1,1,1,256,2,4096,93644.4754715695
0,0,1,0,1,256,32,4096,93526.08752918834
1,0,0,1,0,128,8,4096,93407.61278393804
0,1,1,0,1,64,32,1024,93289.08340046863
1,0,0,0,0,128,8,4096,93170.53488140334
1,1,1,0,1,128,2,4096,93052.00644431222
1,1,1,1,1,256,2,4096,92933.54138328006
1,1,1,0,1,256,32,256,92815.18741292483
1,1,0,0,1,256,2,4096,92696.9969927859
0,1,0,1,1,128,8,1024,92579.02763006951
0,1,1,0,1,256,32,1024,92461.34215881956
1,0,0,0,0,64,2,4096,92344.00899366786
0,1,0,0,0,128,32,1024,92227.10235641459
0,0,1,1,0,128,8,256,92110.70247379314
1,0,1,1,1,256,2,1024,91994.89574488423
1,1,1,1,1,64,8,256,91879.77487676333
1,1,0,1,1,256,8,1024,91765.43898708983
1,1,1,0,1,256,8,256,91651.99367247765
1,1,0,1,1,64,8,1024,91539.55104162493
1,1,0,1,1,256,2,1024,91428.22971232144
0,1,1,1,1,64,32,4096,91318.15477160082
1,0,1,0,0,64,2,4096,91209.457698455
0,1,0,1,1,128,32,1024,91102.27624868357
0,1,0,1,0,128,8,256,90996.75430160885
1,0,0,1,1,128,32,256,90893.04166854752
0,1,1,0,1,256,2,256,90791.29386309195
1,1,1,0,1,256,2,1024,90691.6718334181
0,1,1,0,1,64,8,4096,90594.34165700026
1,1,0,1,1,128,8,256,90499.4741982773
0,0,0,1,1,256,2,4096,90407.24472997812
0,0,1,1,1,128,2,1024,90317.83251897577
1,0,1,1,0,256,8,1024,90231.42037769961
0,0,0,1,1,128,2,1024,90148.19418229241
0,0,1,1,0,128,8,1024,90068.34235885266
0,0,1,0,1,256,32,1024,89992.0553392534
1,0,1,1,0,64,32,4096,89919.52498817365
0,0,1,1,1,64,8,1024,89850.94400311973
1,1,1,1,1,64,8,256,89786.50528934848
0,0,1,1,1,64,2,1024,89726.40131173325
0,0,0,0,1,256,8,256,89670.82342573552
1,0,1,0,0,256,8,4096,89619.96118975952
0,0,0,0,0,256,32,1024,89574.00166127496
0,0,0,0,0,128,32,4096,89533.12867919079
1,1,0,1,1,64,2,4096,89497.52213505404
0,0,1,1,1,128,32,4096,89467.35723572776
1,1,1,1,0,128,2,256,89442.80376027524
0,1,0,0,1,256,2,4096,89424.02531383788
1,0,1,1,1,256,2,1024,89411.17858134705
1,1,1,1,1,128,2,256,89404.41258395158
1,1,1,1,1,64,8,256,89403.86794107234
1,0,0,1,1,256,2,4096,89409.67614101709
0,0,1,0,0,64,2,1024,89421.95882309628
1,0,1,1,0,64,8,1024,89440.82707417963
0,1,1,0,1,64,2,1024,89466.38074261938
1,0,1,0,0,128,32,4096,89498.7077724427
1,1,0,1,0,128,2,1024,89537.88356067947
1,1,1,0,0,128,32,256,89583.97034064552
1,1,1,0,1,256,32,4096,89637.01659394376
0,0,1,1,1,64,2,4096,89697.05649387707
0,0,1,0,1,128,8,1024,89764.10938288752
0,0,0,0,0,64,32,4096,89838.17928654686
1,1,0,0,1,64,8,256,89919.25446652305
0,0,0,0,0,128,32,4096,90007.3070148378
1,0,0,1,0,256,8,1024,90102.29249161005
1,0,0,1,1,128,32,256,90204.14960835208
0,0,1,0,1,64,2,4096,90312.79995874617
1,0,1,1,1,128,8,256,90428.14779868443
1,0,0,0,0,256,2,256,90550.07987719982
0,0,0,0,0,256,8,4096,90678.46531975435
0,0,1,1,1,128,32,1024,90813.15556518272
0,0,1,0,1,64,2,4096,90953.984357414
1,0,0,1,0,128,32,1024,91100.76779291332
1,0,0,1,1,128,2,256,91253.30442460059
1,1,0,1,0,128,2,1024,91411.37542281102
1,1,0,0,1,128,2,1024,91574.74479367018
0,1,0,0,0,128,2,4096,91743.15965505729
0,0,1,0,0,64,32,1024,91916.35057013104
0,0,0,1,1,256,2,256,92094.03193819092
1,1,0,1,0,256,2,4096,92275.90244244364
0,0,0,1,1,256,32,4096,92461.6455540411
1,1,1,0,0,256,8,1024,92650.93009155455
1,1,0,1,1,256,8,256,92843.41083484644
1,1,0,0,0,128,32,1024,93038.72919210275
0,0,0,0,1,256,32,4096,93236.51391859107
1,0,1,1,1,128,2,256,93436.38188551532
0,0,0,1,1,256,8,1024,93637.93889714858
1,1,0,0,1,128,2,256,93840.78055423961
0,1,0,1,0,64,8,1024,94044.4931615098
0,0,0,0,1,64,8,256,94248.65467688182
1,0,1,1,0,64,32,1024,94452.83569991615
1,0,0,1,0,64,2,4096,94656.60049677026
0,1,1,0,0,256,8,4096,94859.5080588447
0,1,0,1,0,128,8,4096,95061.11319213659
0,1,1,0,1,64,8,256,95260.96763418715
0,0,1,0,1,64,8,1024,95458.62119538576
0,1,1,0,1,64,2,1024,95653.6229212788
1,1,0,0,0,128,32,1024,95845.52227242802
1,0,0,1,1,64,2,1024,96033.87031827061
1,1,0,1,0,64,32,1024,96218.22094135279
0,1,1,0,1,128,2,1024,96398.13204823872
0,1,1,0,0,64,8,256,96573.1667833405
0,1,0,1,1,64,2,1024,96742.89474186966
1,0,0,0,1,64,8,1024,96906.89317807958
0,1,0,0,1,64,8,4096,97064.74820494802
1,0,1,0,1,64,32,4096,97216.05598144418
0,0,0,1,0,256,2,256,97360.42388353095
1,0,1,0,1,64,8,1024,97497.4716550732
0,0,1,0,0,64,2,1024,97626.83253485683
1,1,0,1,1,256,2,256,97748.1543559692
1,1,0,0,0,64,32,256,97861.10061385142
0,1,0,0,1,256,32,4096,97965.35149940492
1,0,1,1,0,128,32,4096,98060.60489362064
1,1,0,0,1,64,2,1024,98146.57732029568
1,0,1,1,1,128,2,256,98223.00485351327
0,0,1,1,1,256,2,4096,98289.64397668268
1,1,0,1,0,128,2,1024,98346.27239006966
1,0,1,0,1,64,2,1024,98392.68976389243
1,1,0,1,1,128,32,1024,98428.71843421327
1,1,0,1,0,64,2,4096,98454.20403902158
0,1,1,0,1,64,2,256,98469.01609207915
1,0,1,0,1,128,8,1024,98473.0484922835
1,1,1,0,0,64,32,1024,98466.21996649756
1,1,0,1,1,128,2,4096,98448.47444399536
0,1,1,1,1,256,8,1024,98419.78136088204
0,0,1,1,1,64,8,4096,98380.13589306106
0,0,0,0,1,256,32,1024,98329.55911654313
1,1,0,0,0,64,32,256,98268.09809411746
1,0,1,1,0,64,2,4096,98195.82588763653
1,0,1,0,0,256,8,256,98112.84149540077
1,1,1,0,0,128,2,4096,98019.26971436621
0,1,0,0,0,64,2,256,97915.26092713885
1,0,1,1,1,64,2,4096,97800.99081395965
0,0,0,0,0,64,8,256,97676.6599901259
1,1,1,0,0,64,2,1024,97542.49356953657
0,0,1,0,1,64,8,256,97398.7406552885
1,0,0,0,0,64,2,1024,97245.67375848936
0,0,0,1,1,256,8,256,97083.58814668885
0,0,0,1,0,128,2,4096,96912.801123561
1,0,1,1,0,256,2,256,96733.65124169874
1,1,1,0,0,256,32,1024,96546.49745060485
0,1,0,1,1,256,8,4096,96351.71818217878
1,1,0,0,1,128,32,4096,96149.7103762106
1,1,1,1,0,128,8,1024,95940.8884485942
0,1,0,1,0,128,32,4096,95725.68320516864
1,1,1,1,0,128,2,1024,95504.54070427992
0,1,0,0,1,64,32,1024,95277.9210713339
1,0,0,1,0,256,2,1024,95046.29726877602
0,0,0,0,0,64,2,4096,94810.15382509035
1,1,0,0,1,128,2,256,94569.98552655357
1,0,0,1,0,128,2,4096,94326.2960756136
1,0,0,1,0,256,2,1024,94079.59671988229
0,0,1,1,0,128,32,256,93830.40485583934
1,1,1,1,1,128,32,4096,93579.24261144035
1,0,0,1,0,256,2,1024,93326.63541190204
1,1,0,1,1,256,2,1024,93073.11053300613
0,1,1,1,0,64,8,256,92819.195646317
1,1,1,1,0,128,8,4096,92565.41736074725
0,0,0,1,1,128,8,256,92312.29976493046
1,0,1,1,0,128,32,1024,92060.36297487137
1,0,0,0,1,128,8,1024,91810.12169133911
1,1,0,1,0,64,32,1024,91562.0837714507
0,0,1,0,1,64,32,4096,91316.7488188586
0,0,0,1,1,64,8,256,91074.60679690882
0,0,0,1,1,128,8,256,90836.1366690732
1,0,1,1,1,64,8,4096,90601.80507088377
0,0,0,1,0,64,8,1024,90372.06501750626
1,0,0,1,1,128,2,256,90147.35465098641
1,0,1,1,0,64,32,1024,89928.09603108444
0,1,0,1,1,64,2,1024,89714.69397348314
0,1,1,1,0,256,8,256,89507.53493901216
1,0,1,0,0,128,32,4096,89306.9859773749
0,0,1,1,0,128,32,1024,89113.39372869837
0,1,1,0,0,64,2,4096,88927.083486048
0,0,0,0,0,64,8,4096,88748.35832186029
0,1,1,0,0,256,2,256,88577.49828104867
1,1,1,0,0,256,2,4096,88414.75964332875
0,1,1,0,0,64,2,4096,88260.37425709373
1,1,0,1,1,256,32,1024,88114.54894694564
0,1,0,1,1,64,2,256,87977.46499675649
0,0,1,1,0,256,32,4096,87849.27770989625
0,0,0,1,1,256,8,1024,87730.11604801919
1,0,1,1,1,64,32,1024,87620.08234955365
1,1,0,1,1,128,8,4096,87519.25212878612
0,1,0,0,1,256,32,1024,87427.67395617593
0,0,1,0,1,128,8,256,87345.36942027825
1,0,0,1,0,64,2,1024,87272.33317139394
1,1,0,1,1,256,8,256,87208.5330468047
0,0,0,1,1,64,32,1024,87153.91027719193
