WindowSize,CompressionLevel,Performance
16,4,66.37843864725957
20,7,66.49711479875
13,11,66.58497610427527
24,2,66.64178935097068
16,4,66.66744145992158
12,0,66.66194073731285
15,9,66.6254176942737
13,3,66.55812543041549
19,11,66.46043957759424
12,7,66.33285780197937
14,11,66.17599886407376
23,10,65.99060123789847
22,11,65.7775212921275
23,9,65.53773103752239
20,10,65.27231544657377
16,6,64.98246935279579
20,11,64.66949393863943
19,9,64.33479282248223
12,3,63.979867756612386
12,10,63.606313949547804
22,1,63.2158150274107
24,0,62.81013765041128
14,5,62.39112580177324
19,9,61.96069476765759
18,8,61.52082482780169
15,7,61.07355467768524
12,6,60.620974604060834
21,6,60.16521943663645
24,10,59.70846129957129
13,9,59.252902187238895
20,7,58.80076638941966
12,7,58.35429279170722
12,5,57.915727077445595
20,2,57.487313857956046
11,9,57.07128875816076
19,9,56.66987048496444
16,9,56.28525290591366
17,7,55.91959716571515
24,8,55.57502386815961
11,5,55.25360535086461
13,7,54.95735808002236
19,5,54.68823519201149
12,6,54.4481192083121
18,0,54.23881494964834
12,7,54.062042674675446
10,5,53.91943146783012
23,11,53.81251290017719
24,11,53.742714986213265
22,1,53.711356458633745
19,1,53.7196413820343
23,9,53.76865412540794
10,2,53.85935471211556
23,7,53.99257456475627
23,1,54.16901266104807
21,5,54.389232115454874
23,11,54.65365719986481
16,5,54.96257081514603
15,1,55.316112423880256
24,1,55.71427645301085
19,11,56.15691117354377
11,0,56.64371806281218
19,1,57.17425165316767
21,5,57.74791986929241
17,6,58.363984854650234
14,1,59.02156428591148
24,6,59.71963317250377
11,1,60.45702613676546
11,6,61.23244016851554
13,3,62.04443784620896
17,7,62.891451015225705
23,1,63.77178491225225
19,0,64.68362272315836
12,4,65.62503056025956
19,10,66.59396284338779
16,2,67.58826806777893
14,8,68.60569494042595
11,1,69.64389886525177
11,4,70.70044875622486
18,11,71.77283415638142
12,11,72.85847263963467
18,11,73.95471747124542
14,9,75.05886550190634
10,11,76.1681652695549
11,7,77.27982528228277
14,7,78.39102245505218
15,10,79.4989106723696
10,6,80.60062944859865
16,7,81.69331265722866
12,6,82.77409730014448
12,4,83.84013228777604
17,7,84.88858720093826
23,8,85.91666100520536
20,4,86.92159068879985
12,0,87.90065979521108
14,10,88.85120682209565
22,11,89.77063345844628
11,8,90.65641263254854
23,11,91.50609634387355
16,8,92.31732325277595
19,0,93.08782600268026
15,6,93.8154382503387
14,7,94.49810138073128
13,7,95.13387088424528
17,2,95.72092237491825
20,0,96.25755722974769
18,8,96.74220783036007
11,10,97.17344238968627
12,4,97.54996934770494
12,10,97.87064132178597
10,7,98.13445859868571
20,9,98.34057215681146
15,11,98.48828620897606
20,3,98.57706025750242
20,8,98.60651065520324
14,11,98.57641166744838
15,1,98.4866960322375
21,10,98.33745501690777
12,2,98.12893797182555
12,4,97.86155138312579
15,2,97.53585742827056
19,10,97.15257203989118
15,0,96.71256248505183
18,5,96.2168444687188
21,4,95.66657877183496
14,11,95.06306743597628
16,10,94.40774950810163
14,10,93.70219636039194
24,9,92.9481066016076
18,2,92.14730059776554
10,10,91.3017146212458
16,6,90.41339464868037
21,8,89.48448982914312
23,4,88.51724564525334
19,9,87.51399679081496
13,3,86.47715978954184
14,5,85.40922538025862
11,1,84.3127506947163
