spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,0,1,1,1,1,1,0,1,1,1,1,0,0.36793262426913376
1,0,0,1,0,1,0,1,1,0,0,1,1,1,0.36507571119388355
0,1,1,0,0,1,1,1,1,0,1,1,0,0,0.3624271320993573
0,1,0,1,0,0,1,0,1,1,1,0,0,1,0.35999625378458017
0,1,0,1,1,1,0,1,0,1,1,1,1,0,0.3577918940586092
0,1,1,0,0,0,1,0,0,0,0,1,1,1,0.35582229550441397
0,0,1,1,1,0,1,0,1,1,0,0,1,1,0.35409510092396346
1,0,1,0,1,1,1,0,0,0,1,1,0,1,0.3526173305406163
0,1,1,1,1,0,0,1,1,0,0,1,0,1,0.35139536102940294
0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.3504349064400518
1,1,0,0,0,1,1,0,0,1,1,0,0,1,0.3497410010716576
0,1,1,1,1,0,0,0,1,0,1,1,1,1,0.3493179843517452
0,0,1,0,0,0,0,1,1,0,0,1,1,0,0.34916948776616846
0,1,1,0,0,1,1,1,0,0,1,0,1,0,0.3492984238798046
0,1,1,0,1,1,0,0,0,1,0,0,1,1,0.34970697748141255
0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.35039659887930297
1,0,0,1,1,1,1,1,0,0,1,1,0,0,0.351367999367676
1,1,1,0,1,0,1,1,1,1,1,1,0,0,0.3526211488766118
0,0,0,0,0,1,1,1,0,1,0,1,0,0,0.3541552758117999
0,1,1,1,1,0,1,0,1,0,1,1,1,1,0.35596886908315806
0,0,0,0,1,0,0,0,0,1,1,1,1,1,0.3580596823145765
1,1,1,1,1,0,1,0,0,1,0,1,1,0,0.3604247402201197
1,1,0,1,1,1,0,0,1,1,0,0,1,1,0.36306034712517304
0,0,1,1,1,0,0,0,1,1,1,1,1,0,0.36596209760424475
0,1,1,0,0,0,0,0,0,1,1,1,1,0,0.36912488920044734
0,1,1,0,1,1,1,1,0,0,0,0,1,1,0.372542937185121
0,0,0,0,1,1,1,0,0,0,1,0,0,0,0.3762097913096268
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.38011835449507175
1,1,0,0,0,0,0,1,1,1,1,0,1,1,0.38426090339963503
0,0,0,0,1,1,0,0,0,0,0,1,1,0,0.38862911079727647
0,1,0,0,0,1,1,1,1,0,0,1,1,0,0.3932140696959337
1,0,0,1,0,1,0,1,1,0,1,1,1,0,0.3980063191178878
1,0,1,1,1,0,0,1,0,0,0,0,0,1,0.4029958714597948
0,1,0,1,1,1,0,1,1,1,0,1,1,1,0.40817224134498026
0,0,1,1,1,1,1,1,0,0,1,1,1,0,0.41352447587598057
1,0,1,1,0,1,0,0,0,0,0,1,0,0,0.41904118619100456
1,1,0,1,0,0,1,1,1,1,0,0,0,0,0.4247105802239969
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0.43052049656433083
1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.43645843930883754
1,0,0,1,0,0,1,1,1,1,1,1,1,1,0.44251161379592246
0,1,1,0,1,0,0,1,0,0,0,1,0,0,0.44866696310892357
1,0,1,0,1,1,0,1,1,1,1,0,1,1,0.45491120523363904
0,0,1,1,0,1,0,1,1,1,1,1,1,1,0.46123087075311453
1,1,1,0,0,1,1,1,1,0,0,0,1,0,0.4676123409613143
0,0,0,1,0,0,0,1,1,0,1,1,0,0,0.47404188627624005
1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.4805057048323797
0,0,0,1,1,0,0,1,0,0,0,0,1,1,0.48698996113209236
0,1,1,0,0,1,1,0,0,1,1,1,1,0,0.49348082463565024
1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.4999645081701678
0,1,0,1,0,1,1,1,0,1,0,0,0,0,0.5064273060385515
1,0,1,0,1,1,1,0,1,0,1,0,1,0,0.5128556317108969
0,1,0,1,1,0,1,1,1,0,1,0,1,1,0.5192360549824342
0,1,0,1,0,0,1,0,0,0,1,0,1,0,0.5255553384841768
1,1,0,1,0,0,1,1,1,1,0,0,1,1,0.5318004734348571
0,0,1,0,0,1,1,0,0,1,1,1,1,1,0.5379587145255139
1,0,1,1,1,1,0,1,1,1,1,1,1,1,0.5440176138312411
0,0,0,0,0,0,1,0,0,0,1,0,1,0,0.549965053648085
1,0,1,0,0,1,0,1,1,0,1,0,0,0,0.5557892781568867
0,0,1,1,1,1,1,0,0,0,1,1,1,0,0.5614789238199922
1,0,0,0,1,1,1,1,0,1,1,0,0,1,0.5670230484211782
1,0,1,1,0,0,0,1,0,1,1,1,0,1,0.5724111586638544
1,1,0,0,1,1,0,0,1,1,1,0,0,1,0.577633236247582
0,1,1,0,0,0,1,0,1,1,1,0,1,0,0.5826797623481875
1,0,1,0,0,0,1,1,0,1,0,1,1,0,0.5875417404322111
1,0,0,0,1,1,1,1,0,0,1,1,0,0,0.5922107173421177
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0.5966788025945763
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0.6009386858401631
1,1,0,1,1,1,1,0,0,1,1,1,1,1,0.6049836524390623
0,0,1,0,1,1,0,0,1,0,0,0,1,1,0.6088075971136653
1,0,0,0,1,1,0,1,1,0,1,0,0,0,0.6124050356454407
1,1,0,0,1,1,1,1,1,1,0,1,1,1,0.6157711145899757
1,1,1,0,0,1,0,0,0,0,0,1,1,0,0.6189016189907052
0,1,1,1,0,1,1,1,1,0,0,0,1,0,0.6217929780785032
1,1,1,1,0,0,0,0,1,0,1,0,0,1,0.624442268950981
1,1,1,0,1,0,0,0,1,1,0,1,0,1,0.6268472182320172
0,0,0,0,1,0,1,0,0,0,1,0,0,1,0.6290062017186946
1,1,1,0,1,1,1,0,0,0,1,0,1,1,0.630918242029426
0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.632583004273589
0,1,0,0,0,1,1,0,0,1,0,0,0,0,0.6340007897694353
1,1,1,0,0,0,0,1,0,1,0,1,0,0,0.6351725278433773
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0.6360997657499543
0,0,1,1,1,1,0,1,0,0,0,1,0,1,0.6367846567578275
0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.6372299464530264
0,0,0,0,1,0,1,0,1,0,0,1,1,1,0.637438957316346
1,0,0,1,1,1,1,0,0,1,1,0,0,0,0.6374155716372566
1,1,1,1,1,1,1,1,0,1,0,0,0,1,0.6371642128319267
0,0,1,1,1,1,1,0,0,0,1,0,0,1,0.636689825237939
1,0,1,1,0,0,0,0,0,0,1,1,1,0,0.6359978524629991
0,1,1,0,1,0,0,1,1,0,0,0,0,0,0.6350942143693796
0,0,1,1,0,0,1,0,1,1,0,1,0,1,0.6339852827799807
1,0,1,0,0,1,0,0,1,0,1,0,0,1,0.6326778559957275
1,0,1,1,0,0,1,1,1,1,1,1,1,1,0.631179132217537
0,0,0,1,1,1,0,0,1,0,1,0,0,0,0.6294966819692712
1,1,0,1,0,1,1,0,0,0,1,1,0,1,0.6276384196209347
1,0,1,1,0,1,0,1,1,0,1,1,1,1,0.6256125741138587
0,1,0,0,0,0,1,1,0,0,1,1,1,1,0.6234276589917577
1,0,0,0,1,1,0,0,0,1,0,0,1,0,0.621092441843296
0,0,1,0,0,1,0,0,0,1,0,0,1,0,0.6186159132632151
