topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,4,1000000,1,1,1,1000,1024,10000,2,0,0.14972875780350506
2,10,2,10,1,0,1000,10,1024,100,2,0,0.15377430463988115
2,10,4,1000000,1,1,1000,1000,512,10000,2,29,0.15813957927005878
2,10,4,10,1,0,1,10,512,100,2,29,0.16273659208227673
2,10,4,1000000,1,0,1000,10,512,100,5,29,0.16747894481785627
2,1,2,10,10,0,1000,1000,1024,10000,2,0,0.17228363967889707
4,1,4,10,1,0,1,1000,512,10000,5,0,0.17707263235133142
4,10,4,10,1,0,1,1000,1024,10000,2,29,0.1817740960373106
4,1,4,1000000,1,0,1,10,1024,100,5,29,0.18632337513081296
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.19066361906709767
4,10,2,10,10,1,1000,10,1024,100,2,0,0.19474609871170395
4,1,2,10,1,1,1000,10,512,100,2,29,0.198530219018629
2,1,2,10,1,0,1,10,1024,100,2,0,0.2019832521933452
4,10,2,10,1,1,1000,10,512,100,2,0,0.20507982489333287
4,1,2,1000000,1,0,1,1000,1024,10000,5,0,0.20780120078283512
4,1,2,10,10,0,1,1000,512,10000,5,0,0.21013440578271908
2,10,2,1000000,1,0,1000,1000,512,10000,2,0,0.21207124743865774
4,10,4,1000000,1,0,1000,1000,512,10000,2,29,0.21360728185987574
4,10,4,1000000,1,1,1,10,512,100,2,0,0.2147407816186525
2,1,2,10,1,1,1,1000,512,10000,5,29,0.21547175588417672
2,1,4,10,1,0,1000,1000,1024,10000,5,29,0.21580107000215398
2,1,2,10,10,1,1,1000,1024,10000,5,29,0.21572970590078627
4,10,4,10,1,0,1,1000,512,10000,2,29,0.2152581973427576
4,1,4,10,1,0,1000,10,512,100,2,29,0.21438626544273817
2,1,2,10,1,1,1,1000,512,10000,2,0,0.2131126703638801
2,1,4,10,1,1,1,1000,512,10000,2,0,0.21143528505833314
2,10,2,10,1,0,1000,10,1024,100,2,29,0.2093513867068672
4,1,2,10,1,1,1,1000,1024,10000,2,0,0.20685815152611894
2,1,4,10,10,0,1000,1000,1024,10000,2,29,0.20395332922409518
4,10,4,1000000,1,0,1,10,512,100,5,0,0.20063606494794045
4,10,4,10,10,1,1000,10,1024,100,5,0,0.19690782940012447
2,10,4,10,10,1,1,1000,512,10000,2,0,0.19277341217142982
4,1,4,1000000,10,1,1,1000,1024,10000,5,0,0.1882419294670286
2,10,2,10,10,0,1000,1000,1024,10000,5,29,0.18332779543785951
4,10,2,10,10,1,1000,1000,1024,10000,5,29,0.17805160635709072
2,1,2,1000000,1,1,1,1000,512,10000,5,0,0.1724408889126561
2,1,2,10,10,0,1,10,1024,100,2,29,0.16653066786139004
2,1,4,1000000,1,1,1,1000,512,10000,2,0,0.16036381407761807
4,10,2,10,10,1,1,1000,1024,10000,2,29,0.15399114143271803
2,1,2,1000000,1,1,1,1000,512,10000,2,29,0.14747122970646784
2,10,2,10,10,0,1000,10,1024,100,2,0,0.14086996054974904
4,1,4,10,1,0,1,1000,512,10000,5,29,0.13425976404518428
4,1,4,10,10,1,1,1000,1024,10000,2,0,0.12771858427326438
2,10,4,1000000,1,0,1,10,512,100,2,29,0.12132858309701704
2,10,4,1000000,1,1,1,10,512,100,2,29,0.11517461173716624
4,10,4,10,10,0,1,1000,512,10000,5,29,0.10934248924287646
4,10,2,10,1,0,1000,10,1024,100,2,29,0.1039171353166448
4,1,4,1000000,1,1,1000,10,512,100,5,29,0.0989806118095066
2,10,4,10,10,1,1,1000,512,10000,5,0,0.09461013229723536
2,1,4,10,1,1,1,1000,512,10000,2,29,0.09087610227105776
4,10,2,1000000,1,1,1,1000,512,10000,2,29,0.08784025348532143
4,1,2,1000000,10,1,1,10,512,100,2,29,0.0855539348291181
4,1,4,1000000,10,0,1,10,1024,100,2,0,0.08405661873354314
4,1,2,1000000,1,0,1,1000,1024,10000,5,29,0.08337467667097999
2,1,4,1000000,1,0,1000,1000,1024,10000,5,0,0.0835204699008668
4,1,2,1000000,1,1,1,1000,512,10000,5,29,0.08449179249004647
2,10,2,1000000,1,1,1,10,1024,100,2,0,0.0862716930692369
4,1,4,1000000,1,1,1000,1000,512,10000,2,29,0.0888286901174974
4,1,2,10,1,0,1,1000,1024,10000,5,0,0.09211738317293168
2,1,4,10,1,1,1000,10,512,100,2,29,0.09607944965891654
2,1,2,10,1,0,1,10,512,100,2,0,0.10064500441554551
4,1,2,10,1,0,1,1000,512,10000,2,0,0.10573428696218871
4,1,4,10,1,0,1,1000,1024,10000,2,0,0.11125963040296899
4,10,2,1000000,10,1,1,1000,512,10000,5,29,0.11712765610971775
4,10,2,10,1,0,1,10,1024,100,5,29,0.12324163022375847
2,10,2,10,1,0,1,10,512,100,2,29,0.12950391190370789
4,1,2,1000000,1,1,1,10,1024,100,5,29,0.1358184193437839
2,10,4,10,1,0,1000,10,512,100,2,29,0.1420930380571956
4,10,4,1000000,10,1,1,10,512,100,2,29,0.14824189684608002
4,1,2,10,10,1,1,1000,1024,10000,5,29,0.15418744026621642
4,10,4,10,1,1,1000,10,512,100,5,29,0.15986223216247988
4,10,2,1000000,1,1,1,10,1024,100,2,29,0.16521043284052617
2,1,2,10,10,0,1,10,512,100,5,29,0.1701889024164831
4,10,2,10,10,0,1,1000,1024,10000,5,0,0.17476789454550506
4,1,2,10,1,1,1,1000,1024,10000,5,29,0.17893131770836093
2,1,2,10,10,1,1000,1000,512,10000,2,0,0.18267655512098455
2,10,2,10,1,0,1,10,1024,100,2,0,0.18601384867819226
4,1,2,10,1,1,1,10,1024,100,2,29,0.18896526668189245
4,1,4,1000000,1,1,1,1000,1024,10000,5,0,0.19156328896286728
2,10,2,10,1,0,1000,10,1024,100,5,29,0.19384905592041554
4,10,4,10,1,1,1,1000,512,10000,5,29,0.1958703395380394
2,1,4,10,1,1,1000,10,1024,100,2,0,0.19767930418829874
4,10,2,10,10,1,1,1000,1024,10000,2,29,0.19933013267196886
4,10,2,1000000,1,1,1,1000,512,10000,5,0,0.20087659816736697
4,1,4,1000000,10,1,1,10,1024,100,5,29,0.20236966539227896
4,1,4,1000000,10,0,1,10,512,100,5,0,0.20385520418350578
4,1,2,1000000,10,0,1,10,512,100,5,0,0.20537189584573814
4,10,4,10,10,1,1000,10,1024,100,2,29,0.2069494070703624
4,1,4,10,10,1,1,10,512,100,2,29,0.20860689812313318
4,1,2,10,10,0,1000,1000,1024,10000,2,29,0.21035192158004629
4,10,4,10,10,1,1000,1000,1024,10000,2,0,0.21217975546462628
4,10,2,10,10,0,1,1000,512,10000,2,0,0.2140732005881832
4,10,4,10,10,0,1000,10,512,100,5,0,0.21600285665635394
2,10,4,10,10,1,1,1000,1024,10000,2,29,0.21792787576375017
4,10,4,10,10,0,1000,10,1024,100,2,0,0.21979717576630062
2,1,2,10,1,0,1,10,1024,100,2,0,0.22155108022329398
4,10,2,1000000,1,0,1000,10,512,100,5,29,0.22312333665957904
4,10,2,10,1,0,1000,1000,512,10000,2,0,0.22444345131327323
4,1,4,1000000,1,0,1,10,512,100,2,0,0.22543926676864354
4,10,4,1000000,1,0,1,10,1024,100,2,0,0.22603969933768647
4,10,2,10,1,0,1,10,1024,100,2,29,0.22617754609069762
2,10,2,10,1,0,1000,10,512,100,2,29,0.22579226731050248
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,0.22483264903356623
4,1,2,1000000,10,0,1,1000,512,10000,2,0,0.2232592523255558
2,1,4,10,10,1,1,1000,1024,10000,2,0,0.22104656100201592
4,1,4,10,10,1,1,1000,1024,10000,5,29,0.21818474753020825
2,1,4,10,10,1,1000,1000,512,10000,5,0,0.21468098762253945
2,10,2,1000000,1,1,1,10,1024,100,2,0,0.21056026725087604
