new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,3,3,1,0,1,0,0,1,0,61.96459879213702
2,3,2,1,1,1,0,1,0,1,61.79280318410998
1,1,2,0,1,0,1,0,1,0,61.632966960745904
3,2,3,1,0,0,1,1,1,0,61.48524417789421
1,2,3,1,0,0,0,1,0,1,61.349753216208995
2,1,3,0,0,0,1,1,1,0,61.22657683826499
4,1,3,0,0,0,0,0,0,1,61.115762368512975
4,2,2,1,0,0,0,1,1,1,61.01732199439223
2,1,2,1,0,1,1,1,0,0,60.931233186484036
4,1,3,0,0,1,0,1,1,0,60.857439235166396
1,3,2,0,0,1,1,1,0,0,60.79584990081872
1,2,1,1,1,1,0,1,0,1,60.74634217422743
3,2,3,0,0,0,1,1,1,1,60.708761143460585
4,2,3,0,0,0,0,0,0,0,60.682920963113304
1,1,3,1,1,1,1,0,1,0,60.66860592147678
4,2,1,0,0,0,1,0,0,1,60.6655716008538
3,2,2,0,1,1,0,0,1,1,60.673546125933996
3,2,1,0,0,1,0,0,1,0,60.69223149485268
2,3,3,0,0,0,1,0,1,0,60.72130498729072
4,3,3,1,0,0,1,0,0,0,60.760420643728324
1,1,3,0,1,1,1,1,0,1,60.809210809745785
3,1,2,1,0,1,0,0,1,1,60.86728773906788
2,3,2,1,0,1,0,0,0,1,60.93424524887763
1,2,3,1,0,0,1,0,1,0,61.00966042077954
2,2,2,0,1,0,1,1,0,0,61.09309534067262
4,2,2,1,1,0,1,1,1,0,61.18409887070021
4,1,1,0,1,0,0,1,0,0,61.2822084463757
2,2,1,1,0,0,0,0,1,1,61.38695189194316
2,1,2,0,0,0,0,1,0,0,61.49784924701712
4,1,2,1,1,1,1,1,0,0,61.614414597558
2,1,3,0,0,0,1,1,0,0,61.73615790427758
3,2,1,1,0,1,0,0,1,1,61.86258682163321
4,1,2,1,1,1,0,0,1,0,61.99320850065892
4,2,2,1,0,0,0,0,1,0,62.12753136899571
2,1,3,0,1,1,0,1,0,0,62.26506688162294
2,3,2,0,0,1,1,1,1,1,62.40533123595414
2,3,1,0,1,0,0,1,1,0,62.54784704514786
1,3,1,0,0,0,1,1,1,1,62.69214496368974
3,2,1,0,1,1,1,1,1,0,62.83776525953309
2,2,1,1,0,0,0,0,0,1,62.98425932733291
4,3,3,1,0,0,0,0,1,0,63.13119113757704
4,1,3,0,0,0,0,0,1,1,63.27813861670522
3,1,1,0,0,1,1,1,1,0,63.424694953608466
3,2,3,1,1,1,0,1,1,0,63.5704698282219
2,3,3,0,0,0,1,1,1,0,63.71509055825541
1,1,1,1,0,0,1,0,1,1,63.858203160454
1,1,2,0,1,1,0,1,0,0,63.999473323136264
2,2,3,0,0,1,0,1,0,1,64.13858728712755
1,3,3,0,0,0,0,0,1,1,64.27525263258066
4,3,2,1,1,1,1,1,0,1,64.4091989695602
2,2,2,0,1,0,0,1,0,0,64.54017853065609
4,2,2,0,0,0,1,0,1,0,64.6679666642851
3,3,1,0,0,0,1,1,0,0,64.79236222773466
4,2,2,1,1,1,1,1,1,1,64.91318787940102
4,2,2,0,0,1,1,0,0,1,65.03029027006963
3,2,3,1,0,1,1,1,1,0,65.14354013348103
2,3,1,1,1,1,0,1,1,1,65.25283227681582
1,2,3,0,1,1,0,1,0,1,65.35808547211961
4,1,3,0,1,1,1,0,0,1,65.4592422500677
1,3,1,0,0,1,1,1,1,0,65.5562685978425
3,1,3,1,1,0,1,0,0,0,65.64915356325852
1,1,1,0,0,1,0,1,1,0,65.7379087676231
2,1,1,0,1,0,0,1,1,1,65.8225678301614
1,3,3,1,1,0,1,1,1,0,65.9031857071617
2,2,1,1,1,1,1,0,0,0,65.97983794931058
4,2,2,1,0,0,0,0,0,1,66.05261988098556
3,3,3,1,0,0,0,1,1,0,66.12164570555511
3,2,1,0,1,0,1,1,1,0,66.18704754099838
4,3,3,0,0,1,0,1,1,1,66.24897439040562
3,2,2,0,1,1,1,0,1,1,66.30759105214497
3,1,3,0,0,0,1,1,0,0,66.36307697468867
2,1,1,0,1,0,1,1,1,1,66.4156250612792
3,1,3,0,1,0,0,1,1,1,66.46544042977922
4,2,1,1,0,1,1,0,0,1,66.51273913319389
2,1,1,1,1,1,1,0,0,0,66.55774684647466
4,3,2,0,1,0,1,1,0,0,66.6006975253126
1,1,3,1,0,1,0,0,0,0,66.64183204270536
2,3,1,0,1,0,0,1,0,0,66.68139680913431
1,2,3,1,0,1,0,1,0,0,66.7196423822192
2,3,1,0,1,0,0,1,1,1,66.75682207172402
1,1,1,1,1,1,0,1,0,1,66.79319054577195
1,3,1,1,1,1,0,0,1,0,66.82900244408886
4,1,2,0,0,0,1,0,1,0,66.86451100403303
4,1,3,0,1,1,1,0,1,0,66.89996670508647
2,3,1,1,0,1,0,1,1,1,66.93561593737695
2,2,2,1,1,0,0,1,1,0,66.97169969967494
4,3,1,1,0,0,0,0,1,1,67.00845233216228
1,1,3,1,1,1,1,0,1,1,67.04610028910268
4,2,2,0,1,0,0,0,0,1,67.08486095635887
3,3,1,1,1,1,0,1,1,0,67.1249415184964
3,2,2,1,0,1,0,0,0,0,67.16653787999319
2,1,1,1,1,0,1,1,1,1,67.20983364483479
3,2,1,0,0,0,1,1,1,0,67.25499915852289
2,3,3,0,0,0,1,0,0,1,67.30219061625475
3,2,3,0,1,1,0,0,0,1,67.35154924075096
1,2,2,0,1,0,1,0,0,1,67.40320053291454
2,1,1,0,0,0,1,1,0,0,67.4572535981993
3,2,1,1,0,0,0,0,0,1,67.5138005512508
4,3,1,1,1,1,0,0,0,1,67.57291600105981
2,1,3,0,0,1,1,1,0,0,67.63465661853758
1,1,3,1,0,1,1,0,1,0,67.69906078808553
1,3,2,1,1,1,1,1,0,0,67.76614834439056
2,1,3,1,1,0,1,1,0,1,67.83592039533232
1,3,3,0,1,0,1,0,0,1,67.90835923154266
3,2,3,1,1,1,1,1,1,1,67.9834283228094
2,1,2,1,1,1,1,0,0,1,68.06107240116981
1,1,3,0,0,0,1,1,0,0,68.14121763019538
4,2,2,1,0,1,1,0,1,1,68.22377185962645
4,2,3,1,0,1,0,0,1,1,68.30862496417978
2,3,1,1,0,1,1,1,1,0,68.39564926501983
1,2,1,1,1,1,0,0,0,1,68.48470003206181
2,1,3,0,0,0,0,0,0,0,68.57561606495729
2,3,2,0,0,1,1,0,0,1,68.66822035030823
2,3,3,0,0,1,0,0,1,0,68.76232079235886
1,2,2,1,1,0,0,1,0,1,68.8577110141307
4,2,1,1,0,0,1,0,1,0,68.95417122569516
2,1,1,0,1,0,0,1,0,1,69.0514691560195
2,1,3,0,1,1,0,0,0,0,69.14936104457986
4,1,1,0,1,1,1,0,1,1,69.24759268870622
2,3,1,0,1,0,1,0,0,0,69.34590054241319
4,2,3,0,1,0,1,1,0,1,69.44401286227595
1,1,1,0,1,0,1,1,0,0,69.54165089573351
2,3,1,0,0,1,0,0,1,0,69.63853010704231
1,2,2,0,1,1,0,0,0,1,69.73436143596412
2,1,3,1,0,1,1,0,0,1,69.82885258415014
4,2,2,0,1,0,1,1,0,0,69.92170932408271
2,3,2,1,0,1,0,0,1,1,70.01263682535401
3,1,2,1,0,0,1,0,0,1,70.10134099300026
4,2,1,1,1,1,0,0,1,0,70.18752981256772
3,1,2,0,0,1,0,1,0,1,70.2709146965669
2,3,3,1,1,1,1,1,0,0,70.35121182697002
2,2,2,0,0,1,0,0,0,0,70.42814348842626
1,3,1,1,0,0,0,1,1,0,70.5014393869089
1,1,3,0,0,1,0,1,0,1,70.57083794856781
3,1,1,1,0,0,1,1,0,0,70.63608759363922
2,3,1,1,1,1,1,0,0,0,70.69694798036241
1,3,2,0,0,0,1,0,0,1,70.75319121396967
1,2,3,1,0,1,1,1,0,1,70.80460301595033
3,3,1,0,0,1,0,1,1,0,70.85098384894131
4,3,3,0,1,0,1,1,1,1,70.8921499927661
2,2,2,1,0,1,1,0,1,1,70.92793456732896
4,2,2,0,0,1,0,1,1,1,70.95818849827187
3,2,2,1,1,0,1,0,0,1,70.98278142151602
4,2,3,1,1,0,0,0,1,0,71.0016025230404
4,2,2,0,1,1,1,1,1,1,71.01456131048954
1,2,3,0,0,1,1,0,0,1,71.02158831345766
4,2,2,0,1,0,1,0,0,1,71.02263570956032
4,2,3,0,0,1,0,1,1,1,71.01767787367925
3,3,1,0,0,0,0,1,0,1,71.00671184804861
4,2,3,0,1,0,0,1,1,0,70.98975773114302
2,3,3,0,0,1,1,0,0,0,70.96685898362337
2,3,1,1,0,1,0,1,0,0,70.93808264990179
2,2,2,1,1,1,1,1,1,1,70.90351949419157
4,1,3,1,1,0,1,1,0,0,70.86328405022137
3,3,2,1,1,0,1,0,0,0,70.81751458410288
4,1,2,1,0,0,1,0,0,1,70.76637297015711
3,1,1,1,1,0,1,0,0,0,70.71004447981518
3,1,3,0,1,0,1,0,1,1,70.648737484024
2,3,1,0,1,0,1,1,0,0,70.58268306989392
1,3,2,1,1,0,1,1,0,0,70.51213457263344
3,3,1,0,0,1,0,1,0,0,70.43736702411545
3,3,2,1,1,1,0,1,1,1,70.35867651971546
3,2,1,1,1,0,1,0,0,0,70.27637950535095
2,2,1,0,0,0,0,0,0,0,70.19081198693019
4,2,3,0,1,1,1,1,0,1,70.10232866469273
1,3,3,0,1,0,0,1,0,1,70.01130199518393
1,3,2,1,0,1,0,1,1,0,69.91812118385847
3,2,3,1,0,1,0,1,1,0,69.82319111154735
1,1,2,1,1,1,1,1,1,0,69.72693119825094
1,3,1,0,1,0,1,1,1,1,69.6297742079349
4,3,2,1,1,1,1,1,1,0,69.53216499820756
2,1,2,0,1,1,0,0,0,1,69.4345592189432
2,3,3,0,1,0,0,0,0,1,69.3374219640887
3,1,1,0,0,0,1,0,0,1,69.24122638104585
4,3,2,1,0,0,0,0,0,0,69.14645224216376
4,2,3,1,1,1,0,0,1,0,69.05358448299914
3,3,1,1,1,1,0,1,0,1,68.96311171210964
1,3,3,1,0,1,0,0,1,1,68.87552469723668
1,1,1,0,1,1,0,1,1,1,68.79131483280783
3,1,1,0,1,1,0,0,0,0,68.71097259374442
2,3,2,1,0,1,0,0,0,0,68.63498598059984
4,3,3,1,0,0,1,1,0,1,68.5638389610749
1,1,1,0,0,0,1,1,1,1,68.49800991296172
1,1,2,1,1,1,1,1,1,1,68.43797007355387
2,2,2,0,0,1,0,0,1,1,68.38418200053107
2,1,2,1,0,0,0,1,0,1,68.3370980492795
1,2,1,1,1,0,1,1,0,1,68.29715887154637
4,1,3,1,0,0,1,1,0,1,68.2647919402463
3,1,1,1,0,1,0,0,1,0,68.24041010514347
4,3,3,1,0,0,1,0,1,0,68.22441018402151
2,3,1,0,1,0,1,0,0,0,68.21717159382838
4,1,2,1,1,1,0,0,1,0,68.21905502614334
3,2,3,1,1,0,1,1,1,1,68.23040117115947
2,3,1,0,1,1,1,0,1,0,68.25152949420948
3,1,1,1,0,1,0,1,0,0,68.28273706868214
4,3,1,0,0,0,1,0,1,1,68.3242974689879
2,1,2,0,1,0,1,1,1,1,68.37645972702907
1,2,3,1,1,0,0,0,0,0,68.43944735541982
1,1,2,0,0,0,1,0,0,1,68.51345744047919
1,3,2,0,1,0,0,1,1,0,68.59865980779186
3,2,3,1,0,1,0,1,1,1,68.6951962628937
2,3,1,0,1,0,1,0,1,0,68.80317990939623
3,3,1,0,0,0,0,0,1,1,68.92269454661391
1,2,1,0,0,0,0,0,0,0,69.05379414850412
4,2,2,0,0,1,0,1,1,1,69.19650242547127
2,1,3,1,0,1,1,0,0,0,69.35081247032453
2,1,1,0,0,0,1,0,0,0,69.5166864894154
1,2,1,1,0,0,1,0,1,0,69.69405561971604
3,1,1,0,1,0,1,1,1,1,69.88281983233345
1,2,2,0,0,0,0,0,1,0,70.08284792269119
3,3,2,1,1,1,0,1,1,0,70.29397758734443
4,1,1,0,1,1,0,0,1,1,70.51601558713551
1,2,3,0,0,1,1,1,1,1,70.7487379961373
1,1,3,0,0,1,1,0,1,1,70.99189053557804
2,1,3,0,1,1,0,1,0,1,71.24518899169271
1,3,1,0,0,0,0,1,1,1,71.5083197162005
2,2,2,0,0,0,1,0,0,0,71.78094020787248
3,2,3,1,1,0,1,1,1,0,72.06267977342104
2,1,1,1,0,0,0,0,0,0,72.35314026572108
2,1,3,0,0,0,1,0,1,1,72.65189689715788
4,1,1,1,0,0,1,0,1,0,72.95849912569054
2,3,3,1,0,0,0,0,0,1,73.27247161102461
4,2,1,1,0,1,0,0,0,0,73.59331523810027
3,1,2,1,1,0,1,0,1,0,73.92050820492753
1,2,3,1,0,0,1,1,1,0,74.25350717163441
4,2,1,0,0,1,1,0,0,1,74.59174846744159
4,2,2,1,1,1,0,1,0,0,74.93464935213349
1,1,3,0,0,0,0,0,1,1,75.28160932846784
2,1,1,1,1,1,0,0,1,0,75.63201150184636
1,2,1,0,0,1,0,1,1,0,75.98522398346503
3,3,3,0,0,1,1,1,0,0,76.34060133306882
1,2,2,0,1,0,1,1,1,0,76.69748603735636
1,3,1,1,0,0,0,0,1,1,77.05521002001217
2,3,2,1,1,0,1,0,1,1,77.4130961792897
1,2,3,1,0,0,1,1,0,0,77.77045994902647
2,2,3,0,1,1,1,0,0,0,78.12661087894328
1,1,3,0,0,1,1,1,0,0,78.48085423006295
1,3,1,0,1,1,0,1,1,0,78.8324925810791
3,1,1,1,0,0,1,0,0,0,79.1808274415147
1,3,2,0,1,0,0,1,1,0,79.52516086752777
4,2,1,1,0,0,1,1,1,1,79.86479707625537
4,1,1,1,1,1,0,1,0,0,80.19904405462776
4,2,3,0,0,0,0,1,0,0,80.52721515864012
2,3,1,0,0,0,0,1,0,1,80.84863069913217
4,3,2,1,0,1,0,0,1,1,81.16261951020219
3,3,3,0,0,0,0,1,0,1,81.46852049646496
3,2,1,1,1,0,0,1,0,1,81.7656841554581
1,2,1,0,0,1,1,1,0,1,82.05347407160346
1,2,3,1,1,0,0,1,1,1,82.33126837824122
4,3,2,1,1,0,0,1,0,0,82.59846118437345
2,3,1,0,0,0,0,1,1,0,82.85446396288005
2,3,1,1,1,0,0,0,0,0,83.09870689710269
1,1,1,1,0,0,0,0,0,0,83.33064018283203
1,2,2,1,1,1,1,1,0,1,83.54973528287772
2,1,1,1,0,1,0,0,1,1,83.75548613155084
4,3,1,1,1,0,1,1,0,0,83.94741028654313
1,1,1,1,0,0,1,0,1,1,84.12505002584464
1,3,1,0,0,0,0,1,1,0,84.28797338750428
2,1,2,1,1,1,0,0,0,0,84.4357751502007
1,1,2,1,1,0,0,1,1,1,84.5680777527593
1,3,2,1,1,0,0,1,1,1,84.68453215091732
1,1,1,0,0,1,1,0,0,1,84.78481860980976
3,2,1,1,1,1,1,1,1,0,84.86864743081844
1,3,2,0,1,1,1,1,0,1,84.93575961159576
2,2,1,1,0,1,1,1,0,0,84.98592743824501
3,2,2,1,1,1,0,0,1,1,85.01895500880715
2,3,1,1,0,1,1,1,1,0,85.034678687371
3,3,2,0,0,1,0,1,1,0,85.0329674882893
1,1,1,0,0,0,0,1,1,0,85.01372339014569
1,3,3,0,1,0,0,1,0,0,84.97688157927834
3,2,1,1,1,1,1,0,0,1,84.92241062282243
2,1,1,1,1,1,1,0,0,0,84.85031257138834
1,3,2,1,0,0,0,0,1,1,84.76062299164171
1,1,3,1,1,1,1,1,1,0,84.65341092919775
3,1,3,0,0,1,0,1,0,0,84.52877880238371
4,3,2,1,0,0,1,1,1,1,84.3868622275609
1,3,2,1,1,0,0,1,0,1,84.22782977682922
2,1,2,0,1,0,1,0,1,0,84.05188266906518
2,3,3,0,1,1,0,1,1,1,83.85925439536584
3,1,3,1,0,1,0,0,1,1,83.65021028008894
4,3,3,1,0,0,0,1,1,1,83.42504697878974
1,2,3,1,1,0,1,1,1,0,83.18409191446237
1,1,3,1,1,0,1,0,1,0,82.92770265359282
1,3,2,1,1,0,1,0,0,0,82.65626622362653
4,2,1,1,0,0,0,0,1,1,82.37019837354224
1,3,1,0,0,0,0,1,1,0,82.0699427793081
1,2,3,1,0,1,0,1,0,1,81.75597019607319
4,2,2,1,0,0,0,0,1,0,81.42877755902214
2,3,1,0,1,0,1,1,1,1,81.08888703488583
3,2,1,1,0,1,1,1,0,0,80.73684502616487
1,2,2,1,1,0,1,0,0,0,80.37322113017845
3,1,2,0,0,1,0,1,0,0,79.99860705510339
1,1,2,1,0,1,1,0,1,0,79.61361549521484
2,3,1,0,0,1,0,1,0,1,79.21887896758223
3,3,2,0,0,1,0,1,1,0,78.81504861251153
3,1,2,0,0,0,1,0,1,0,78.40279296005836
3,1,1,0,0,0,1,1,1,1,77.98279666496393
3,1,2,0,0,1,1,1,1,1,77.55575921239249
3,1,1,0,1,0,0,0,0,0,77.12239359686795
1,3,1,0,0,1,0,0,0,1,76.68342497682548
4,3,2,0,0,0,0,0,1,1,76.23958930720734
1,3,2,0,1,1,0,1,1,1,75.79163195254247
3,2,2,0,0,1,1,1,1,1,75.34030628295645
2,2,2,1,1,0,0,0,1,1,74.88637225556329
3,3,3,1,1,1,1,1,1,1,74.43059498369142
3,2,1,1,1,1,0,1,0,1,73.97374329639574
1,2,1,1,1,0,1,0,0,0,73.5165882907045
1,1,2,1,0,0,1,0,0,1,73.05990187904308
4,2,3,1,0,0,0,0,1,1,72.60445533427082
1,3,2,1,0,0,0,0,0,0,72.15101783475573
4,1,2,1,0,0,1,1,1,0,71.70035501190205
2,2,1,0,0,0,1,0,1,0,71.25322750253157
4,3,2,1,0,0,0,0,1,0,70.81038950850548
3,1,3,1,1,1,1,0,0,1,70.37258736595709
1,3,3,1,0,0,0,0,1,1,69.94055812648904
2,2,2,0,0,1,0,1,1,1,69.51502815266836
4,2,2,1,0,0,0,0,0,0,69.09671173013382
2,3,3,0,1,1,1,1,1,1,68.68630969860816
4,2,3,0,0,0,1,0,0,1,68.28450810408428
2,2,2,1,0,1,1,1,0,0,67.89197687443195
1,2,2,1,1,0,0,0,0,1,67.50936852064446
2,3,1,0,0,0,1,1,1,0,67.13731686591994
1,3,2,1,1,0,0,0,0,0,66.77643580474188
3,3,2,1,0,0,1,0,1,0,66.42731809409622
2,2,1,1,0,0,1,1,0,0,66.09053417892927
4,2,3,0,1,1,1,0,1,1,65.76663105391964
3,2,2,1,0,0,1,1,1,1,65.45613116360231
1,3,2,0,1,1,1,1,0,1,65.15953134284698
2,2,2,0,0,1,0,1,1,0,64.87730179965516
3,1,2,0,0,1,0,0,0,1,64.60988514219949
4,3,1,1,0,0,1,0,1,0,64.3576954519876
3,2,2,1,1,1,1,0,1,0,64.12111740498689
1,1,3,1,0,1,0,0,0,1,63.900505442500595
1,3,3,0,0,1,1,1,1,0,63.69618299353477
4,3,1,1,1,0,1,0,0,0,63.5084417503435
2,2,1,1,0,1,0,1,0,0,63.33754099878431
4,1,1,1,1,0,1,0,0,0,63.18370700505628
3,1,3,1,0,1,1,0,0,1,63.04713246033226
3,2,2,1,0,1,0,1,1,1,62.92797598473054
3,1,3,0,0,1,1,1,0,1,62.82636169200217
2,3,2,0,1,1,1,1,0,0,62.742378816238364
3,2,1,0,0,0,1,1,0,0,62.676081401824945
2,1,2,0,0,1,1,0,0,1,62.627488057790565
4,2,2,0,1,1,1,1,0,1,62.59658177761179
4,1,1,0,0,1,0,1,0,1,62.583309825448175
4,2,3,1,0,0,0,0,1,0,62.58758368968864
3,3,3,0,1,1,1,0,0,0,62.60927910459335
3,3,2,0,1,0,1,0,1,0,62.64823614071337
1,3,2,1,0,0,0,0,1,0,62.70425936466545
4,2,1,0,1,0,0,1,1,0,62.77711806872869
4,2,2,1,1,0,1,1,1,1,62.866546570616116
1,2,1,1,1,0,1,1,1,0,62.972244583655375
1,1,1,0,1,0,0,0,0,1,63.09387765749029
4,3,1,1,1,1,0,0,1,0,63.23107768928812
4,2,1,1,0,0,0,0,1,1,63.38344350530673
3,1,2,0,1,1,1,0,0,1,63.55054151254178
3,1,2,0,1,0,1,1,0,1,63.73190642003496
3,3,2,1,0,1,0,0,1,0,63.9270420292837
1,1,1,1,0,0,0,0,1,0,64.13542209304751
1,3,2,0,1,1,0,1,1,1,64.35649124169821
2,1,2,1,0,0,0,1,1,1,64.58966597611102
4,3,3,1,0,1,0,1,0,1,64.8343357259407
2,2,1,1,0,1,1,0,1,1,65.0898639719718
2,3,1,0,1,0,1,1,1,0,65.35558943107534
4,3,2,0,0,0,1,1,0,1,65.63082730214691
2,3,2,0,0,0,1,0,1,1,65.91487057124098
1,3,2,0,1,1,1,0,1,1,66.2069913739587
3,1,2,0,1,0,0,0,1,0,66.50644241298478
2,3,1,0,1,0,0,1,0,0,66.81245842851217
3,1,3,1,0,0,1,0,1,1,67.12425771913334
3,1,1,1,0,0,0,1,1,1,67.44104371062119
3,1,3,0,1,0,0,1,0,0,67.7620065698678
1,2,2,0,0,0,0,1,0,1,68.08632486109609
3,3,1,0,0,0,1,1,1,1,68.4131672413108
2,2,3,0,0,0,0,1,0,1,68.74169419180927
1,2,3,1,0,1,0,0,0,0,69.07105978243045
2,1,3,1,0,1,1,1,0,0,69.40041346508367
2,2,1,1,0,1,1,1,1,1,69.72890189296716
4,3,1,1,0,1,0,0,1,0,70.05567076176013
4,3,1,0,0,0,1,1,1,1,70.37986666895269
4,2,1,1,0,0,1,0,1,0,70.70063898736547
2,2,2,0,1,1,0,0,1,0,71.0171417488052
1,2,1,0,0,1,1,1,0,0,71.32853553370704
4,1,3,0,1,1,1,0,1,1,71.6339893625237
4,2,3,0,1,0,1,1,0,0,71.93268258454492
1,2,3,1,0,0,1,1,1,1,72.22380675975907
4,1,1,1,1,1,1,0,1,0,72.50656752931098
1,2,2,0,1,0,0,0,1,1,72.78018647006022
1,3,2,1,0,1,1,1,0,1,73.04390292870707
3,3,3,1,0,0,0,0,0,0,73.29697583092712
4,2,2,0,1,0,1,0,1,0,73.53868546094084
3,3,1,0,0,1,0,0,0,1,73.76833520694295
1,1,3,0,1,1,1,0,0,1,73.98525326782655
1,2,2,0,1,0,1,1,0,1,74.18879431666043
1,3,1,0,1,0,1,0,1,1,74.37834111641442
4,2,2,0,0,0,1,1,0,1,74.55330608347785
4,2,1,1,1,1,1,1,1,1,74.71313279457843
2,2,3,0,1,0,0,1,0,1,74.85729743278698
1,1,2,1,0,1,1,0,0,1,74.98531016838308
1,2,3,0,1,1,1,1,0,0,75.09671647046133
3,1,3,0,1,1,1,1,0,0,75.19109834527572
4,1,3,0,1,0,0,1,1,0,75.26807549745133
4,2,3,1,1,1,0,1,1,1,75.32730641033795
3,3,2,0,1,0,1,0,1,0,75.36848934193789
2,3,2,1,0,1,1,1,1,0,75.39136323301268
3,3,3,0,1,0,1,1,0,1,75.3957085241579
1,1,2,1,1,0,1,0,0,0,75.38134787883162
4,1,1,0,1,0,1,0,1,1,75.34814680953215
4,1,1,1,0,0,0,1,1,0,75.29601420454144
2,2,3,1,1,0,1,1,1,0,75.22490275288297
1,2,2,1,1,1,1,1,0,0,75.13480926538597
1,3,2,0,1,0,1,0,1,0,75.02577489000178
3,1,1,0,0,0,1,1,1,0,74.89788521978033
2,2,1,1,1,0,0,1,0,0,74.7512702921877
3,2,2,1,0,1,0,1,0,0,74.58610447872566
1,2,1,1,0,0,1,0,1,0,74.40260626410117
2,1,1,0,0,0,0,1,1,1,74.20103791448989
1,1,3,0,1,1,1,1,0,1,73.98170503473654
3,2,2,0,0,0,0,1,0,0,73.74495601464189
3,2,2,0,1,1,0,0,1,0,73.49118136479471
4,1,3,1,1,1,1,0,0,1,73.2208129427206
1,2,2,0,0,0,1,1,1,0,72.93432307043447
3,2,2,1,0,1,0,0,0,0,72.63222354480001
3,3,2,1,0,0,1,0,1,1,72.3150645424165
1,2,3,1,0,0,0,0,0,0,71.98343342106871
3,3,3,0,0,0,0,0,0,1,71.63795342009088
1,3,3,0,0,1,0,1,0,1,71.27928226230665
3,3,1,0,1,1,1,0,1,1,70.90811066051481
4,1,3,0,1,0,1,0,0,0,70.52516073179339
4,1,1,1,1,1,0,1,1,1,70.13118432319209
2,2,3,1,1,0,1,0,0,1,69.72696125267163
3,1,1,1,1,0,0,1,0,1,69.31329746943236
1,3,1,0,1,1,0,1,0,1,68.89102313804527
3,2,3,0,0,1,0,0,0,1,68.46099065106294
3,3,1,0,1,1,0,1,0,0,68.02407257503835
3,2,2,0,1,0,0,0,0,1,67.58115953511985
4,3,3,1,0,0,1,1,1,1,67.13315804361712
2,2,1,1,1,1,0,1,1,0,66.68098827814457
1,3,3,0,1,1,0,1,1,0,66.22558181514863
